,mkt_cap,stock_info
HON,134450370911.38477,"{'name': 'HONEYWELL INTERNATIONAL INC', 'ticker': 'HON', 'cik': '773840', 'cusip': '438516106 438516122 019512102 438516114', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Conglomerates', 'sic': '3724', 'sicSector': 'Manufacturing', 'sicIndustry': 'Aircraft Engines & Engine Parts', 'famaSector': '', 'famaIndustry': 'Aircraft', 'currency': 'USD', 'location': 'North Carolina; U.S.A', 'id': '5e427367077279c2895993fde9bc8f72'}"
ESLT,9338349226.611328,"{'name': 'ELBIT SYSTEMS LTD', 'ticker': 'ESLT', 'cik': '1027664', 'cusip': 'M3760D101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Industrials', 'industry': 'Aerospace & Defense', 'sic': '3728', 'sicSector': 'Manufacturing', 'sicIndustry': 'Aircraft Parts & Auxiliary Equipment Nec', 'famaSector': '', 'famaIndustry': 'Aircraft', 'currency': 'USD', 'location': 'Israel', 'id': '65d080d30f62fb5eeece62783d5151a3'}"
AVAV,2815539490.413666,"{'name': 'AEROVIRONMENT INC', 'ticker': 'AVAV', 'cik': '1368622', 'cusip': '008073108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Aerospace & Defense', 'sic': '3721', 'sicSector': 'Manufacturing', 'sicIndustry': 'Aircraft', 'famaSector': '', 'famaIndustry': 'Aircraft', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '5e0184c17b6d3f2946c8a92e16f43adc'}"
LILM,828755645.2804871,"{'name': 'LILIUM NV', 'ticker': 'LILM', 'cik': '1855756', 'cusip': 'N52586109 G7307X105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock Primary Class', 'sector': 'Industrials', 'industry': 'Aerospace & Defense', 'sic': '3721', 'sicSector': 'Manufacturing', 'sicIndustry': 'Aircraft', 'famaSector': '', 'famaIndustry': 'Aircraft', 'currency': 'USD', 'location': 'Germany', 'id': '81881b96e061acf1e58d3d36776aaad4'}"
ATRO,586079419.5640564,"{'name': 'ASTRONICS CORP', 'ticker': 'ATRO', 'cik': '8063', 'cusip': '046433108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Industrials', 'industry': 'Aerospace & Defense', 'sic': '3728', 'sicSector': 'Manufacturing', 'sicIndustry': 'Aircraft Parts & Auxiliary Equipment Nec', 'famaSector': '', 'famaIndustry': 'Aircraft', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': '72d61fe8f651266456da735a270301ab'}"
HOVR,189674361.2197876,"{'name': 'NEW HORIZON AIRCRAFT LTD', 'ticker': 'HOVR', 'cik': '1930021', 'cusip': 'G71704103 64550A107 73245K107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Industrials', 'industry': 'Aerospace & Defense', 'sic': '3721', 'sicSector': 'Manufacturing', 'sicIndustry': 'Aircraft', 'famaSector': '', 'famaIndustry': 'Aircraft', 'currency': 'USD', 'location': 'Ontario; Canada', 'id': '09a35a3368b43d4acf40b0f42677d909'}"
DPRO,96331552.1012764,"{'name': 'DRAGANFLY INC', 'ticker': 'DPRO', 'cik': '1786286', 'cusip': '26142Q205 26142Q106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Industrials', 'industry': 'Aerospace & Defense', 'sic': '3721', 'sicSector': 'Manufacturing', 'sicIndustry': 'Aircraft', 'famaSector': '', 'famaIndustry': 'Aircraft', 'currency': 'USD', 'location': 'Saskatchewan; Canada', 'id': '5d35e64896af2b2353fe648177440910'}"
TATT,76215827.61440277,"{'name': 'TAT TECHNOLOGIES LTD', 'ticker': 'TATT', 'cik': '808439', 'cusip': 'M8740S227 M8740S144', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Industrials', 'industry': 'Aerospace & Defense', 'sic': '3724', 'sicSector': 'Manufacturing', 'sicIndustry': 'Aircraft Engines & Engine Parts', 'famaSector': '', 'famaIndustry': 'Aircraft', 'currency': 'USD', 'location': 'Israel', 'id': 'ab3cbcdca780e22e8457138ecb8eb635'}"
MOBBW,64419593.6036129,"{'name': 'MOBILICOM LTD', 'ticker': 'MOBBW', 'cik': '1898643', 'cusip': '60742B110', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock Warrant', 'sector': 'Technology', 'industry': 'Communication Equipment', 'sic': '3721', 'sicSector': 'Manufacturing', 'sicIndustry': 'Aircraft', 'famaSector': '', 'famaIndustry': 'Aircraft', 'currency': 'USD', 'location': 'Australia', 'id': 'd84cd92f3fa4e1ae4283bce9add73aaa'}"
AWIN,38845380.0,"{'name': 'AERWINS TECHNOLOGIES INC', 'ticker': 'AWIN', 'cik': '1855631', 'cusip': '732450101 00810J108 00810J207', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Technology', 'industry': 'Scientific & Technical Instruments', 'sic': '3721', 'sicSector': 'Manufacturing', 'sicIndustry': 'Aircraft', 'famaSector': '', 'famaIndustry': 'Aircraft', 'currency': 'USD', 'location': 'Japan', 'id': '72b28be5faca79a01b6316a1331008b4'}"
MOB,8816508.822721243,"{'name': 'MOBILICOM LTD', 'ticker': 'MOB', 'cik': '1898643', 'cusip': '60742B102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock Primary Class', 'sector': 'Technology', 'industry': 'Communication Equipment', 'sic': '3721', 'sicSector': 'Manufacturing', 'sicIndustry': 'Aircraft', 'famaSector': '', 'famaIndustry': 'Aircraft', 'currency': 'USD', 'location': 'Australia', 'id': '0b8b1463fe49edaa011291230c6eddfc'}"
