,mkt_cap,stock_info
CALM,1983645378.750229,"{'name': 'CAL-MAINE FOODS INC', 'ticker': 'CALM', 'cik': '16160', 'cusip': '128030202', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Farm Products', 'sic': '200', 'sicSector': 'Agriculture Forestry And Fishing', 'sicIndustry': 'Agricultural Prod-Livestock & Animal Specialties', 'famaSector': '', 'famaIndustry': 'Agriculture', 'currency': 'USD', 'location': 'Mississippi; U.S.A', 'id': 'c47e8009cff0485e41657a9119db0d03'}"
AVO,859425507.4050293,"{'name': 'MISSION PRODUCE INC', 'ticker': 'AVO', 'cik': '1802974', 'cusip': '60510V108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Food Distribution', 'sic': '700', 'sicSector': 'Agriculture Forestry And Fishing', 'sicIndustry': 'Agricultural Services', 'famaSector': '', 'famaIndustry': 'Agriculture', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '5c09b428d8e29e26110482d75d8b955d'}"
CVGW,538987040.2223587,"{'name': 'CALAVO GROWERS INC', 'ticker': 'CVGW', 'cik': '1133470', 'cusip': '128246105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Food Distribution', 'sic': '700', 'sicSector': 'Agriculture Forestry And Fishing', 'sicIndustry': 'Agricultural Services', 'famaSector': '', 'famaIndustry': 'Agriculture', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'bc0d6bc0aeec35562d4ac55dece2b6bd'}"
ALCO,195483970.54656982,"{'name': 'ALICO INC', 'ticker': 'ALCO', 'cik': '3545', 'cusip': '016230104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Farm Products', 'sic': '100', 'sicSector': 'Agriculture Forestry And Fishing', 'sicIndustry': 'Agricultural Production-Crops', 'famaSector': '', 'famaIndustry': 'Agriculture', 'currency': 'USD', 'location': 'Florida; U.S.A', 'id': '4f31db039eef5a9d034c1eff4f1b780b'}"
EDBL,80109750.0,"{'name': 'EDIBLE GARDEN AG INC', 'ticker': 'EDBL', 'cik': '1809750', 'cusip': '28059P204 28059P105 28059P303', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Consumer Defensive', 'industry': 'Farm Products', 'sic': '100', 'sicSector': 'Agriculture Forestry And Fishing', 'sicIndustry': 'Agricultural Production-Crops', 'famaSector': '', 'famaIndustry': 'Agriculture', 'currency': 'USD', 'location': 'New Jersey; U.S.A', 'id': '55df2e90805dda4ff3b4d1a77a39148d'}"
VFF,64882070.477604866,"{'name': 'VILLAGE FARMS INTERNATIONAL INC', 'ticker': 'VFF', 'cik': '1584549', 'cusip': '92707Y108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Farm Products', 'sic': '100', 'sicSector': 'Agriculture Forestry And Fishing', 'sicIndustry': 'Agricultural Production-Crops', 'famaSector': '', 'famaIndustry': 'Agriculture', 'currency': 'USD', 'location': 'Canada (Federal Level)', 'id': '4c7ca52bfe7302c8d5520c9893537432'}"
SANW,52879559.240078926,"{'name': 'S&W SEED CO', 'ticker': 'SANW', 'cik': '1477246', 'cusip': '785135104 785135203', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Consumer Defensive', 'industry': 'Farm Products', 'sic': '100', 'sicSector': 'Agriculture Forestry And Fishing', 'sicIndustry': 'Agricultural Production-Crops', 'famaSector': '', 'famaIndustry': 'Agriculture', 'currency': 'USD', 'location': 'Colorado; U.S.A', 'id': 'f5bbdd07170e05f70ab15ce30ea7467b'}"
AGFY,52364192.94991493,"{'name': 'AGRIFY CORP', 'ticker': 'AGFY', 'cik': '1800637', 'cusip': '00853E107 00853E206 00853E305', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Engineering & Construction', 'sic': '700', 'sicSector': 'Agriculture Forestry And Fishing', 'sicIndustry': 'Agricultural Services', 'famaSector': '', 'famaIndustry': 'Agriculture', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': 'b054be9902eeb521f503b8f4e7c4ef3f'}"
NCRA,31452239.09497261,"{'name': 'NOCERA INC', 'ticker': 'NCRA', 'cik': '1756180', 'cusip': '655186500 655186104 655186302', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '200', 'sicSector': 'Agriculture Forestry And Fishing', 'sicIndustry': 'Agricultural Prod-Livestock & Animal Specialties', 'famaSector': '', 'famaIndustry': 'Agriculture', 'currency': 'USD', 'location': 'Georgia; U.S.A', 'id': 'fb4d4d49edec4e4a11d243fda20221a7'}"
SEED,25853340.86452484,"{'name': 'ORIGIN AGRITECH LTD', 'ticker': 'SEED', 'cik': '1321851', 'cusip': 'G67828106 G67828205 G67828114', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Basic Materials', 'industry': 'Agricultural Inputs', 'sic': '100', 'sicSector': 'Agriculture Forestry And Fishing', 'sicIndustry': 'Agricultural Production-Crops', 'famaSector': '', 'famaIndustry': 'Agriculture', 'currency': 'USD', 'location': 'China', 'id': 'ffdb96004ea1a29ababb40bd30e729fc'}"
SISI,22560860.0,"{'name': 'SHINECO INC', 'ticker': 'SISI', 'cik': '1300734', 'cusip': '824567200 824567309 824567408', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Farm Products', 'sic': '100', 'sicSector': 'Agriculture Forestry And Fishing', 'sicIndustry': 'Agricultural Production-Crops', 'famaSector': '', 'famaIndustry': 'Agriculture', 'currency': 'USD', 'location': 'China', 'id': '660a6fa84563a3046d71b04e2bba6efe'}"
CEAD,6159546.0,"{'name': 'CEA INDUSTRIES INC', 'ticker': 'CEAD', 'cik': '1482541', 'cusip': '86887P200', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Industrials', 'industry': 'Farm & Heavy Construction Machinery', 'sic': '700', 'sicSector': 'Agriculture Forestry And Fishing', 'sicIndustry': 'Agricultural Services', 'famaSector': '', 'famaIndustry': 'Agriculture', 'currency': 'USD', 'location': 'Colorado; U.S.A', 'id': '60cc7a66709ca58cb80dc7dbf99f90d3'}"
RKDA,5274190.644035339,"{'name': 'ARCADIA BIOSCIENCES INC', 'ticker': 'RKDA', 'cik': '1469443', 'cusip': '039014204 039014105 039014303', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '100', 'sicSector': 'Agriculture Forestry And Fishing', 'sicIndustry': 'Agricultural Production-Crops', 'famaSector': '', 'famaIndustry': 'Agriculture', 'currency': 'USD', 'location': 'United States; U.S.A', 'id': '878819ec2e0d130b1dbd81fdb49c634c'}"
