,mkt_cap,stock_info
TSLA,821218967040.0,"{'name': 'TESLA INC', 'ticker': 'TSLA', 'cik': '1318605', 'cusip': '88160R101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Auto Manufacturers', 'sic': '3711', 'sicSector': 'Manufacturing', 'sicIndustry': 'Motor Vehicles & Passenger Car Bodies', 'famaSector': '', 'famaIndustry': 'Automobiles and Trucks', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'eaeafc4ffc04a49da153adebf1f6960a'}"
PCAR,43299618109.032715,"{'name': 'PACCAR INC', 'ticker': 'PCAR', 'cik': '75362', 'cusip': '693718108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Farm & Heavy Construction Machinery', 'sic': '3711', 'sicSector': 'Manufacturing', 'sicIndustry': 'Motor Vehicles & Passenger Car Bodies', 'famaSector': '', 'famaIndustry': 'Automobiles and Trucks', 'currency': 'USD', 'location': 'Washington; U.S.A', 'id': 'fc316fdc057ff1b0a6a72a00f38e2899'}"
LI,36382033322.74365,"{'name': 'LI AUTO INC', 'ticker': 'LI', 'cik': '1791706', 'cusip': '50202M102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Auto Manufacturers', 'sic': '3711', 'sicSector': 'Manufacturing', 'sicIndustry': 'Motor Vehicles & Passenger Car Bodies', 'famaSector': '', 'famaIndustry': 'Automobiles and Trucks', 'currency': 'USD', 'location': 'China', 'id': '7d00219ec76e657a42891ff921152949'}"
FFIE,22159621074.09082,"{'name': 'FARADAY FUTURE INTELLIGENT ELECTRIC INC', 'ticker': 'FFIE', 'cik': '1805521', 'cusip': '307359109 74348Q108 307359505 307359703', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Consumer Cyclical', 'industry': 'Auto Manufacturers', 'sic': '3711', 'sicSector': 'Manufacturing', 'sicIndustry': 'Motor Vehicles & Passenger Car Bodies', 'famaSector': '', 'famaIndustry': 'Automobiles and Trucks', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': '796d690099bdfc941d9abef48d42826c'}"
LCID,15873192814.432373,"{'name': 'LUCID GROUP INC', 'ticker': 'LCID', 'cik': '1811210', 'cusip': '549498103 171439102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Consumer Cyclical', 'industry': 'Auto Manufacturers', 'sic': '3711', 'sicSector': 'Manufacturing', 'sicIndustry': 'Motor Vehicles & Passenger Car Bodies', 'famaSector': '', 'famaIndustry': 'Automobiles and Trucks', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'da1c132926206673ece7919b02417559'}"
RIVN,15809794791.779663,"{'name': 'RIVIAN AUTOMOTIVE INC', 'ticker': 'RIVN', 'cik': '1874178', 'cusip': '76954A103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Auto Manufacturers', 'sic': '3711', 'sicSector': 'Manufacturing', 'sicIndustry': 'Motor Vehicles & Passenger Car Bodies', 'famaSector': '', 'famaIndustry': 'Automobiles and Trucks', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'c207b1c9ca8cdbfbe104bb67a8f2cde0'}"
IEP,12782325532.29663,"{'name': 'ICAHN ENTERPRISES LP', 'ticker': 'IEP', 'cik': '813762', 'cusip': '451100101 029169109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas Refining & Marketing', 'sic': '3714', 'sicSector': 'Manufacturing', 'sicIndustry': 'Motor Vehicle Parts & Accessories', 'famaSector': '', 'famaIndustry': 'Automobiles and Trucks', 'currency': 'USD', 'location': 'Florida; U.S.A', 'id': '14bd7671ad0073e902a0224ac578e6b5'}"
PSNY,8124192675.557556,"{'name': 'POLESTAR AUTOMOTIVE HOLDING UK PLC', 'ticker': 'PSNY', 'cik': '1884082', 'cusip': '731105201 38286Q107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock Primary Class', 'sector': 'Consumer Cyclical', 'industry': 'Auto Manufacturers', 'sic': '3711', 'sicSector': 'Manufacturing', 'sicIndustry': 'Motor Vehicles & Passenger Car Bodies', 'famaSector': '', 'famaIndustry': 'Automobiles and Trucks', 'currency': 'USD', 'location': 'Sweden', 'id': '030bd7cd3cbefdd6e32eceea89ba1fe7'}"
LOT,7078658585.81543,"{'name': 'LOTUS TECHNOLOGY INC', 'ticker': 'LOT', 'cik': '1962746', 'cusip': 'G5346G125 54572F101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock Primary Class', 'sector': 'Consumer Cyclical', 'industry': 'Auto Manufacturers', 'sic': '3711', 'sicSector': 'Manufacturing', 'sicIndustry': 'Motor Vehicles & Passenger Car Bodies', 'famaSector': '', 'famaIndustry': 'Automobiles and Trucks', 'currency': 'USD', 'location': 'China', 'id': '9b519f69d37ed86ad4e35a1fc5f904a5'}"
GNTX,6748261083.465576,"{'name': 'GENTEX CORP', 'ticker': 'GNTX', 'cik': '355811', 'cusip': '371901109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Auto Parts', 'sic': '3714', 'sicSector': 'Manufacturing', 'sicIndustry': 'Motor Vehicle Parts & Accessories', 'famaSector': '', 'famaIndustry': 'Automobiles and Trucks', 'currency': 'USD', 'location': 'Michigan; U.S.A', 'id': '909d52a975980972d13e8d4309fbd820'}"
