,mkt_cap,stock_info
UFPI,5990128300.0,"{'name': 'UFP INDUSTRIES INC', 'ticker': 'UFPI', 'cik': '912767', 'cusip': '90278Q108 913543104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Lumber & Wood Production', 'sic': '2421', 'sicSector': 'Manufacturing', 'sicIndustry': 'Sawmills & Planting Mills General', 'famaSector': '', 'famaIndustry': 'Construction Materials', 'currency': 'USD', 'location': 'Michigan; U.S.A', 'id': 'afea820900f7f67ddd52c02ebc84c0fc'}"
RUN,3894618982.9138184,"{'name': 'SUNRUN INC', 'ticker': 'RUN', 'cik': '1469367', 'cusip': '86771W105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Solar', 'sic': '3430', 'sicSector': 'Manufacturing', 'sicIndustry': 'Heating Equip Except Elec & Warm Air; & Plumbing Fixtures', 'famaSector': '', 'famaIndustry': 'Construction Materials', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '8d857aa3602c6c29dc0414162ca57087'}"
CVCO,2446560012.9089355,"{'name': 'CAVCO INDUSTRIES INC', 'ticker': 'CVCO', 'cik': '278166', 'cusip': '149568107 149567109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Residential Construction', 'sic': '2451', 'sicSector': 'Manufacturing', 'sicIndustry': 'Mobile Homes', 'famaSector': '', 'famaIndustry': 'Construction Materials', 'currency': 'USD', 'location': 'Arizona; U.S.A', 'id': '91aea5e37043c18d6a0d5de597cb92dc'}"
PATK,1779127088.9816284,"{'name': 'PATRICK INDUSTRIES INC', 'ticker': 'PATK', 'cik': '76605', 'cusip': '703343103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Furnishings Fixtures & Appliances', 'sic': '2430', 'sicSector': 'Manufacturing', 'sicIndustry': 'Millwood Veneer Plywood & Structural Wood Members', 'famaSector': '', 'famaIndustry': 'Construction Materials', 'currency': 'USD', 'location': 'Indiana; U.S.A', 'id': 'b223fe010c49d5246090432aabc02803'}"
HLMN,1770250105.4114075,"{'name': 'HILLMAN SOLUTIONS CORP', 'ticker': 'HLMN', 'cik': '1822492', 'cusip': '431636109 51476H100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Industrials', 'industry': 'Tools & Accessories', 'sic': '3420', 'sicSector': 'Manufacturing', 'sicIndustry': 'Cutlery Handtools & General Hardware', 'famaSector': '', 'famaIndustry': 'Construction Materials', 'currency': 'USD', 'location': 'Ohio; U.S.A', 'id': '6f7613c4a943d789454772b5afdf346e'}"
AMWD,1192358825.0,"{'name': 'AMERICAN WOODMARK CORP', 'ticker': 'AMWD', 'cik': '794619', 'cusip': '030506109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Furnishings Fixtures & Appliances', 'sic': '2430', 'sicSector': 'Manufacturing', 'sicIndustry': 'Millwood Veneer Plywood & Structural Wood Members', 'famaSector': '', 'famaIndustry': 'Construction Materials', 'currency': 'USD', 'location': 'Virginia; U.S.A', 'id': '0a493860c65cb1c508f342119e52d965'}"
OFLX,1047687406.2416077,"{'name': 'OMEGA FLEX INC', 'ticker': 'OFLX', 'cik': '1317945', 'cusip': '682095104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Specialty Industrial Machinery', 'sic': '3430', 'sicSector': 'Manufacturing', 'sicIndustry': 'Heating Equip Except Elec & Warm Air; & Plumbing Fixtures', 'famaSector': '', 'famaIndustry': 'Construction Materials', 'currency': 'USD', 'location': 'Pennsylvania; U.S.A', 'id': '4f0e4b46742e726780f74d72dfd0759d'}"
AGRI,806306250.0,"{'name': 'AGRIFORCE GROWING SYSTEMS LTD', 'ticker': 'AGRI', 'cik': '1826397', 'cusip': 'C00948106 C00948122', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Consumer Defensive', 'industry': 'Farm Products', 'sic': '3448', 'sicSector': 'Manufacturing', 'sicIndustry': 'Prefabricated Metal Buildings & Components', 'famaSector': '', 'famaIndustry': 'Construction Materials', 'currency': 'USD', 'location': 'British Columbia; Canada', 'id': 'e35cb9b84324c4cb6db7947af452d35f'}"
LEGH,573869409.2760086,"{'name': 'LEGACY HOUSING CORP', 'ticker': 'LEGH', 'cik': '1436208', 'cusip': '52472M101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Residential Construction', 'sic': '2451', 'sicSector': 'Manufacturing', 'sicIndustry': 'Mobile Homes', 'famaSector': '', 'famaIndustry': 'Construction Materials', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '58797c967b6e05320fdcaf975a19d8ae'}"
CSTE,180969680.09529114,"{'name': 'CAESARSTONE LTD', 'ticker': 'CSTE', 'cik': '1504379', 'cusip': 'M20598104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Basic Materials', 'industry': 'Building Products & Equipment', 'sic': '3281', 'sicSector': 'Manufacturing', 'sicIndustry': 'Cut Stone & Stone Products', 'famaSector': '', 'famaIndustry': 'Construction Materials', 'currency': 'USD', 'location': 'Israel', 'id': 'fe092c9e438abb9b37e457d15983ce85'}"
