,mkt_cap,stock_info
PDD,95686258426.29492,"{'name': 'PDD HOLDINGS INC', 'ticker': 'PDD', 'cik': '1737806', 'cusip': '722304102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Internet Retail', 'sic': '7389', 'sicSector': 'Services', 'sicIndustry': 'Services-Business Services Nec', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'China', 'id': 'a0a97569730aec553dbb92b8b50f1833'}"
ADP,88595134339.60547,"{'name': 'AUTOMATIC DATA PROCESSING INC', 'ticker': 'ADP', 'cik': '8670', 'cusip': '053015103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Staffing & Employment Services', 'sic': '7374', 'sicSector': 'Services', 'sicIndustry': 'Services-Computer Processing & Data Preparation', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'New Jersey; U.S.A', 'id': '72d26107d94093bc0e9b1b203f66bfd9'}"
PYPL,68892852584.69824,"{'name': 'PAYPAL HOLDINGS INC', 'ticker': 'PYPL', 'cik': '1633917', 'cusip': '70450Y103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Financial Services', 'industry': 'Credit Services', 'sic': '7389', 'sicSector': 'Services', 'sicIndustry': 'Services-Business Services Nec', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '2ee33a62a05cb04016d22eed0c679b60'}"
NTES,63153967251.052246,"{'name': 'NETEASE INC', 'ticker': 'NTES', 'cik': '1110646', 'cusip': '64110W102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Communication Services', 'industry': 'Electronic Gaming & Multimedia', 'sic': '7389', 'sicSector': 'Services', 'sicIndustry': 'Services-Business Services Nec', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'China', 'id': '0efe649107403fc5f02b06b73f622cf9'}"
MELI,59389466754.541016,"{'name': 'MERCADOLIBRE INC', 'ticker': 'MELI', 'cik': '1099590', 'cusip': '58733R102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Internet Retail', 'sic': '7389', 'sicSector': 'Services', 'sicIndustry': 'Services-Business Services Nec', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'Argentina', 'id': 'b80c6ce403cfcc72b156241dd50853db'}"
ABNB,55231649326.32446,"{'name': 'AIRBNB INC', 'ticker': 'ABNB', 'cik': '1559720', 'cusip': '009066101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Travel Services', 'sic': '7340', 'sicSector': 'Services', 'sicIndustry': 'Services-To Dwellings & Other Buildings', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '92cfc4993216812eff1a855a585e1092'}"
WDAY,48238924242.91992,"{'name': 'WORKDAY INC', 'ticker': 'WDAY', 'cik': '1327811', 'cusip': '98138H101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Software - Application', 'sic': '7374', 'sicSector': 'Services', 'sicIndustry': 'Services-Computer Processing & Data Preparation', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '8c057d31712c2a5bc2b59e437462e0f0'}"
PAYX,39354756323.75195,"{'name': 'PAYCHEX INC', 'ticker': 'PAYX', 'cik': '723531', 'cusip': '704326107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Staffing & Employment Services', 'sic': '8700', 'sicSector': 'Services', 'sicIndustry': 'Services-Engineering Accounting Research Management', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': '354b3306d2ddec371010ae3c7dac33b0'}"
CSGP,36814471001.03247,"{'name': 'COSTAR GROUP INC', 'ticker': 'CSGP', 'cik': '1057352', 'cusip': '22160N109 75612B107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Real Estate', 'industry': 'Real Estate Services', 'sic': '7389', 'sicSector': 'Services', 'sicIndustry': 'Services-Business Services Nec', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'District Of Columbia; U.S.A', 'id': '075cfe25bf4fc80d261b30d608f0c5ec'}"
VRSK,31855049645.7334,"{'name': 'VERISK ANALYTICS INC', 'ticker': 'VRSK', 'cik': '1442145', 'cusip': '92345Y106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Consulting Services', 'sic': '7374', 'sicSector': 'Services', 'sicIndustry': 'Services-Computer Processing & Data Preparation', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'New Jersey; U.S.A', 'id': '517990daa5e8c8a376fe7f3dfc080529'}"
