,mkt_cap,stock_info
LIN,182282701213.62305,"{'name': 'LINDE PLC', 'ticker': 'LIN', 'cik': '1707925', 'cusip': 'G5494J103 G54950103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Specialty Chemicals', 'sic': '2810', 'sicSector': 'Manufacturing', 'sicIndustry': 'Industrial Inorganic Chemicals', 'famaSector': '', 'famaIndustry': 'Chemicals', 'currency': 'USD', 'location': 'United Kingdom', 'id': 'a8a8fba8b675680ce2bd39777d3de512'}"
BCPC,4365500020.210266,"{'name': 'BALCHEM CORP', 'ticker': 'BCPC', 'cik': '9326', 'cusip': '057665200', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Specialty Chemicals', 'sic': '2800', 'sicSector': 'Manufacturing', 'sicIndustry': 'Chemicals & Allied Products', 'famaSector': '', 'famaIndustry': 'Chemicals', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': 'a8cec0267ad8955a33d16d984b0fc236'}"
MEOH,2750084130.782654,"{'name': 'METHANEX CORP', 'ticker': 'MEOH', 'cik': '886977', 'cusip': '59151K108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Canadian Common Stock', 'sector': 'Basic Materials', 'industry': 'Chemicals', 'sic': '2860', 'sicSector': 'Manufacturing', 'sicIndustry': 'Industrial Organic Chemicals', 'famaSector': '', 'famaIndustry': 'Chemicals', 'currency': 'USD', 'location': 'British Columbia; Canada', 'id': '599edc0d1d701cde8bd4db42c04b7e89'}"
CSWI,2543592499.090576,"{'name': 'CSW INDUSTRIALS INC', 'ticker': 'CSWI', 'cik': '1624794', 'cusip': '126402106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Specialty Industrial Machinery', 'sic': '2891', 'sicSector': 'Manufacturing', 'sicIndustry': 'Adhesives & Sealants', 'famaSector': '', 'famaIndustry': 'Chemicals', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': 'a28951c22e2608cf3d6258e56aa6d612'}"
WDFC,2528101913.0096436,"{'name': 'WD 40 CO', 'ticker': 'WDFC', 'cik': '105132', 'cusip': '929236107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Specialty Chemicals', 'sic': '2890', 'sicSector': 'Manufacturing', 'sicIndustry': 'Miscellaneous Chemical Products', 'famaSector': '', 'famaIndustry': 'Chemicals', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '38ee59e8968f63c7cb1028623b55c2c7'}"
IOSP,2508778652.481079,"{'name': 'INNOSPEC INC', 'ticker': 'IOSP', 'cik': '1054905', 'cusip': '45768S105 675727101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Specialty Chemicals', 'sic': '2800', 'sicSector': 'Manufacturing', 'sicIndustry': 'Chemicals & Allied Products', 'famaSector': '', 'famaIndustry': 'Chemicals', 'currency': 'USD', 'location': 'Colorado; U.S.A', 'id': '917836cdff5507d3014d63527ffaffc2'}"
GPRE,2045181830.3499222,"{'name': 'GREEN PLAINS INC', 'ticker': 'GPRE', 'cik': '1309402', 'cusip': '393222104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Chemicals', 'sic': '2860', 'sicSector': 'Manufacturing', 'sicIndustry': 'Industrial Organic Chemicals', 'famaSector': '', 'famaIndustry': 'Chemicals', 'currency': 'USD', 'location': 'Nebraska; U.S.A', 'id': '93368a48e27a848a129b21f30c4ff553'}"
PCT,1736857165.8008728,"{'name': 'PURECYCLE TECHNOLOGIES INC', 'ticker': 'PCT', 'cik': '1830033', 'cusip': '74623V103 778675108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Industrials', 'industry': 'Pollution & Treatment Controls', 'sic': '2821', 'sicSector': 'Manufacturing', 'sicIndustry': 'Plastic Materials Synth Resins & Nonvulcan Elastomers', 'famaSector': '', 'famaIndustry': 'Chemicals', 'currency': 'USD', 'location': 'Florida; U.S.A', 'id': '6a53d0859462a9bcc3111b1ff07e103c'}"
LNZA,1342620696.777008,"{'name': 'LANZATECH GLOBAL INC', 'ticker': 'LNZA', 'cik': '1843724', 'cusip': '51655R101 00166R100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Industrials', 'industry': 'Waste Management', 'sic': '2860', 'sicSector': 'Manufacturing', 'sicIndustry': 'Industrial Organic Chemicals', 'famaSector': '', 'famaIndustry': 'Chemicals', 'currency': 'USD', 'location': 'Illinois; U.S.A', 'id': '08b9be4b83c5b1f035b3a30647a7225b'}"
BIOX,823987303.1122208,"{'name': 'BIOCERES CROP SOLUTIONS CORP', 'ticker': 'BIOX', 'cik': '1769484', 'cusip': 'G1117K114 G9366W101 G9366W119', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock Primary Class', 'sector': 'Basic Materials', 'industry': 'Agricultural Inputs', 'sic': '2870', 'sicSector': 'Manufacturing', 'sicIndustry': 'Agricultural Chemicals', 'famaSector': '', 'famaIndustry': 'Chemicals', 'currency': 'USD', 'location': 'Cayman Islands', 'id': '4d08fe9d21277de57ca23f405a784c24'}"
