,mkt_cap,stock_info
NVDA,1004151795501.0781,"{'name': 'NVIDIA CORP', 'ticker': 'NVDA', 'cik': '1045810', 'cusip': '67066G104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductors', 'sic': '3674', 'sicSector': 'Manufacturing', 'sicIndustry': 'Semiconductors & Related Devices', 'famaSector': '', 'famaIndustry': 'Electronic Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '4a73b69083f93d38e05e0b76219875c9'}"
AVGO,401515987569.33594,"{'name': 'BROADCOM INC', 'ticker': 'AVGO', 'cik': '1730168', 'cusip': '11135F101 Y09827109 Y0486S104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Technology', 'industry': 'Semiconductors', 'sic': '3674', 'sicSector': 'Manufacturing', 'sicIndustry': 'Semiconductors & Related Devices', 'famaSector': '', 'famaIndustry': 'Electronic Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '4e7a386c304e58a18f4d769aec92a526'}"
AMD,179798322727.0293,"{'name': 'ADVANCED MICRO DEVICES INC', 'ticker': 'AMD', 'cik': '2488', 'cusip': '007903107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductors', 'sic': '3674', 'sicSector': 'Manufacturing', 'sicIndustry': 'Semiconductors & Related Devices', 'famaSector': '', 'famaIndustry': 'Electronic Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '23028b66769a0417ed09589d6be2666c'}"
TXN,160964103838.50488,"{'name': 'TEXAS INSTRUMENTS INC', 'ticker': 'TXN', 'cik': '97476', 'cusip': '882508104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductors', 'sic': '3674', 'sicSector': 'Manufacturing', 'sicIndustry': 'Semiconductors & Related Devices', 'famaSector': '', 'famaIndustry': 'Electronic Equipment', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '1ff9aab31242327aacce83631643809d'}"
INTC,140093587364.5332,"{'name': 'INTEL CORP', 'ticker': 'INTC', 'cik': '50863', 'cusip': '458140100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductors', 'sic': '3674', 'sicSector': 'Manufacturing', 'sicIndustry': 'Semiconductors & Related Devices', 'famaSector': '', 'famaIndustry': 'Electronic Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'd84c156ce9dc3a3a1c10a4a482934620'}"
QCOM,131754957275.39062,"{'name': 'QUALCOMM INC', 'ticker': 'QCOM', 'cik': '804328', 'cusip': '747525103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductors', 'sic': '3663', 'sicSector': 'Manufacturing', 'sicIndustry': 'Radio & Tv Broadcasting & Communications Equipment', 'famaSector': '', 'famaIndustry': 'Electronic Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '2c689cdc79c19f6a3a5bde88e685f92e'}"
AMAT,119418827250.98926,"{'name': 'APPLIED MATERIALS INC', 'ticker': 'AMAT', 'cik': '6951', 'cusip': '038222105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductor Equipment & Materials', 'sic': '3674', 'sicSector': 'Manufacturing', 'sicIndustry': 'Semiconductors & Related Devices', 'famaSector': '', 'famaIndustry': 'Electronic Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'e73c483755c5c704ddcd346e3e1c0a06'}"
ADI,94023193524.09229,"{'name': 'ANALOG DEVICES INC', 'ticker': 'ADI', 'cik': '6281', 'cusip': '032654105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductors', 'sic': '3674', 'sicSector': 'Manufacturing', 'sicIndustry': 'Semiconductors & Related Devices', 'famaSector': '', 'famaIndustry': 'Electronic Equipment', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': '884947bdf8268194ba1b7e20c76eac70'}"
MU,71237113098.375,"{'name': 'MICRON TECHNOLOGY INC', 'ticker': 'MU', 'cik': '723125', 'cusip': '595112103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductors', 'sic': '3674', 'sicSector': 'Manufacturing', 'sicIndustry': 'Semiconductors & Related Devices', 'famaSector': '', 'famaIndustry': 'Electronic Equipment', 'currency': 'USD', 'location': 'Idaho; U.S.A', 'id': '0813aa6b0f5ead6ed9edef13b884c6a3'}"
NXPI,51075434435.48584,"{'name': 'NXP SEMICONDUCTORS NV', 'ticker': 'NXPI', 'cik': '1413447', 'cusip': 'N6596X109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductors', 'sic': '3674', 'sicSector': 'Manufacturing', 'sicIndustry': 'Semiconductors & Related Devices', 'famaSector': '', 'famaIndustry': 'Electronic Equipment', 'currency': 'USD', 'location': 'Netherlands', 'id': 'e0ae2bece6f5cc7a80ecd4e28288d6af'}"
