,mkt_cap,stock_info
CTAS,49719913766.1438,"{'name': 'CINTAS CORP', 'ticker': 'CTAS', 'cik': '723254', 'cusip': '172908105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Specialty Business Services', 'sic': '2320', 'sicSector': 'Manufacturing', 'sicIndustry': ""Men'S & Boys' Furnishgs Work Clothg & Allied Garments"", 'famaSector': '', 'famaIndustry': 'Apparel', 'currency': 'USD', 'location': 'Ohio; U.S.A', 'id': 'd10fd3526850825caa070e1e4db030f9'}"
LULU,44388991530.76172,"{'name': 'LULULEMON ATHLETICA INC', 'ticker': 'LULU', 'cik': '1397187', 'cusip': '550021109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Apparel Retail', 'sic': '2300', 'sicSector': 'Manufacturing', 'sicIndustry': 'Apparel & Other Finishd Prods Of Fabrics & Similar Matl', 'famaSector': '', 'famaIndustry': 'Apparel', 'currency': 'USD', 'location': 'British Columbia; Canada', 'id': '6cc7110e6b99ce509760aaa3ad25de0e'}"
CROX,6568617469.425201,"{'name': 'CROCS INC', 'ticker': 'CROX', 'cik': '1334036', 'cusip': '227046109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Footwear & Accessories', 'sic': '3021', 'sicSector': 'Manufacturing', 'sicIndustry': 'Rubber & Plastics Footwear', 'famaSector': '', 'famaIndustry': 'Apparel', 'currency': 'USD', 'location': 'Colorado; U.S.A', 'id': 'e70f90967f8b859541c9399cd70c3a53'}"
COLM,4524168281.524658,"{'name': 'COLUMBIA SPORTSWEAR CO', 'ticker': 'COLM', 'cik': '1050797', 'cusip': '198516106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Apparel Manufacturing', 'sic': '2300', 'sicSector': 'Manufacturing', 'sicIndustry': 'Apparel & Other Finishd Prods Of Fabrics & Similar Matl', 'famaSector': '', 'famaIndustry': 'Apparel', 'currency': 'USD', 'location': 'Oregon; U.S.A', 'id': '8666a055b3f9bb25bd71bbadd3bc70e0'}"
SHOO,2386259097.5898743,"{'name': 'STEVEN MADDEN LTD', 'ticker': 'SHOO', 'cik': '913241', 'cusip': '556269108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Footwear & Accessories', 'sic': '3140', 'sicSector': 'Manufacturing', 'sicIndustry': 'Footwear (No Rubber)', 'famaSector': '', 'famaIndustry': 'Apparel', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': '6e0be2883cda86a9bb200dd80307cb69'}"
GIII,924501310.6769562,"{'name': 'G III APPAREL GROUP LTD', 'ticker': 'GIII', 'cik': '821002', 'cusip': '36237H101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Apparel Manufacturing', 'sic': '2300', 'sicSector': 'Manufacturing', 'sicIndustry': 'Apparel & Other Finishd Prods Of Fabrics & Similar Matl', 'famaSector': '', 'famaIndustry': 'Apparel', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': 'ec8161796c5fd1f0c27b30d84c44440a'}"
VRA,187837282.6253891,"{'name': 'VERA BRADLEY INC', 'ticker': 'VRA', 'cik': '1495320', 'cusip': '92335C106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Footwear & Accessories', 'sic': '3100', 'sicSector': 'Manufacturing', 'sicIndustry': 'Leather & Leather Products', 'famaSector': '', 'famaIndustry': 'Apparel', 'currency': 'USD', 'location': 'Indiana; U.S.A', 'id': 'aa790efddb88b10117c229e275553c6a'}"
SGC,157404873.61221313,"{'name': 'SUPERIOR GROUP OF COMPANIES INC', 'ticker': 'SGC', 'cik': '95574', 'cusip': '868358102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Apparel Manufacturing', 'sic': '2300', 'sicSector': 'Manufacturing', 'sicIndustry': 'Apparel & Other Finishd Prods Of Fabrics & Similar Matl', 'famaSector': '', 'famaIndustry': 'Apparel', 'currency': 'USD', 'location': 'Florida; U.S.A', 'id': '53e13d753e3ad6fe09be0ee61f8245bf'}"
RCKY,152100956.50096893,"{'name': 'ROCKY BRANDS INC', 'ticker': 'RCKY', 'cik': '895456', 'cusip': '774515100 774830103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Footwear & Accessories', 'sic': '3140', 'sicSector': 'Manufacturing', 'sicIndustry': 'Footwear (No Rubber)', 'famaSector': '', 'famaIndustry': 'Apparel', 'currency': 'USD', 'location': 'Ohio; U.S.A', 'id': 'aaf7e224831503080cdf62880994216c'}"
BIRD,130150439.01491165,"{'name': 'ALLBIRDS INC', 'ticker': 'BIRD', 'cik': '1653909', 'cusip': '01675A109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Apparel Retail', 'sic': '2300', 'sicSector': 'Manufacturing', 'sicIndustry': 'Apparel & Other Finishd Prods Of Fabrics & Similar Matl', 'famaSector': '', 'famaIndustry': 'Apparel', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '864a284f4be9ac9f92be4125054298af'}"
