,mkt_cap,stock_info
FER,22200317845.581055,"{'name': 'FERROVIAL SE', 'ticker': 'FER', 'cik': '1468522', 'cusip': '315437103 N3168P101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Industrials', 'industry': 'Infrastructure Operations', 'sic': '1600', 'sicSector': 'Construction', 'sicIndustry': 'Heavy Construction Other Than Bldg Const - Contractors', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'Netherlands', 'id': '2f8936cc53b7a1afc77841e73a78dc46'}"
LGIH,3100527086.4624023,"{'name': 'LGI HOMES INC', 'ticker': 'LGIH', 'cik': '1580670', 'cusip': '50187T106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Residential Construction', 'sic': '1531', 'sicSector': 'Construction', 'sicIndustry': 'Operative Builders', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '07138070699f05283f1700ee42e7dff0'}"
MYRG,2288477100.0,"{'name': 'MYR GROUP INC', 'ticker': 'MYRG', 'cik': '700923', 'cusip': '55405W104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Engineering & Construction', 'sic': '1623', 'sicSector': 'Construction', 'sicIndustry': 'Water Sewer Pipeline Comm & Power Line Construction', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'Illinois; U.S.A', 'id': '74a149c5a2b6f564f35251314983ddde'}"
STRL,1721874693.2563782,"{'name': 'STERLING INFRASTRUCTURE INC', 'ticker': 'STRL', 'cik': '874238', 'cusip': '859241101 672202108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Engineering & Construction', 'sic': '1600', 'sicSector': 'Construction', 'sicIndustry': 'Heavy Construction Other Than Bldg Const - Contractors', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '79dd8d9ae3371a30b0f727e19f26b89f'}"
ROAD,1429260455.7510376,"{'name': 'CONSTRUCTION PARTNERS INC', 'ticker': 'ROAD', 'cik': '1718227', 'cusip': '21044C107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Engineering & Construction', 'sic': '1600', 'sicSector': 'Construction', 'sicIndustry': 'Heavy Construction Other Than Bldg Const - Contractors', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'Alabama; U.S.A', 'id': '4c7096cdd46b7a3715e346ef9766bb5c'}"
IESC,1151045422.3556519,"{'name': 'IES HOLDINGS INC', 'ticker': 'IESC', 'cik': '1048268', 'cusip': '44951W106 45811E301 45811E103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Engineering & Construction', 'sic': '1731', 'sicSector': 'Construction', 'sicIndustry': 'Electrical Work', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': 'fd580b96826257fa09f04c434b27319c'}"
PLPC,765345360.7861328,"{'name': 'PREFORMED LINE PRODUCTS CO', 'ticker': 'PLPC', 'cik': '80035', 'cusip': '740444104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Electrical Equipment & Parts', 'sic': '1623', 'sicSector': 'Construction', 'sicIndustry': 'Water Sewer Pipeline Comm & Power Line Construction', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'Ohio; U.S.A', 'id': 'b2d4ba98e832357cf1e8dc8df60f3724'}"
GLDD,546125769.4379807,"{'name': 'GREAT LAKES DREDGE & DOCK CORP', 'ticker': 'GLDD', 'cik': '1372020', 'cusip': '390607109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Engineering & Construction', 'sic': '1600', 'sicSector': 'Construction', 'sicIndustry': 'Heavy Construction Other Than Bldg Const - Contractors', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'Illinois; U.S.A', 'id': '80858ae683a6d44a68ab5459e9ce2f30'}"
BBCP,430789630.06448746,"{'name': 'CONCRETE PUMPING HOLDINGS INC', 'ticker': 'BBCP', 'cik': '1703956', 'cusip': '206704108 45579J104 45579J203', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Industrials', 'industry': 'Engineering & Construction', 'sic': '1700', 'sicSector': 'Construction', 'sicIndustry': 'Construction - Special Trade Contractors', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'Colorado; U.S.A', 'id': 'e0adc13352f8f891ae5fc4dd06880045'}"
LSEA,318771828.5484314,"{'name': 'LANDSEA HOMES CORP', 'ticker': 'LSEA', 'cik': '1721386', 'cusip': '51509P103 50200K108 50200K207', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Real Estate', 'industry': 'Real Estate - Development', 'sic': '1531', 'sicSector': 'Construction', 'sicIndustry': 'Operative Builders', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': '664f33345f24fa1d222780a7b655c000'}"
LMB,271413842.1192169,"{'name': 'LIMBACH HOLDINGS INC', 'ticker': 'LMB', 'cik': '1606163', 'cusip': '53263P105 68245V103 68245V202', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Engineering & Construction', 'sic': '1700', 'sicSector': 'Construction', 'sicIndustry': 'Construction - Special Trade Contractors', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'Pennsylvania; U.S.A', 'id': '1b74030ee5087cb2b52a979c2e014ba0'}"
MTRX,153748547.12524414,"{'name': 'MATRIX SERVICE CO', 'ticker': 'MTRX', 'cik': '866273', 'cusip': '576853105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Engineering & Construction', 'sic': '1700', 'sicSector': 'Construction', 'sicIndustry': 'Construction - Special Trade Contractors', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'Oklahoma; U.S.A', 'id': '5eee9fc8aaa2ed5d2e9606037479d15a'}"
UHG,125601557.21740723,"{'name': 'UNITED HOMES GROUP INC', 'ticker': 'UHG', 'cik': '1830188', 'cusip': '25278L105 91060H108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Consumer Cyclical', 'industry': 'Residential Construction', 'sic': '1531', 'sicSector': 'Construction', 'sicIndustry': 'Operative Builders', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': 'b1e6e6f087829d1fe403df20fa1d74cc'}"
ESOA,46169961.52484417,"{'name': 'ENERGY SERVICES OF AMERICA CORP', 'ticker': 'ESOA', 'cik': '1357971', 'cusip': '29271Q103 29271Q202', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Engineering & Construction', 'sic': '1623', 'sicSector': 'Construction', 'sicIndustry': 'Water Sewer Pipeline Comm & Power Line Construction', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'West Virginia; U.S.A', 'id': '8be80b8826471df42931173898ebb02f'}"
CHCI,39187012.067222595,"{'name': 'COMSTOCK HOLDING COMPANIES INC', 'ticker': 'CHCI', 'cik': '1299969', 'cusip': '205684202 205684103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Real Estate', 'industry': 'Real Estate - Diversified', 'sic': '1531', 'sicSector': 'Construction', 'sicIndustry': 'Operative Builders', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'Virginia; U.S.A', 'id': '34a4d4f3c8f787a8241792bfa5b5542c'}"
ADD,27013201.073408127,"{'name': 'COLOR STAR TECHNOLOGY CO LTD', 'ticker': 'ADD', 'cik': '1747661', 'cusip': 'G2287A100 169365202 G2287A209 G21225100 169365103 G4645B101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Communication Services', 'industry': 'Entertainment', 'sic': '1700', 'sicSector': 'Construction', 'sicIndustry': 'Construction - Special Trade Contractors', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'China', 'id': '505d00aee76e469975e5d71b81a7a579'}"
WLGS,20980381.78408146,"{'name': 'WANG & LEE GROUP INC', 'ticker': 'WLGS', 'cik': '1899658', 'cusip': 'G9T22C100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Industrials', 'industry': 'Engineering & Construction', 'sic': '1700', 'sicSector': 'Construction', 'sicIndustry': 'Construction - Special Trade Contractors', 'famaSector': '', 'famaIndustry': 'Construction', 'currency': 'USD', 'location': 'Hong Kong', 'id': 'd24771be6cc0c750a59031af4c2a0994'}"
