,mkt_cap,stock_info
AZN,219671125368.19727,"{'name': 'ASTRAZENECA PLC', 'ticker': 'AZN', 'cik': '901832', 'cusip': '046353108 98934D106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Healthcare', 'industry': 'Drug Manufacturers - General', 'sic': '2834', 'sicSector': 'Manufacturing', 'sicIndustry': 'Pharmaceutical Preparations', 'famaSector': '', 'famaIndustry': 'Pharmaceutical Products', 'currency': 'USD', 'location': 'United Kingdom', 'id': 'fe5d3bc873efc7fe95b79100871df231'}"
SNY,132584165295.30469,"{'name': 'SANOFI', 'ticker': 'SNY', 'cik': '1121404', 'cusip': '80105N105 80105N204', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock Primary Class', 'sector': 'Healthcare', 'industry': 'Drug Manufacturers - General', 'sic': '2834', 'sicSector': 'Manufacturing', 'sicIndustry': 'Pharmaceutical Preparations', 'famaSector': '', 'famaIndustry': 'Pharmaceutical Products', 'currency': 'USD', 'location': 'France', 'id': '5868f02ea595101031e4c4c6803c3466'}"
AMGN,118637968333.76367,"{'name': 'AMGEN INC', 'ticker': 'AMGN', 'cik': '318154', 'cusip': '031162100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Drug Manufacturers - General', 'sic': '2836', 'sicSector': 'Manufacturing', 'sicIndustry': 'Biological Products (No Disgnostic Substances)', 'famaSector': '', 'famaIndustry': 'Pharmaceutical Products', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '4aa1d8c730cba5eadda210687e44b608'}"
GILD,94697059945.2627,"{'name': 'GILEAD SCIENCES INC', 'ticker': 'GILD', 'cik': '882095', 'cusip': '375558103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Drug Manufacturers - General', 'sic': '2836', 'sicSector': 'Manufacturing', 'sicIndustry': 'Biological Products (No Disgnostic Substances)', 'famaSector': '', 'famaIndustry': 'Pharmaceutical Products', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'dd680c09140c02208c4a3f10b26b43f5'}"
VRTX,89848888864.52344,"{'name': 'VERTEX PHARMACEUTICALS INC', 'ticker': 'VRTX', 'cik': '875320', 'cusip': '92532F100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Biotechnology', 'sic': '2834', 'sicSector': 'Manufacturing', 'sicIndustry': 'Pharmaceutical Preparations', 'famaSector': '', 'famaIndustry': 'Pharmaceutical Products', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': '3d3a79b1c71a8655a52ac7a7a08e214c'}"
REGN,76769348288.0249,"{'name': 'REGENERON PHARMACEUTICALS INC', 'ticker': 'REGN', 'cik': '872589', 'cusip': '75886F107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Biotechnology', 'sic': '2834', 'sicSector': 'Manufacturing', 'sicIndustry': 'Pharmaceutical Preparations', 'famaSector': '', 'famaIndustry': 'Pharmaceutical Products', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': '151510ef2e5157f34c88d82f340f1054'}"
MRNA,46797436633.91113,"{'name': 'MODERNA INC', 'ticker': 'MRNA', 'cik': '1682852', 'cusip': '60770K107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Biotechnology', 'sic': '2836', 'sicSector': 'Manufacturing', 'sicIndustry': 'Biological Products (No Disgnostic Substances)', 'famaSector': '', 'famaIndustry': 'Pharmaceutical Products', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': '2982cf3b49c1f0b50aa486c1edda8178'}"
BIIB,41077280063.88281,"{'name': 'BIOGEN INC', 'ticker': 'BIIB', 'cik': '875045', 'cusip': '09062X103 449370105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Drug Manufacturers - General', 'sic': '2836', 'sicSector': 'Manufacturing', 'sicIndustry': 'Biological Products (No Disgnostic Substances)', 'famaSector': '', 'famaIndustry': 'Pharmaceutical Products', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': 'b68ccadaf164fb8266446000e75cb1f1'}"
IDXX,40838591192.52344,"{'name': 'IDEXX LABORATORIES INC', 'ticker': 'IDXX', 'cik': '874716', 'cusip': '45168D104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Diagnostics & Research', 'sic': '2835', 'sicSector': 'Manufacturing', 'sicIndustry': 'In Vitro & In Vivo Diagnostic Substances', 'famaSector': '', 'famaIndustry': 'Pharmaceutical Products', 'currency': 'USD', 'location': 'Maine; U.S.A', 'id': 'b3e798ef9703e04ab13fef6f75e1faad'}"
BNTX,25785930000.0,"{'name': 'BIONTECH SE', 'ticker': 'BNTX', 'cik': '1776985', 'cusip': '09075V102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Healthcare', 'industry': 'Biotechnology', 'sic': '2836', 'sicSector': 'Manufacturing', 'sicIndustry': 'Biological Products (No Disgnostic Substances)', 'famaSector': '', 'famaIndustry': 'Pharmaceutical Products', 'currency': 'USD', 'location': 'Germany', 'id': '72e2e0207654c9e6fd958095f265cda6'}"
