,mkt_cap,stock_info
PLUG,7425589760.0,"{'name': 'PLUG POWER INC', 'ticker': 'PLUG', 'cik': '1093691', 'cusip': '72919P202 72919P103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Electrical Equipment & Parts', 'sic': '3620', 'sicSector': 'Manufacturing', 'sicIndustry': 'Electrical Industrial Apparatus', 'famaSector': '', 'famaIndustry': 'Electrical Equipment', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': '7eafbcbc0c71afa0f9d4aee8352408da'}"
WWD,7180007665.182495,"{'name': 'WOODWARD INC', 'ticker': 'WWD', 'cik': '108312', 'cusip': '980745103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Aerospace & Defense', 'sic': '3620', 'sicSector': 'Manufacturing', 'sicIndustry': 'Electrical Industrial Apparatus', 'famaSector': '', 'famaIndustry': 'Electrical Equipment', 'currency': 'USD', 'location': 'Colorado; U.S.A', 'id': '93b78995edf719fea4966e0d681afd2b'}"
LFUS,7080655296.508789,"{'name': 'LITTELFUSE INC', 'ticker': 'LFUS', 'cik': '889331', 'cusip': '537008104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Electronic Components', 'sic': '3613', 'sicSector': 'Manufacturing', 'sicIndustry': 'Switchgear & Switchboard Apparatus', 'famaSector': '', 'famaIndustry': 'Electrical Equipment', 'currency': 'USD', 'location': 'Illinois; U.S.A', 'id': 'a8d3ab2db5a26873e3f65d2167b4a3f2'}"
NOVT,6551354781.355286,"{'name': 'NOVANTA INC', 'ticker': 'NOVT', 'cik': '1076930', 'cusip': '67000B104 36191C205 36229U102 370737108 36191C106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Scientific & Technical Instruments', 'sic': '3690', 'sicSector': 'Manufacturing', 'sicIndustry': 'Miscellaneous Electrical Machinery Equipment & Supplies', 'famaSector': '', 'famaIndustry': 'Electrical Equipment', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': '82333e214bde482184293bda14fafc66'}"
FELE,4686827270.812225,"{'name': 'FRANKLIN ELECTRIC CO INC', 'ticker': 'FELE', 'cik': '38725', 'cusip': '353514102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Specialty Industrial Machinery', 'sic': '3621', 'sicSector': 'Manufacturing', 'sicIndustry': 'Motors & Generators', 'famaSector': '', 'famaIndustry': 'Electrical Equipment', 'currency': 'USD', 'location': 'Indiana; U.S.A', 'id': '7a4fbcca0125334a4b8bedf8d22807ed'}"
FLNC,3386712501.4533997,"{'name': 'FLUENCE ENERGY INC', 'ticker': 'FLNC', 'cik': '1868941', 'cusip': '34379V103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Utilities', 'industry': 'Utilities - Renewable', 'sic': '3690', 'sicSector': 'Manufacturing', 'sicIndustry': 'Miscellaneous Electrical Machinery Equipment & Supplies', 'famaSector': '', 'famaIndustry': 'Electrical Equipment', 'currency': 'USD', 'location': 'Virginia; U.S.A', 'id': '99f75ec1498e77210265ed28e7aeb078'}"
ENVX,3046400012.9699707,"{'name': 'ENOVIX CORP', 'ticker': 'ENVX', 'cik': '1828318', 'cusip': '293594107 774873103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Industrials', 'industry': 'Electrical Equipment & Parts', 'sic': '3690', 'sicSector': 'Manufacturing', 'sicIndustry': 'Miscellaneous Electrical Machinery Equipment & Supplies', 'famaSector': '', 'famaIndustry': 'Electrical Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '7766f697168f32e369d00623447e209c'}"
NCNC,1428786525.8312225,"{'name': 'NOCO-NOCO INC', 'ticker': 'NCNC', 'cik': '1964021', 'cusip': '74168P107 G7243P109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock Primary Class', 'sector': 'Consumer Cyclical', 'industry': 'Auto Parts', 'sic': '3690', 'sicSector': 'Manufacturing', 'sicIndustry': 'Miscellaneous Electrical Machinery Equipment & Supplies', 'famaSector': '', 'famaIndustry': 'Electrical Equipment', 'currency': 'USD', 'location': 'Singapore', 'id': 'c47ce90266278ce8af30497dea65113b'}"
BLDP,1317302863.75177,"{'name': 'BALLARD POWER SYSTEMS INC', 'ticker': 'BLDP', 'cik': '1453015', 'cusip': '058586108 05858H104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Canadian Common Stock', 'sector': 'Industrials', 'industry': 'Specialty Industrial Machinery', 'sic': '3620', 'sicSector': 'Manufacturing', 'sicIndustry': 'Electrical Industrial Apparatus', 'famaSector': '', 'famaIndustry': 'Electrical Equipment', 'currency': 'USD', 'location': 'British Columbia; Canada', 'id': '689b316d9e575ba5e595893dd711cad2'}"
HOLI,1089738772.472763,"{'name': 'HOLLYSYS AUTOMATION TECHNOLOGIES LTD', 'ticker': 'HOLI', 'cik': '1357450', 'cusip': 'G45667105 G4604M106 15956A109 15956A208', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Industrials', 'industry': 'Electrical Equipment & Parts', 'sic': '3620', 'sicSector': 'Manufacturing', 'sicIndustry': 'Electrical Industrial Apparatus', 'famaSector': '', 'famaIndustry': 'Electrical Equipment', 'currency': 'USD', 'location': 'China', 'id': 'dd43210bacdf3e79b1886e55f4dce939'}"
