,mkt_cap,stock_info
MDLZ,96953499162.59766,"{'name': 'MONDELEZ INTERNATIONAL INC', 'ticker': 'MDLZ', 'cik': '1103982', 'cusip': '609207105 50075N104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Confectioners', 'sic': '2000', 'sicSector': 'Manufacturing', 'sicIndustry': 'Food And Kindred Products', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'Illinois; U.S.A', 'id': '73594b6f061764485cae1aee943b2c50'}"
KHC,42524787676.50244,"{'name': 'KRAFT HEINZ CO', 'ticker': 'KHC', 'cik': '1637459', 'cusip': '500754106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2030', 'sicSector': 'Manufacturing', 'sicIndustry': 'Canned Frozen & Preservd Fruit Veg & Food Specialties', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'Pennsylvania; U.S.A', 'id': '5703869fc4b6b94f4130074b8c6eb495'}"
LANC,5466586829.193115,"{'name': 'LANCASTER COLONY CORP', 'ticker': 'LANC', 'cik': '57515', 'cusip': '513847103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2030', 'sicSector': 'Manufacturing', 'sicIndustry': 'Canned Frozen & Preservd Fruit Veg & Food Specialties', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'Ohio; U.S.A', 'id': 'ee039ddd9e7eb842cf2ae8a23ed48311'}"
PPC,4954478261.125366,"{'name': 'PILGRIMS PRIDE CORP', 'ticker': 'PPC', 'cik': '802481', 'cusip': '72147K108 721467108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2015', 'sicSector': 'Manufacturing', 'sicIndustry': 'Poultry Slaughtering And Processing', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'Colorado; U.S.A', 'id': '0649d3a72ede68c2cf2fd2aa15a01ac1'}"
SMPL,3576606575.771332,"{'name': 'SIMPLY GOOD FOODS CO', 'ticker': 'SMPL', 'cik': '1702744', 'cusip': '82900L102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2000', 'sicSector': 'Manufacturing', 'sicIndustry': 'Food And Kindred Products', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'Colorado; U.S.A', 'id': 'd05ce99ef7a1b5faa87e8ce98e62cd3e'}"
FRPT,3117987646.9802856,"{'name': 'FRESHPET INC', 'ticker': 'FRPT', 'cik': '1611647', 'cusip': '358039105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2040', 'sicSector': 'Manufacturing', 'sicIndustry': 'Grain Mill Products', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'New Jersey; U.S.A', 'id': '56f77eaabdf20974cc941a5d87ac119a'}"
JJSF,3081436430.8380127,"{'name': 'J&J SNACK FOODS CORP', 'ticker': 'JJSF', 'cik': '785956', 'cusip': '466032109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2052', 'sicSector': 'Manufacturing', 'sicIndustry': 'Cookies & Crackers', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'New Jersey; U.S.A', 'id': '36c9d56fcc77dbfa76397f06e774e51b'}"
OTLY,1213922312.0202637,"{'name': 'OATLY GROUP AB', 'ticker': 'OTLY', 'cik': '1843586', 'cusip': '67421J108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Beverages - Non-Alcoholic', 'sic': '2000', 'sicSector': 'Manufacturing', 'sicIndustry': 'Food And Kindred Products', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'Sweden', 'id': '737fa023877d4982a732167439134cfa'}"
HAIN,1134730942.7618408,"{'name': 'HAIN CELESTIAL GROUP INC', 'ticker': 'HAIN', 'cik': '910406', 'cusip': '405217100 405219106 49460E208', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2000', 'sicSector': 'Manufacturing', 'sicIndustry': 'Food And Kindred Products', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': 'a1e5df82e7adf358ee6da096679eaec8'}"
JBSS,1074960939.8968506,"{'name': 'SANFILIPPO JOHN B & SON INC', 'ticker': 'JBSS', 'cik': '880117', 'cusip': '800422107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2060', 'sicSector': 'Manufacturing', 'sicIndustry': 'Sugar & Confectionery Products', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'Illinois; U.S.A', 'id': '79dbeb0af727f9a70ec5bf12c6877d13'}"
