,mkt_cap,stock_info
NFLX,184529036606.0625,"{'name': 'NETFLIX INC', 'ticker': 'NFLX', 'cik': '1065280', 'cusip': '64110L106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Communication Services', 'industry': 'Entertainment', 'sic': '7841', 'sicSector': 'Services', 'sicIndustry': 'Services-Video Tape Rental', 'famaSector': '', 'famaIndustry': 'Entertainment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'df4c60cdeaa922333a190a7954c0c6c6'}"
DKNG,12731020582.162354,"{'name': 'DRAFTKINGS INC', 'ticker': 'DKNG', 'cik': '1883685', 'cusip': '26142R104 26142V105 25258L109 25258L208', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Consumer Cyclical', 'industry': 'Gambling', 'sic': '7990', 'sicSector': 'Services', 'sicIndustry': 'Services-Miscellaneous Amusement & Recreation', 'famaSector': '', 'famaIndustry': 'Entertainment', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': 'f7cf6fc0b57ec66eb4da868d637cf7f3'}"
CHDN,9989314917.761719,"{'name': 'CHURCHILL DOWNS INC', 'ticker': 'CHDN', 'cik': '20212', 'cusip': '171484108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Gambling', 'sic': '7948', 'sicSector': 'Services', 'sicIndustry': 'Services-Racing Including Track Operation', 'famaSector': '', 'famaIndustry': 'Entertainment', 'currency': 'USD', 'location': 'Kentucky; U.S.A', 'id': '68f59d6861d263712251825e5396af93'}"
IQ,4942264417.920593,"{'name': 'IQIYI INC', 'ticker': 'IQ', 'cik': '1722608', 'cusip': '46267X108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Communication Services', 'industry': 'Entertainment', 'sic': '7841', 'sicSector': 'Services', 'sicIndustry': 'Services-Video Tape Rental', 'famaSector': '', 'famaIndustry': 'Entertainment', 'currency': 'USD', 'location': 'China', 'id': '5b8459fa541ac08b634b37bca993a664'}"
WMG,3743877847.142029,"{'name': 'WARNER MUSIC GROUP CORP', 'ticker': 'WMG', 'cik': '1319161', 'cusip': '934550203', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Communication Services', 'industry': 'Entertainment', 'sic': '7900', 'sicSector': 'Services', 'sicIndustry': 'Services-Amusement & Recreation Services', 'famaSector': '', 'famaIndustry': 'Entertainment', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': '64039f94d9bc6150224634898a4ff3c9'}"
BATRK,2019678786.093521,"{'name': 'ATLANTA BRAVES HOLDINGS INC', 'ticker': 'BATRK', 'cik': '1958140', 'cusip': '047726302', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Secondary Class', 'sector': 'Communication Services', 'industry': 'Entertainment', 'sic': '7900', 'sicSector': 'Services', 'sicIndustry': 'Services-Amusement & Recreation Services', 'famaSector': '', 'famaIndustry': 'Entertainment', 'currency': 'USD', 'location': 'Colorado; U.S.A', 'id': 'a68b851df7228f258f748cd605b6874e'}"
OSW,1235625219.9726105,"{'name': 'ONESPAWORLD HOLDINGS LTD', 'ticker': 'OSW', 'cik': '1758488', 'cusip': 'P73684113', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Leisure', 'sic': '7997', 'sicSector': 'Services', 'sicIndustry': 'Services-Membership Sports & Recreation Clubs', 'famaSector': '', 'famaIndustry': 'Entertainment', 'currency': 'USD', 'location': 'Bahamas', 'id': '9b3deb3fd318f6a3b54c6d6d0bb4b4e7'}"
GDEN,1209766199.5033264,"{'name': 'GOLDEN ENTERTAINMENT INC', 'ticker': 'GDEN', 'cik': '1071255', 'cusip': '381013101 51206P109 51206P208', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Resorts & Casinos', 'sic': '7990', 'sicSector': 'Services', 'sicIndustry': 'Services-Miscellaneous Amusement & Recreation', 'famaSector': '', 'famaIndustry': 'Entertainment', 'currency': 'USD', 'location': 'Nevada; U.S.A', 'id': 'e7364b1a3da04af65e093afcda909a87'}"
SEAT,1044844624.9322891,"{'name': 'VIVID SEATS INC', 'ticker': 'SEAT', 'cik': '1856031', 'cusip': '92854T100 G46049105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Communication Services', 'industry': 'Internet Content & Information', 'sic': '7990', 'sicSector': 'Services', 'sicIndustry': 'Services-Miscellaneous Amusement & Recreation', 'famaSector': '', 'famaIndustry': 'Entertainment', 'currency': 'USD', 'location': 'Illinois; U.S.A', 'id': '280d9d94445e4f8ce08973f847e0fd09'}"
BATRA,426141652.12783813,"{'name': 'ATLANTA BRAVES HOLDINGS INC', 'ticker': 'BATRA', 'cik': '1958140', 'cusip': '047726104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Communication Services', 'industry': 'Entertainment', 'sic': '7900', 'sicSector': 'Services', 'sicIndustry': 'Services-Amusement & Recreation Services', 'famaSector': '', 'famaIndustry': 'Entertainment', 'currency': 'USD', 'location': 'Colorado; U.S.A', 'id': 'eb12481fc45260390d7a8b8c2c66a315'}"
