,mkt_cap,stock_info
AAPL,2907191956777.9688,"{'name': 'APPLE INC', 'ticker': 'AAPL', 'cik': '320193', 'cusip': '037833100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Consumer Electronics', 'sic': '3571', 'sicSector': 'Manufacturing', 'sicIndustry': 'Electronic Computers', 'famaSector': '', 'famaIndustry': 'Computers', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'a43c3ffca9b4a0be9cee4fa1120832a2'}"
CSCO,206315355592.1543,"{'name': 'CISCO SYSTEMS INC', 'ticker': 'CSCO', 'cik': '858877', 'cusip': '17275R102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Communication Equipment', 'sic': '3576', 'sicSector': 'Manufacturing', 'sicIndustry': 'Computer Communications Equipment', 'famaSector': '', 'famaIndustry': 'Computers', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'f1d965fb3754a739a57749cd8d021351'}"
PANW,82028254592.89551,"{'name': 'PALO ALTO NETWORKS INC', 'ticker': 'PANW', 'cik': '1327567', 'cusip': '697435105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Software - Infrastructure', 'sic': '3577', 'sicSector': 'Manufacturing', 'sicIndustry': 'Computer Peripheral Equipment Nec', 'famaSector': '', 'famaIndustry': 'Computers', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'adba1ee77439be211814da99235e32b4'}"
FTNT,57364100420.93555,"{'name': 'FORTINET INC', 'ticker': 'FTNT', 'cik': '1262039', 'cusip': '34959E109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Software - Infrastructure', 'sic': '3577', 'sicSector': 'Manufacturing', 'sicIndustry': 'Computer Peripheral Equipment Nec', 'famaSector': '', 'famaIndustry': 'Computers', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '0a755dd188ac2a85f1e97ec433a60e13'}"
NTAP,15671822614.02893,"{'name': 'NETAPP INC', 'ticker': 'NTAP', 'cik': '1002047', 'cusip': '64110D104 64120L104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Computer Hardware', 'sic': '3572', 'sicSector': 'Manufacturing', 'sicIndustry': 'Computer Storage Devices', 'famaSector': '', 'famaIndustry': 'Computers', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'e7478be1ad8d2e70402fbc7a5089d0c2'}"
SMCI,13815234616.119385,"{'name': 'SUPER MICRO COMPUTER INC', 'ticker': 'SMCI', 'cik': '1375365', 'cusip': '86800U104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Computer Hardware', 'sic': '3571', 'sicSector': 'Manufacturing', 'sicIndustry': 'Electronic Computers', 'famaSector': '', 'famaIndustry': 'Computers', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'b28b6843e607148cd4218cc91b26242f'}"
STX,13006717876.104004,"{'name': 'SEAGATE TECHNOLOGY HOLDINGS PLC', 'ticker': 'STX', 'cik': '1137789', 'cusip': 'G7945M107 G7997R103 G7945J104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Computer Hardware', 'sic': '3572', 'sicSector': 'Manufacturing', 'sicIndustry': 'Computer Storage Devices', 'famaSector': '', 'famaIndustry': 'Computers', 'currency': 'USD', 'location': 'Ireland', 'id': 'bc6f455723b81722547f6ff9fbaa92f6'}"
WDC,12277339200.962402,"{'name': 'WESTERN DIGITAL CORP', 'ticker': 'WDC', 'cik': '106040', 'cusip': '958102105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Computer Hardware', 'sic': '3572', 'sicSector': 'Manufacturing', 'sicIndustry': 'Computer Storage Devices', 'famaSector': '', 'famaIndustry': 'Computers', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'f26800687d1fc967b4b8490acded39c5'}"
LOGI,8979542950.241089,"{'name': 'LOGITECH INTERNATIONAL SA', 'ticker': 'LOGI', 'cik': '1032975', 'cusip': 'H50430232 541419107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Computer Hardware', 'sic': '3577', 'sicSector': 'Manufacturing', 'sicIndustry': 'Computer Peripheral Equipment Nec', 'famaSector': '', 'famaIndustry': 'Computers', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '22561ea80a8058e7c86f33f280b7436e'}"
FFIV,8543784028.414917,"{'name': 'F5 INC', 'ticker': 'FFIV', 'cik': '1048695', 'cusip': '315616102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Software - Infrastructure', 'sic': '3576', 'sicSector': 'Manufacturing', 'sicIndustry': 'Computer Communications Equipment', 'famaSector': '', 'famaIndustry': 'Computers', 'currency': 'USD', 'location': 'Washington; U.S.A', 'id': 'c2fa660cfbae807c4f21f6ae38123eec'}"
