,mkt_cap,stock_info
ACHC,7394135336.87439,"{'name': 'ACADIA HEALTHCARE COMPANY INC', 'ticker': 'ACHC', 'cik': '1520697', 'cusip': '00404A109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Care Facilities', 'sic': '8093', 'sicSector': 'Services', 'sicIndustry': 'Services-Specialty Outpatient Facilities Nec', 'famaSector': '', 'famaIndustry': 'Healthcare', 'currency': 'USD', 'location': 'Tennessee; U.S.A', 'id': '26fb5b8bbcc41b6382594759a0fc02cb'}"
NTRA,6021030940.093994,"{'name': 'NATERA INC', 'ticker': 'NTRA', 'cik': '1604821', 'cusip': '632307104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Diagnostics & Research', 'sic': '8071', 'sicSector': 'Services', 'sicIndustry': 'Services-Medical Laboratories', 'famaSector': '', 'famaIndustry': 'Healthcare', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'fb5981db2368b0e59f1dc2fe07293461'}"
SGRY,5730668479.393005,"{'name': 'SURGERY PARTNERS INC', 'ticker': 'SGRY', 'cik': '1638833', 'cusip': '86881A100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Care Facilities', 'sic': '8062', 'sicSector': 'Services', 'sicIndustry': 'Services-General Medical & Surgical Hospitals Nec', 'famaSector': '', 'famaIndustry': 'Healthcare', 'currency': 'USD', 'location': 'Tennessee; U.S.A', 'id': 'bdfae54ffbc91bb017810c911e09f7b1'}"
OPCH,5549944933.044434,"{'name': 'OPTION CARE HEALTH INC', 'ticker': 'OPCH', 'cik': '1014739', 'cusip': '68404L201 09069N108 68404L102 553044108 09069N991', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Care Facilities', 'sic': '8082', 'sicSector': 'Services', 'sicIndustry': 'Services-Home Health Care Services', 'famaSector': '', 'famaIndustry': 'Healthcare', 'currency': 'USD', 'location': 'Colorado; U.S.A', 'id': 'b91f28348a6439442ba9fbdbcb6230a2'}"
ENSG,5427607963.142395,"{'name': 'ENSIGN GROUP INC', 'ticker': 'ENSG', 'cik': '1125376', 'cusip': '29358P101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Care Facilities', 'sic': '8051', 'sicSector': 'Services', 'sicIndustry': 'Services-Skilled Nursing Care Facilities', 'famaSector': '', 'famaIndustry': 'Healthcare', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '5260265688d0979bf95c7720e8e76475'}"
SHC,5372687602.260376,"{'name': 'SOTERA HEALTH CO', 'ticker': 'SHC', 'cik': '1822479', 'cusip': '83601L102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Diagnostics & Research', 'sic': '8090', 'sicSector': 'Services', 'sicIndustry': 'Services-Misc Health & Allied Services Nec', 'famaSector': '', 'famaIndustry': 'Healthcare', 'currency': 'USD', 'location': 'Ohio; U.S.A', 'id': '5367382c5951f58df4b1b4fa01539f36'}"
GH,4440771122.032166,"{'name': 'GUARDANT HEALTH INC', 'ticker': 'GH', 'cik': '1576280', 'cusip': '40131M109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Diagnostics & Research', 'sic': '8071', 'sicSector': 'Services', 'sicIndustry': 'Services-Medical Laboratories', 'famaSector': '', 'famaIndustry': 'Healthcare', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'c46842682d83ae6226c4f00fc95f53d1'}"
PGNY,3712655408.78479,"{'name': 'PROGYNY INC', 'ticker': 'PGNY', 'cik': '1551306', 'cusip': '74340E103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Health Information Services', 'sic': '8090', 'sicSector': 'Services', 'sicIndustry': 'Services-Misc Health & Allied Services Nec', 'famaSector': '', 'famaIndustry': 'Healthcare', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': '2f0aee42243d24c22585848697495ed1'}"
LFST,3570569978.3325195,"{'name': 'LIFESTANCE HEALTH GROUP INC', 'ticker': 'LFST', 'cik': '1845257', 'cusip': '53228F101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Care Facilities', 'sic': '8000', 'sicSector': 'Services', 'sicIndustry': 'Services-Health Services', 'famaSector': '', 'famaIndustry': 'Healthcare', 'currency': 'USD', 'location': 'Arizona; U.S.A', 'id': '4e9c24af3f24eb42be68b27851ee48cd'}"
PRVA,3169086016.277313,"{'name': 'PRIVIA HEALTH GROUP INC', 'ticker': 'PRVA', 'cik': '1759655', 'cusip': '74276R102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Health Information Services', 'sic': '8000', 'sicSector': 'Services', 'sicIndustry': 'Services-Health Services', 'famaSector': '', 'famaIndustry': 'Healthcare', 'currency': 'USD', 'location': 'Virginia; U.S.A', 'id': '87b695b713c58d1e102f16d2822f7f56'}"
