,mkt_cap,stock_info
FOXF,4487015543.299866,"{'name': 'FOX FACTORY HOLDING CORP', 'ticker': 'FOXF', 'cik': '1424929', 'cusip': '35138V102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Auto Parts', 'sic': '3751', 'sicSector': 'Manufacturing', 'sicIndustry': 'Motorcycles Bicycles & Parts', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'Georgia; U.S.A', 'id': 'd265afdd985425605d8b1f428b5c00c3'}"
IPAR,4266824639.9108887,"{'name': 'INTER PARFUMS INC', 'ticker': 'IPAR', 'cik': '822663', 'cusip': '458334109 472154301', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Household & Personal Products', 'sic': '2844', 'sicSector': 'Manufacturing', 'sicIndustry': 'Perfumes Cosmetics & Other Toilet Preparations', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': 'f7fc5e152fb3fafae2deebd0986421ff'}"
HELE,2555289192.7337646,"{'name': 'HELEN OF TROY LTD', 'ticker': 'HELE', 'cik': '916789', 'cusip': 'G4388N106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Household & Personal Products', 'sic': '3634', 'sicSector': 'Manufacturing', 'sicIndustry': 'Electric Housewares & Fans', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'Bermuda', 'id': 'b271943cf7f0b5ca69c7067d3295bb5b'}"
OLPX,2474993656.231064,"{'name': 'OLAPLEX HOLDINGS INC', 'ticker': 'OLPX', 'cik': '1868726', 'cusip': '679369108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Specialty Retail', 'sic': '2844', 'sicSector': 'Manufacturing', 'sicIndustry': 'Perfumes Cosmetics & Other Toilet Preparations', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '08ca9316f1a54e8abea8299cc4f47892'}"
IRBT,1286889175.0,"{'name': 'IROBOT CORP', 'ticker': 'IRBT', 'cik': '1159167', 'cusip': '462726100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Furnishings Fixtures & Appliances', 'sic': '3630', 'sicSector': 'Manufacturing', 'sicIndustry': 'Household Appliances', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': '011399858fad491023f8d471bfeb4adb'}"
APOG,1059593999.6376038,"{'name': 'APOGEE ENTERPRISES INC', 'ticker': 'APOG', 'cik': '6845', 'cusip': '037598109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Building Products & Equipment', 'sic': '3231', 'sicSector': 'Manufacturing', 'sicIndustry': 'Glass Products Made Of Purchased Glass', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'Minnesota; U.S.A', 'id': '8756795971bfb7d5749f87873050b951'}"
WALD,850206000.0,"{'name': 'WALDENCAST PLC', 'ticker': 'WALD', 'cik': '1840199', 'cusip': 'G9460C100 G9503X103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock Primary Class', 'sector': 'Technology', 'industry': 'Software - Application', 'sic': '2844', 'sicSector': 'Manufacturing', 'sicIndustry': 'Perfumes Cosmetics & Other Toilet Preparations', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': 'c6fc2d9c6435646b15db2794db3dbd2e'}"
SNBR,598796723.1864929,"{'name': 'SLEEP NUMBER CORP', 'ticker': 'SNBR', 'cik': '827187', 'cusip': '83125X103 81616X103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Furnishings Fixtures & Appliances', 'sic': '2510', 'sicSector': 'Manufacturing', 'sicIndustry': 'Household Furniture', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'Minnesota; U.S.A', 'id': '4c6b438b73e6d08206af9c1dd7df6ea4'}"
WULF,577781918.6901245,"{'name': 'TERAWULF INC', 'ticker': 'WULF', 'cik': '1083301', 'cusip': '88080T104 45172K102 171088107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Financial Services', 'industry': 'Capital Markets', 'sic': '3861', 'sicSector': 'Manufacturing', 'sicIndustry': 'Photographic Equipment & Supplies', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'Minnesota; U.S.A', 'id': '376a2684ab2e02ee0d414904f4949a04'}"
GPRO,529372175.9595871,"{'name': 'GOPRO INC', 'ticker': 'GPRO', 'cik': '1500435', 'cusip': '38268T103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Consumer Electronics', 'sic': '3861', 'sicSector': 'Manufacturing', 'sicIndustry': 'Photographic Equipment & Supplies', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'e6a7c518b946ef2d97aa421b9d11f1ed'}"
PRPL,311721010.2510452,"{'name': 'PURPLE INNOVATION INC', 'ticker': 'PRPL', 'cik': '1643953', 'cusip': '74640Y106 37954X105 37954X204', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Consumer Cyclical', 'industry': 'Furnishings Fixtures & Appliances', 'sic': '2510', 'sicSector': 'Manufacturing', 'sicIndustry': 'Household Furniture', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'Utah; U.S.A', 'id': '094ebb8934ed0d119ad229656bb22057'}"
HOFT,200825351.85012817,"{'name': 'HOOKER FURNISHINGS CORP', 'ticker': 'HOFT', 'cik': '1077688', 'cusip': '439038100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Furnishings Fixtures & Appliances', 'sic': '2510', 'sicSector': 'Manufacturing', 'sicIndustry': 'Household Furniture', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'Virginia; U.S.A', 'id': 'cdfb5ddd8e764b2b0f3df4a9c159320a'}"
EZGO,164486619.89730835,"{'name': 'EZGO TECHNOLOGIES LTD', 'ticker': 'EZGO', 'cik': '1806904', 'cusip': 'G5279F102 G5279F110', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Recreational Vehicles', 'sic': '3751', 'sicSector': 'Manufacturing', 'sicIndustry': 'Motorcycles Bicycles & Parts', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'China', 'id': '193f45a5328836a70fb576f3d49d9288'}"
ZAPP,147112820.0,"{'name': 'ZAPP ELECTRIC VEHICLES GROUP LTD', 'ticker': 'ZAPP', 'cik': '1955104', 'cusip': '12561U109 G9889X107 G9889X123', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock Primary Class', 'sector': 'Consumer Cyclical', 'industry': 'Auto Manufacturers', 'sic': '3751', 'sicSector': 'Manufacturing', 'sicIndustry': 'Motorcycles Bicycles & Parts', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'United Kingdom', 'id': '58da00ae08a998c58892f79215bf5a55'}"
FOSL,135508988.971138,"{'name': 'FOSSIL GROUP INC', 'ticker': 'FOSL', 'cik': '883569', 'cusip': '34988V106 349882100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Consumer Cyclical', 'industry': 'Luxury Goods', 'sic': '3873', 'sicSector': 'Manufacturing', 'sicIndustry': 'Watches Clocks Clockwork Operated Devices/Parts', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '903f1d7de3772090fe1bac5cd29aca18'}"
BSET,132784399.66320992,"{'name': 'BASSETT FURNITURE INDUSTRIES INC', 'ticker': 'BSET', 'cik': '10329', 'cusip': '070203104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Furnishings Fixtures & Appliances', 'sic': '2511', 'sicSector': 'Manufacturing', 'sicIndustry': 'Wood Household Furniture (No Upholstered)', 'famaSector': '', 'famaIndustry': 'Consumer Goods', 'currency': 'USD', 'location': 'Virginia; U.S.A', 'id': '15a7bc9329e18d6444d959da07624968'}"
