,mkt_cap,stock_info
KLAC,64254248679.19922,"{'name': 'KLA CORP', 'ticker': 'KLAC', 'cik': '319201', 'cusip': '482480100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductor Equipment & Materials', 'sic': '3827', 'sicSector': 'Manufacturing', 'sicIndustry': 'Optical Instruments & Lenses', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'dff036756ef01fce3e927fedb6287cac'}"
ROP,50967336372.680664,"{'name': 'ROPER TECHNOLOGIES INC', 'ticker': 'ROP', 'cik': '882835', 'cusip': '776696106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Software - Application', 'sic': '3823', 'sicSector': 'Manufacturing', 'sicIndustry': 'Industrial Instruments For Measurement Display And Control', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Florida; U.S.A', 'id': '3e4ea523df7ef418bdd265be4e166628'}"
ILMN,29548557875.061035,"{'name': 'ILLUMINA INC', 'ticker': 'ILMN', 'cik': '1110803', 'cusip': '452327109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Diagnostics & Research', 'sic': '3826', 'sicSector': 'Manufacturing', 'sicIndustry': 'Laboratory Analytical Instruments', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '512f5bf50a9d437edafadfcbe45bbf57'}"
TER,17078653038.208008,"{'name': 'TERADYNE INC', 'ticker': 'TER', 'cik': '97210', 'cusip': '880770102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductor Equipment & Materials', 'sic': '3825', 'sicSector': 'Manufacturing', 'sicIndustry': 'Instruments For Meas & Testing Of Electricity & Elec Signals', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': '4d2156a169a977d65e25aec227e38d32'}"
TRMB,12886856271.78955,"{'name': 'TRIMBLE INC', 'ticker': 'TRMB', 'cik': '864749', 'cusip': '896239100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Scientific & Technical Instruments', 'sic': '3829', 'sicSector': 'Manufacturing', 'sicIndustry': 'Measuring & Controlling Devices Nec', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '99fe6a759f2ab78f11b3ec51ddba3861'}"
BRKR,11050554211.975098,"{'name': 'BRUKER CORP', 'ticker': 'BRKR', 'cik': '1109354', 'cusip': '116794108 116795105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Devices', 'sic': '3826', 'sicSector': 'Manufacturing', 'sicIndustry': 'Laboratory Analytical Instruments', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': '487445f5a45b90ff3152153ce1b560c2'}"
CGNX,9532390650.45166,"{'name': 'COGNEX CORP', 'ticker': 'CGNX', 'cik': '851205', 'cusip': '192422103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Scientific & Technical Instruments', 'sic': '3823', 'sicSector': 'Manufacturing', 'sicIndustry': 'Industrial Instruments For Measurement Display And Control', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': '2f8163a3c1c124f076849cc80ca331b3'}"
MKSI,7150390452.081299,"{'name': 'MKS INSTRUMENTS INC', 'ticker': 'MKSI', 'cik': '1049502', 'cusip': '55306N104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Scientific & Technical Instruments', 'sic': '3823', 'sicSector': 'Manufacturing', 'sicIndustry': 'Industrial Instruments For Measurement Display And Control', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': 'b8ca9276d6fa43bc7506e3a74bdece0f'}"
TXG,5990468480.606079,"{'name': '10X GENOMICS INC', 'ticker': 'TXG', 'cik': '1770787', 'cusip': '88025U109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Health Information Services', 'sic': '3826', 'sicSector': 'Manufacturing', 'sicIndustry': 'Laboratory Analytical Instruments', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '75b650de170c4d7fa1be3c09783aa261'}"
PACB,3573310688.8313293,"{'name': 'PACIFIC BIOSCIENCES OF CALIFORNIA INC', 'ticker': 'PACB', 'cik': '1299130', 'cusip': '69404D108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Devices', 'sic': '3826', 'sicSector': 'Manufacturing', 'sicIndustry': 'Laboratory Analytical Instruments', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '42a9d26bdc8863b0ba38e2bf8eb15817'}"
NVMI,3322025410.7780457,"{'name': 'NOVA LTD', 'ticker': 'NVMI', 'cik': '1109345', 'cusip': 'M7516K103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Technology', 'industry': 'Semiconductor Equipment & Materials', 'sic': '3827', 'sicSector': 'Manufacturing', 'sicIndustry': 'Optical Instruments & Lenses', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Israel', 'id': 'e4c4dc5abde0769af08a8c945b2f08da'}"
ITRI,3251222946.01593,"{'name': 'ITRON INC', 'ticker': 'ITRI', 'cik': '780571', 'cusip': '465741106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Scientific & Technical Instruments', 'sic': '3825', 'sicSector': 'Manufacturing', 'sicIndustry': 'Instruments For Meas & Testing Of Electricity & Elec Signals', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Washington; U.S.A', 'id': '18ddb62906b54b041e11edf1ea378e14'}"
OLK,2146160208.4598541,"{'name': 'OLINK HOLDING AB (PUBL)', 'ticker': 'OLK', 'cik': '1835539', 'cusip': '680710100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Healthcare', 'industry': 'Diagnostics & Research', 'sic': '3826', 'sicSector': 'Manufacturing', 'sicIndustry': 'Laboratory Analytical Instruments', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Sweden', 'id': 'bac24bfe7bff27c5cf64dc487b50f758'}"
COHU,1949356331.8473816,"{'name': 'COHU INC', 'ticker': 'COHU', 'cik': '21535', 'cusip': '192576106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductor Equipment & Materials', 'sic': '3825', 'sicSector': 'Manufacturing', 'sicIndustry': 'Instruments For Meas & Testing Of Electricity & Elec Signals', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '026ad00fae8c6e66ea89fd675dc876f1'}"
CAMT,1604392923.3299255,"{'name': 'CAMTEK LTD', 'ticker': 'CAMT', 'cik': '1109138', 'cusip': 'M20791105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Technology', 'industry': 'Semiconductor Equipment & Materials', 'sic': '3827', 'sicSector': 'Manufacturing', 'sicIndustry': 'Optical Instruments & Lenses', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Israel', 'id': '94ae64b5a865bf89395bcd8a821f920e'}"
AEHR,1157744614.4721985,"{'name': 'AEHR TEST SYSTEMS', 'ticker': 'AEHR', 'cik': '1040470', 'cusip': '00760J108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductor Equipment & Materials', 'sic': '3825', 'sicSector': 'Manufacturing', 'sicIndustry': 'Instruments For Meas & Testing Of Electricity & Elec Signals', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '3ed12f0871f9009f50956ad750949e93'}"
CTKB,1077751335.0076675,"{'name': 'CYTEK BIOSCIENCES INC', 'ticker': 'CTKB', 'cik': '1831915', 'cusip': '23285D109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Devices', 'sic': '3826', 'sicSector': 'Manufacturing', 'sicIndustry': 'Laboratory Analytical Instruments', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'cd87eb5f304be4e750494aa032806ec4'}"
QTRX,888631695.7220078,"{'name': 'QUANTERIX CORP', 'ticker': 'QTRX', 'cik': '1503274', 'cusip': '74766Q101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Devices', 'sic': '3826', 'sicSector': 'Manufacturing', 'sicIndustry': 'Laboratory Analytical Instruments', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': 'ae45b2f51921defaa751d563b54065fd'}"
TRNS,791171513.4867859,"{'name': 'TRANSCAT INC', 'ticker': 'TRNS', 'cik': '99302', 'cusip': '893529107 893757104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Industrial Distribution', 'sic': '3825', 'sicSector': 'Manufacturing', 'sicIndustry': 'Instruments For Meas & Testing Of Electricity & Elec Signals', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': '53585f7bd0681df9ed20b6fffc42b1ae'}"
MLAB,724690650.4226685,"{'name': 'MESA LABORATORIES INC', 'ticker': 'MLAB', 'cik': '724004', 'cusip': '59064R109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Scientific & Technical Instruments', 'sic': '3823', 'sicSector': 'Manufacturing', 'sicIndustry': 'Industrial Instruments For Measurement Display And Control', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Colorado; U.S.A', 'id': '5e0345b15750f0dc2bb2dea2216f4861'}"
LAB,713947495.1568718,"{'name': 'STANDARD BIOTOOLS INC', 'ticker': 'LAB', 'cik': '1162194', 'cusip': '34385P108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Diagnostics & Research', 'sic': '3826', 'sicSector': 'Manufacturing', 'sicIndustry': 'Laboratory Analytical Instruments', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '781126caa90f0f8840f53775f960a334'}"
ALNT,670692478.320694,"{'name': 'ALLIENT INC', 'ticker': 'ALNT', 'cik': '46129', 'cusip': '019330109 419011101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Electronic Components', 'sic': '3825', 'sicSector': 'Manufacturing', 'sicIndustry': 'Instruments For Meas & Testing Of Electricity & Elec Signals', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': '3791aed974e6ae12456ca616dfba40d7'}"
NAUT,434669553.5838604,"{'name': 'NAUTILUS BIOTECHNOLOGY INC', 'ticker': 'NAUT', 'cik': '1808805', 'cusip': '63909J108 G3166W106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Biotechnology', 'sic': '3826', 'sicSector': 'Manufacturing', 'sicIndustry': 'Laboratory Analytical Instruments', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Washington; U.S.A', 'id': '7ca8758f8b2ee6a511345a6af13eb5aa'}"
EYPT,428133781.9080353,"{'name': 'EYEPOINT PHARMACEUTICALS INC', 'ticker': 'EYPT', 'cik': '1314102', 'cusip': '30233G209 30233G100 74440J101 74439M107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Biotechnology', 'sic': '3826', 'sicSector': 'Manufacturing', 'sicIndustry': 'Laboratory Analytical Instruments', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': 'f30062e111158653bfbabcecd2f88bb6'}"
BNGO,421551473.409462,"{'name': 'BIONANO GENOMICS INC', 'ticker': 'BNGO', 'cik': '1411690', 'cusip': '09075F107 09075F305 09075F206', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Healthcare', 'industry': 'Medical Instruments & Supplies', 'sic': '3826', 'sicSector': 'Manufacturing', 'sicIndustry': 'Laboratory Analytical Instruments', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '4d6b95a435bc835b31ab3a895f61eac7'}"
OPTX,382292088.79909515,"{'name': 'SYNTEC OPTICS HOLDINGS INC', 'ticker': 'OPTX', 'cik': '1866816', 'cusip': '68218C108 87169M105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Technology', 'industry': 'Electronic Components', 'sic': '3827', 'sicSector': 'Manufacturing', 'sicIndustry': 'Optical Instruments & Lenses', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Florida; U.S.A', 'id': '5984f0f9c6aa28921289871f220b2044'}"
AKYA,359037673.058033,"{'name': 'AKOYA BIOSCIENCES INC', 'ticker': 'AKYA', 'cik': '1711933', 'cusip': '00974H104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Instruments & Supplies', 'sic': '3826', 'sicSector': 'Manufacturing', 'sicIndustry': 'Laboratory Analytical Instruments', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': '841efed7b021ce388acf55c3d2f18cd3'}"
FARO,312095875.0,"{'name': 'FARO TECHNOLOGIES INC', 'ticker': 'FARO', 'cik': '917491', 'cusip': '311642102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Scientific & Technical Instruments', 'sic': '3829', 'sicSector': 'Manufacturing', 'sicIndustry': 'Measuring & Controlling Devices Nec', 'famaSector': '', 'famaIndustry': 'Measuring and Control Equipment', 'currency': 'USD', 'location': 'Florida; U.S.A', 'id': '56d6828406f75d5f844c57fc4d196993'}"
