,mkt_cap,stock_info
ASML,285426678440.0547,"{'name': 'ASML HOLDING NV', 'ticker': 'ASML', 'cik': '937966', 'cusip': 'N07059210 N07059186 N07059111', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Technology', 'industry': 'Semiconductor Equipment & Materials', 'sic': '3559', 'sicSector': 'Manufacturing', 'sicIndustry': 'Special Industry Machinery Nec', 'famaSector': '', 'famaIndustry': 'Machinery', 'currency': 'USD', 'location': 'Netherlands', 'id': 'dcd64534a12cf0d23741b98f2757d784'}"
LRCX,83721304844.84863,"{'name': 'LAM RESEARCH CORP', 'ticker': 'LRCX', 'cik': '707549', 'cusip': '512807108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductor Equipment & Materials', 'sic': '3559', 'sicSector': 'Manufacturing', 'sicIndustry': 'Special Industry Machinery Nec', 'famaSector': '', 'famaIndustry': 'Machinery', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '8022974a299e9f65ac8599f52ac7c1da'}"
BKR,31297218390.88965,"{'name': 'BAKER HUGHES CO', 'ticker': 'BKR', 'cik': '1701605', 'cusip': '05722G100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas Equipment & Services', 'sic': '3533', 'sicSector': 'Manufacturing', 'sicIndustry': 'Oil & Gas Field Machinery & Equipment', 'famaSector': '', 'famaIndustry': 'Machinery', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '2c4b3178bdf24fc892a9601d141d6cf7'}"
ZBRA,14843752015.393066,"{'name': 'ZEBRA TECHNOLOGIES CORP', 'ticker': 'ZBRA', 'cik': '877212', 'cusip': '989207105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Communication Equipment', 'sic': '3560', 'sicSector': 'Manufacturing', 'sicIndustry': 'General Industrial Machinery & Equipment', 'famaSector': '', 'famaIndustry': 'Machinery', 'currency': 'USD', 'location': 'Illinois; U.S.A', 'id': 'c07afbfb09a6647b59d3784d9f8f21c2'}"
NDSN,14131076400.0,"{'name': 'NORDSON CORP', 'ticker': 'NDSN', 'cik': '72331', 'cusip': '655663102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Specialty Industrial Machinery', 'sic': '3569', 'sicSector': 'Manufacturing', 'sicIndustry': 'General Industrial Machinery & Equipment Nec', 'famaSector': '', 'famaIndustry': 'Machinery', 'currency': 'USD', 'location': 'Ohio; U.S.A', 'id': '87461197d7bc2adbeaa1ff19db93bce7'}"
LECO,11230283713.595581,"{'name': 'LINCOLN ELECTRIC HOLDINGS INC', 'ticker': 'LECO', 'cik': '59527', 'cusip': '533900106 533543104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Industrials', 'industry': 'Tools & Accessories', 'sic': '3540', 'sicSector': 'Manufacturing', 'sicIndustry': 'Metalworkg Machinery & Equipment', 'famaSector': '', 'famaIndustry': 'Machinery', 'currency': 'USD', 'location': 'Ohio; U.S.A', 'id': '6e3bf61a357d1c791fe7d143fc71693c'}"
MIDD,7930316360.359192,"{'name': 'MIDDLEBY CORP', 'ticker': 'MIDD', 'cik': '769520', 'cusip': '596278101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Specialty Industrial Machinery', 'sic': '3580', 'sicSector': 'Manufacturing', 'sicIndustry': 'Refrigeration & Service Industry Machinery', 'famaSector': '', 'famaIndustry': 'Machinery', 'currency': 'USD', 'location': 'Illinois; U.S.A', 'id': '388faba8bbf4b14ab5bd504f07f6e2d1'}"
ACLS,5824293435.287476,"{'name': 'AXCELIS TECHNOLOGIES INC', 'ticker': 'ACLS', 'cik': '1113232', 'cusip': '054540208 054540109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductor Equipment & Materials', 'sic': '3559', 'sicSector': 'Manufacturing', 'sicIndustry': 'Special Industry Machinery Nec', 'famaSector': '', 'famaIndustry': 'Machinery', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': 'eb60bb7b9379e50618bd1ff7cf228de8'}"
CHX,5800223241.984375,"{'name': 'CHAMPIONX CORP', 'ticker': 'CHX', 'cik': '1723089', 'cusip': '15872M104 03755L104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas Equipment & Services', 'sic': '3530', 'sicSector': 'Manufacturing', 'sicIndustry': 'Construction Mining & Materials Handling Machinery & Equip', 'famaSector': '', 'famaIndustry': 'Machinery', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '652bfbffc5d19df70fdb1b73169acbd9'}"
AAON,5236184038.868713,"{'name': 'AAON INC', 'ticker': 'AAON', 'cik': '824142', 'cusip': '000360206', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Building Products & Equipment', 'sic': '3585', 'sicSector': 'Manufacturing', 'sicIndustry': 'Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip', 'famaSector': '', 'famaIndustry': 'Machinery', 'currency': 'USD', 'location': 'Oklahoma; U.S.A', 'id': 'c0bf46c6ecc40b80b63e1c4ef497d6ef'}"
WFRD,4785009687.258301,"{'name': 'WEATHERFORD INTERNATIONAL PLC', 'ticker': 'WFRD', 'cik': '1603923', 'cusip': 'G48833118', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas Equipment & Services', 'sic': '3533', 'sicSector': 'Manufacturing', 'sicIndustry': 'Oil & Gas Field Machinery & Equipment', 'famaSector': '', 'famaIndustry': 'Machinery', 'currency': 'USD', 'location': 'Ireland', 'id': 'adfe635d9ca2627d860cff8886d76661'}"
SYM,4235319627.9563904,"{'name': 'SYMBOTIC INC', 'ticker': 'SYM', 'cik': '1837240', 'cusip': '87151X101 G8601N108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Specialty Industrial Machinery', 'sic': '3569', 'sicSector': 'Manufacturing', 'sicIndustry': 'General Industrial Machinery & Equipment Nec', 'famaSector': '', 'famaIndustry': 'Machinery', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': '7866b4d4d6d7f336be642005d2e726cc'}"
