,mkt_cap,stock_info
ISRG,120064425060.23438,"{'name': 'INTUITIVE SURGICAL INC', 'ticker': 'ISRG', 'cik': '1035267', 'cusip': '46120E602 46120E107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Instruments & Supplies', 'sic': '3842', 'sicSector': 'Manufacturing', 'sicIndustry': 'Orthopedic Prosthetic & Surgical Appliances & Supplies', 'famaSector': '', 'famaIndustry': 'Medical Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '8f53eaa7f3cd8b1ecb266a616c833203'}"
DXCM,50879691930.9082,"{'name': 'DEXCOM INC', 'ticker': 'DXCM', 'cik': '1093557', 'cusip': '252131107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Devices', 'sic': '3841', 'sicSector': 'Manufacturing', 'sicIndustry': 'Surgical & Medical Instruments & Apparatus', 'famaSector': '', 'famaIndustry': 'Medical Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '0233f6367489c4b9b67cbfebea329f12'}"
GEHC,35914665709.86206,"{'name': 'GE HEALTHCARE TECHNOLOGIES INC', 'ticker': 'GEHC', 'cik': '1932393', 'cusip': '36266G107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Health Information Services', 'sic': '3844', 'sicSector': 'Manufacturing', 'sicIndustry': 'X-Ray Apparatus & Tubes & Related Irradiation Apparatus', 'famaSector': '', 'famaIndustry': 'Medical Equipment', 'currency': 'USD', 'location': 'Illinois; U.S.A', 'id': 'b2a992fe7019a5fdc9fdac1a1a2f911f'}"
ALGN,25730531519.11621,"{'name': 'ALIGN TECHNOLOGY INC', 'ticker': 'ALGN', 'cik': '1097149', 'cusip': '016255101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Devices', 'sic': '3842', 'sicSector': 'Manufacturing', 'sicIndustry': 'Orthopedic Prosthetic & Surgical Appliances & Supplies', 'famaSector': '', 'famaIndustry': 'Medical Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'afc1fc73126116219ec3697373711a66'}"
PODD,20380095643.396973,"{'name': 'INSULET CORP', 'ticker': 'PODD', 'cik': '1145197', 'cusip': '45784P101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Devices', 'sic': '3841', 'sicSector': 'Manufacturing', 'sicIndustry': 'Surgical & Medical Instruments & Apparatus', 'famaSector': '', 'famaIndustry': 'Medical Equipment', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': '155feda5cd651566058acadba15fc917'}"
COO,18915404946.899414,"{'name': 'COOPER COMPANIES INC', 'ticker': 'COO', 'cik': '711404', 'cusip': '216648402 216648501', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Instruments & Supplies', 'sic': '3851', 'sicSector': 'Manufacturing', 'sicIndustry': 'Ophthalmic Goods', 'famaSector': '', 'famaIndustry': 'Medical Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '13449fe5332e4500c43ad1e235cfcedb'}"
HOLX,18686495678.218994,"{'name': 'HOLOGIC INC', 'ticker': 'HOLX', 'cik': '859737', 'cusip': '436440101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Instruments & Supplies', 'sic': '3844', 'sicSector': 'Manufacturing', 'sicIndustry': 'X-Ray Apparatus & Tubes & Related Irradiation Apparatus', 'famaSector': '', 'famaIndustry': 'Medical Equipment', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': '24bb0d62c202a885cd1d434d079f4fb3'}"
MASI,8792568187.207031,"{'name': 'MASIMO CORP', 'ticker': 'MASI', 'cik': '937556', 'cusip': '574795100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Devices', 'sic': '3845', 'sicSector': 'Manufacturing', 'sicIndustry': 'Electromedical & Electrotherapeutic Apparatus', 'famaSector': '', 'famaIndustry': 'Medical Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '2d6ada655e99dc58fa3c3ecfa6fa8483'}"
XRAY,8203500777.578247,"{'name': 'DENTSPLY SIRONA INC', 'ticker': 'XRAY', 'cik': '818479', 'cusip': '24906P109 249030107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Instruments & Supplies', 'sic': '3843', 'sicSector': 'Manufacturing', 'sicIndustry': 'Dental Equipment & Supplies', 'famaSector': '', 'famaIndustry': 'Medical Equipment', 'currency': 'USD', 'location': 'North Carolina; U.S.A', 'id': 'a095d347fdbbac991853662333bdcad3'}"
MMSI,4847177387.605286,"{'name': 'MERIT MEDICAL SYSTEMS INC', 'ticker': 'MMSI', 'cik': '856982', 'cusip': '589889104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Instruments & Supplies', 'sic': '3841', 'sicSector': 'Manufacturing', 'sicIndustry': 'Surgical & Medical Instruments & Apparatus', 'famaSector': '', 'famaIndustry': 'Medical Equipment', 'currency': 'USD', 'location': 'Utah; U.S.A', 'id': '7bfd67d0a94a5c442546bfd8ab8d7851'}"
NVCR,4335647288.520813,"{'name': 'NOVOCURE LTD', 'ticker': 'NVCR', 'cik': '1645113', 'cusip': 'G6674U108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Devices', 'sic': '3841', 'sicSector': 'Manufacturing', 'sicIndustry': 'Surgical & Medical Instruments & Apparatus', 'famaSector': '', 'famaIndustry': 'Medical Equipment', 'currency': 'USD', 'location': 'Jersey', 'id': 'bda762353fffb5153fbe41f2173cf619'}"
ICUI,4311807523.590088,"{'name': 'ICU MEDICAL INC', 'ticker': 'ICUI', 'cik': '883984', 'cusip': '44930G107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Healthcare', 'industry': 'Medical Instruments & Supplies', 'sic': '3841', 'sicSector': 'Manufacturing', 'sicIndustry': 'Surgical & Medical Instruments & Apparatus', 'famaSector': '', 'famaIndustry': 'Medical Equipment', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '4512a30384c2ad56aab15b6bc1595992'}"
