,mkt_cap,stock_info
SGML,4276869828.1936646,"{'name': 'SIGMA LITHIUM CORP', 'ticker': 'SGML', 'cik': '1848309', 'cusip': '826599102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Canadian Common Stock', 'sector': 'Basic Materials', 'industry': 'Other Industrial Metals & Mining', 'sic': '1000', 'sicSector': 'Mining', 'sicIndustry': 'Metal Mining', 'famaSector': '', 'famaIndustry': 'Non-Metallic and Industrial Metal Mining', 'currency': 'USD', 'location': 'British Columbia; Canada', 'id': 'dc45dab103f7bb1c540b911122f4dea6'}"
USLM,1175114354.9537659,"{'name': 'UNITED STATES LIME & MINERALS INC', 'ticker': 'USLM', 'cik': '82020', 'cusip': '911922102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Building Materials', 'sic': '1400', 'sicSector': 'Mining', 'sicIndustry': 'Mining & Quarrying Of Nonmetallic Minerals (No Fuels)', 'famaSector': '', 'famaIndustry': 'Non-Metallic and Industrial Metal Mining', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '710e269504bad6000a1ff6bc1a1f2377'}"
PLL,1082362092.6887512,"{'name': 'PIEDMONT LITHIUM INC', 'ticker': 'PLL', 'cik': '1728205', 'cusip': '72016P105 720162106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Other Industrial Metals & Mining', 'sic': '1400', 'sicSector': 'Mining', 'sicIndustry': 'Mining & Quarrying Of Nonmetallic Minerals (No Fuels)', 'famaSector': '', 'famaIndustry': 'Non-Metallic and Industrial Metal Mining', 'currency': 'USD', 'location': 'Australia', 'id': '0e395c1a310c036f1d4ccc4f02f071c7'}"
CRML,871508040.3716125,"{'name': 'CRITICAL METALS CORP', 'ticker': 'CRML', 'cik': '1951089', 'cusip': '83014E109 G2662B103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock Primary Class', 'sector': 'Basic Materials', 'industry': 'Other Industrial Metals & Mining', 'sic': '1000', 'sicSector': 'Mining', 'sicIndustry': 'Metal Mining', 'famaSector': '', 'famaIndustry': 'Non-Metallic and Industrial Metal Mining', 'currency': 'USD', 'location': 'Australia', 'id': 'd21ed6aec1b89267e0de22c3bbfc9535'}"
ABAT,659228625.0,"{'name': 'AMERICAN BATTERY TECHNOLOGY CO', 'ticker': 'ABAT', 'cik': '1576873', 'cusip': '02451V309 02451V101 687157107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Other Industrial Metals & Mining', 'sic': '1000', 'sicSector': 'Mining', 'sicIndustry': 'Metal Mining', 'famaSector': '', 'famaIndustry': 'Non-Metallic and Industrial Metal Mining', 'currency': 'USD', 'location': 'Nevada; U.S.A', 'id': '12b2d562b9640dc1ae29a57cb1ec634e'}"
TMC,474354829.7932434,"{'name': 'TMC THE METALS CO INC', 'ticker': 'TMC', 'cik': '1798562', 'cusip': '87261Y106 G8598Y109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Basic Materials', 'industry': 'Other Industrial Metals & Mining', 'sic': '1000', 'sicSector': 'Mining', 'sicIndustry': 'Metal Mining', 'famaSector': '', 'famaIndustry': 'Non-Metallic and Industrial Metal Mining', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '7fac2241706414d2cf5966e5ff07e7e2'}"
IONR,468074647.4149704,"{'name': 'IONEER LTD', 'ticker': 'IONR', 'cik': '1896084', 'cusip': '46211L101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Basic Materials', 'industry': 'Other Industrial Metals & Mining', 'sic': '1400', 'sicSector': 'Mining', 'sicIndustry': 'Mining & Quarrying Of Nonmetallic Minerals (No Fuels)', 'famaSector': '', 'famaIndustry': 'Non-Metallic and Industrial Metal Mining', 'currency': 'USD', 'location': 'Australia', 'id': '12b7883941bdb0f7e812d281f8e5c808'}"
AMLI,435120000.0,"{'name': 'AMERICAN LITHIUM CORP', 'ticker': 'AMLI', 'cik': '1699880', 'cusip': '027259209 027259100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Canadian Common Stock', 'sector': 'Basic Materials', 'industry': 'Other Industrial Metals & Mining', 'sic': '1000', 'sicSector': 'Mining', 'sicIndustry': 'Metal Mining', 'famaSector': '', 'famaIndustry': 'Non-Metallic and Industrial Metal Mining', 'currency': 'USD', 'location': 'British Columbia; Canada', 'id': '15af68251c201b0bab0e800e12478e21'}"
EU,428889842.05545044,"{'name': 'ENCORE ENERGY CORP', 'ticker': 'EU', 'cik': '1500881', 'cusip': '29259W700 29259W106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Canadian Common Stock', 'sector': 'Basic Materials', 'industry': 'Uranium', 'sic': '1090', 'sicSector': 'Mining', 'sicIndustry': 'Miscellaneous Metal Ores', 'famaSector': '', 'famaIndustry': 'Non-Metallic and Industrial Metal Mining', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '5415b4c41fec0e9fccd8c0999543ea0c'}"
ATLX,326976182.25860596,"{'name': 'ATLAS LITHIUM CORP', 'ticker': 'ATLX', 'cik': '1540684', 'cusip': '105861306 105861207 105861108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Other Precious Metals & Mining', 'sic': '1400', 'sicSector': 'Mining', 'sicIndustry': 'Mining & Quarrying Of Nonmetallic Minerals (No Fuels)', 'famaSector': '', 'famaIndustry': 'Non-Metallic and Industrial Metal Mining', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'bab978fb631825ec8b804eea7ee3f6cd'}"
