,mkt_cap,stock_info
FANG,23186502460.32715,"{'name': 'DIAMONDBACK ENERGY INC', 'ticker': 'FANG', 'cik': '1539838', 'cusip': '25278X109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas E&P', 'sic': '1311', 'sicSector': 'Mining', 'sicIndustry': 'Crude Petroleum & Natural Gas', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '4b143fa94f33eb62446d316b86046e4a'}"
APA,12590831960.327148,"{'name': 'APA CORP', 'ticker': 'APA', 'cik': '1841666', 'cusip': '037411105 03743Q108 037411600', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas E&P', 'sic': '1311', 'sicSector': 'Mining', 'sicIndustry': 'Crude Petroleum & Natural Gas', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '6dc242ed4390d515e354103c8ec6a497'}"
CHK,11008032000.0,"{'name': 'CHESAPEAKE ENERGY CORP', 'ticker': 'CHK', 'cik': '895126', 'cusip': '165167735', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Energy', 'industry': 'Oil & Gas E&P', 'sic': '1311', 'sicSector': 'Mining', 'sicIndustry': 'Crude Petroleum & Natural Gas', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Oklahoma; U.S.A', 'id': '6c5fabed19061e3c69a29281e3584383'}"
CHRD,9539996044.651794,"{'name': 'CHORD ENERGY CORP', 'ticker': 'CHRD', 'cik': '1486159', 'cusip': '674215207', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas E&P', 'sic': '1311', 'sicSector': 'Mining', 'sicIndustry': 'Crude Petroleum & Natural Gas', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': 'e4d4a978a6a4f9bc1a795c9cfb37ef72'}"
PTEN,4804343879.643677,"{'name': 'PATTERSON UTI ENERGY INC', 'ticker': 'PTEN', 'cik': '889900', 'cusip': '703481101 703414102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas Drilling', 'sic': '1381', 'sicSector': 'Mining', 'sicIndustry': 'Drilling Oil & Gas Wells', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '109933797e2acca168a9fd9632294c3f'}"
VNOM,2446500908.925247,"{'name': 'VIPER ENERGY INC', 'ticker': 'VNOM', 'cik': '1602065', 'cusip': '92763M105 927959106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas Midstream', 'sic': '1311', 'sicSector': 'Mining', 'sicIndustry': 'Crude Petroleum & Natural Gas', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '2c6240794c2cfcf9cefa63796d36a44d'}"
ACDC,1834465962.7075195,"{'name': 'PROFRAC HOLDING CORP', 'ticker': 'ACDC', 'cik': '1881487', 'cusip': '74319N100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Energy', 'industry': 'Oil & Gas Equipment & Services', 'sic': '1389', 'sicSector': 'Mining', 'sicIndustry': 'Oil & Gas Field Services Nec', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': 'ffbb9204fe8db1eb36360b645b9cd8e2'}"
HPK,1513803219.5091248,"{'name': 'HIGHPEAK ENERGY INC', 'ticker': 'HPK', 'cik': '1792849', 'cusip': '43114Q105 74621Q106 74621Q205', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Energy', 'industry': 'Oil & Gas E&P', 'sic': '1381', 'sicSector': 'Mining', 'sicIndustry': 'Drilling Oil & Gas Wells', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '0d35cceef817ec34ce2e87a34fdb3767'}"
CLMT,1282198154.6670914,"{'name': 'CALUMET SPECIALTY PRODUCTS PARTNERS LP', 'ticker': 'CLMT', 'cik': '1340122', 'cusip': '131476103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas E&P', 'sic': '2911', 'sicSector': 'Manufacturing', 'sicIndustry': 'Petroleum Refining', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Indiana; U.S.A', 'id': 'e5caf51c23791a16e5c7fbec3525f130'}"
DMLP,1194640249.4148254,"{'name': 'DORCHESTER MINERALS LP', 'ticker': 'DMLP', 'cik': '1172358', 'cusip': '25820R105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas E&P', 'sic': '1311', 'sicSector': 'Mining', 'sicIndustry': 'Crude Petroleum & Natural Gas', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '7080a2c90af6590141c4990506b0570d'}"
VTNR,566696676.8890686,"{'name': 'VERTEX ENERGY INC', 'ticker': 'VTNR', 'cik': '890447', 'cusip': '92534K107 92861H107 981517105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas Refining & Marketing', 'sic': '2911', 'sicSector': 'Manufacturing', 'sicIndustry': 'Petroleum Refining', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '3944e796b479b1e0fb7a4e3215a92ba0'}"
BROG,527118273.72932434,"{'name': 'BROOGE ENERGY LTD', 'ticker': 'BROG', 'cik': '1774983', 'cusip': 'G9145A107 G1611B107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Energy', 'industry': 'Oil & Gas Midstream', 'sic': '2911', 'sicSector': 'Manufacturing', 'sicIndustry': 'Petroleum Refining', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'United Arab Emirates', 'id': '7dfe3e4631e358d31be35da13a157c11'}"
BRY,526262771.7399597,"{'name': 'BERRY CORP (BRY)', 'ticker': 'BRY', 'cik': '1705873', 'cusip': '08579X101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas E&P', 'sic': '1311', 'sicSector': 'Mining', 'sicIndustry': 'Crude Petroleum & Natural Gas', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': 'bb64a1423b1e2578a17c1d417b0f63fd'}"
TUSK,224198764.6627426,"{'name': 'MAMMOTH ENERGY SERVICES INC', 'ticker': 'TUSK', 'cik': '1679268', 'cusip': '56155L108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Conglomerates', 'sic': '1389', 'sicSector': 'Mining', 'sicIndustry': 'Oil & Gas Field Services Nec', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Oklahoma; U.S.A', 'id': '3ad9ceb2c91a862becaabb421e1d6037'}"
PNRG,165812567.72346497,"{'name': 'PRIMEENERGY RESOURCES CORP', 'ticker': 'PNRG', 'cik': '56868', 'cusip': '74158E104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas E&P', 'sic': '1311', 'sicSector': 'Mining', 'sicIndustry': 'Crude Petroleum & Natural Gas', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '58040a47001fa834cde811552736d549'}"
KLXE,160069724.1394043,"{'name': 'KLX ENERGY SERVICES HOLDINGS INC', 'ticker': 'KLXE', 'cik': '1738827', 'cusip': '48253L106 48253L205', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas Equipment & Services', 'sic': '1389', 'sicSector': 'Mining', 'sicIndustry': 'Oil & Gas Field Services Nec', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Florida; U.S.A', 'id': 'e64a39a25f694e7065f825a501694633'}"
KGEI,151408800.0,"{'name': 'KOLIBRI GLOBAL ENERGY INC', 'ticker': 'KGEI', 'cik': '1477081', 'cusip': '50043K406 50043K109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Canadian Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas E&P', 'sic': '1311', 'sicSector': 'Mining', 'sicIndustry': 'Crude Petroleum & Natural Gas', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '78b312c3e7518d024544188c06aa3042'}"
EPSN,116623979.76312637,"{'name': 'EPSILON ENERGY LTD', 'ticker': 'EPSN', 'cik': '1726126', 'cusip': '294375209', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas E&P', 'sic': '1311', 'sicSector': 'Mining', 'sicIndustry': 'Crude Petroleum & Natural Gas', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '67de12bdbb4bfae393e278f8239769fd'}"
PRTG,69047556.18867874,"{'name': 'PORTAGE BIOTECH INC', 'ticker': 'PRTG', 'cik': '1095435', 'cusip': 'G7185A128 G7185A102 09852M101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Healthcare', 'industry': 'Biotechnology', 'sic': '1311', 'sicSector': 'Mining', 'sicIndustry': 'Crude Petroleum & Natural Gas', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Ontario; Canada', 'id': '3489fd8be390b1945d00173843491d4d'}"
DWSN,55462138.53075504,"{'name': 'DAWSON GEOPHYSICAL CO', 'ticker': 'DWSN', 'cik': '799165', 'cusip': '239360100 872417308 872417100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas Equipment & Services', 'sic': '1382', 'sicSector': 'Mining', 'sicIndustry': 'Oil & Gas Field Exploration Services', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '3218d7a57cd15c33e2f382028e021a3a'}"
RCON,49631149.50260162,"{'name': 'RECON TECHNOLOGY LTD', 'ticker': 'RCON', 'cik': '1442620', 'cusip': 'G7415M124 G7415M108 G7415M132', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas Equipment & Services', 'sic': '1389', 'sicSector': 'Mining', 'sicIndustry': 'Oil & Gas Field Services Nec', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'China', 'id': '2388e5f5dde59a262b0de5c17b12bb8d'}"
NCSM,42443415.30883789,"{'name': 'NCS MULTISTAGE HOLDINGS INC', 'ticker': 'NCSM', 'cik': '1692427', 'cusip': '628877102 628877201', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas Equipment & Services', 'sic': '1389', 'sicSector': 'Mining', 'sicIndustry': 'Oil & Gas Field Services Nec', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '4a3104b4e781cf51d48caa905bbf7848'}"
USEG,35907822.91479111,"{'name': 'US ENERGY CORP', 'ticker': 'USEG', 'cik': '101594', 'cusip': '911805109 911805307 911805208', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas E&P', 'sic': '1311', 'sicSector': 'Mining', 'sicIndustry': 'Crude Petroleum & Natural Gas', 'famaSector': '', 'famaIndustry': 'Petroleum and Natural Gas', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '44cc4db19afaf988c94763d3ade29a14'}"
