,mkt_cap,stock_info
CAR,8138255868.786621,"{'name': 'AVIS BUDGET GROUP INC', 'ticker': 'CAR', 'cik': '723612', 'cusip': '053774105 151313103 126545102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Rental & Leasing Services', 'sic': '7510', 'sicSector': 'Services', 'sicIndustry': 'Services-Auto Rental & Leasing (No Drivers)', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'New Jersey; U.S.A', 'id': 'db6d45810d59feb323212c1d4a97865b'}"
HTZ,5544389288.311523,"{'name': 'HERTZ GLOBAL HOLDINGS INC', 'ticker': 'HTZ', 'cik': '1657853', 'cusip': '42806J700', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Industrials', 'industry': 'Rental & Leasing Services', 'sic': '7510', 'sicSector': 'Services', 'sicIndustry': 'Services-Auto Rental & Leasing (No Drivers)', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'Florida; U.S.A', 'id': 'acfe7ab82e10bbff616a08a584566acb'}"
DRVN,4269361675.1098633,"{'name': 'DRIVEN BRANDS HOLDINGS INC', 'ticker': 'DRVN', 'cik': '1804745', 'cusip': '26210V102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Auto & Truck Dealerships', 'sic': '7500', 'sicSector': 'Services', 'sicIndustry': 'Services-Automotive Repair Services & Parking', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'North Carolina; U.S.A', 'id': '614641d622fd6b06ea29604a02f9660a'}"
LOPE,3038372273.5473633,"{'name': 'GRAND CANYON EDUCATION INC', 'ticker': 'LOPE', 'cik': '1434588', 'cusip': '38526M106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Education & Training Services', 'sic': '8200', 'sicSector': 'Services', 'sicIndustry': 'Services-Educational Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'Arizona; U.S.A', 'id': '6e6c2b2887921fae4797d19e7cf48095'}"
LAUR,1821578364.4866943,"{'name': 'LAUREATE EDUCATION INC', 'ticker': 'LAUR', 'cik': '912766', 'cusip': '518613203', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Education & Training Services', 'sic': '8200', 'sicSector': 'Services', 'sicIndustry': 'Services-Educational Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'Maryland; U.S.A', 'id': 'b17e8be5d7bb9fe13eddfb037399e951'}"
STRA,1665257149.9404907,"{'name': 'STRATEGIC EDUCATION INC', 'ticker': 'STRA', 'cik': '1013934', 'cusip': '86272C103 863236105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Education & Training Services', 'sic': '8200', 'sicSector': 'Services', 'sicIndustry': 'Services-Educational Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'Virginia; U.S.A', 'id': '48b261383cb239d36a59ce669a888df0'}"
UDMY,1635916304.244995,"{'name': 'UDEMY INC', 'ticker': 'UDMY', 'cik': '1607939', 'cusip': '902685106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Education & Training Services', 'sic': '8200', 'sicSector': 'Services', 'sicIndustry': 'Services-Educational Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'e892195398e2a7be1b415dca7d8623a7'}"
SDA,1405335020.7237244,"{'name': 'SUNCAR TECHNOLOGY GROUP INC', 'ticker': 'SDA', 'cik': '1936804', 'cusip': 'G3970D104 G85727108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock Primary Class', 'sector': 'Consumer Cyclical', 'industry': 'Auto & Truck Dealerships', 'sic': '7500', 'sicSector': 'Services', 'sicIndustry': 'Services-Automotive Repair Services & Parking', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'China', 'id': 'a90a11b1293684293509d4dac2dc1eb6'}"
MNRO,1194258641.2216187,"{'name': 'MONRO INC', 'ticker': 'MNRO', 'cik': '876427', 'cusip': '610236101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Auto Parts', 'sic': '7500', 'sicSector': 'Services', 'sicIndustry': 'Services-Automotive Repair Services & Parking', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': 'b9da506131b7c4e3c5e8d9be1b3b409b'}"
EWCZ,908047890.8348083,"{'name': 'EUROPEAN WAX CENTER INC', 'ticker': 'EWCZ', 'cik': '1856236', 'cusip': '29882P106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Household & Personal Products', 'sic': '7200', 'sicSector': 'Services', 'sicIndustry': 'Services-Personal Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '22f2b7fb7f1542894093e482b624cbd9'}"
PRDO,804943932.0304871,"{'name': 'PERDOCEO EDUCATION CORP', 'ticker': 'PRDO', 'cik': '1046568', 'cusip': '71363P106 141665109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Education & Training Services', 'sic': '8200', 'sicSector': 'Services', 'sicIndustry': 'Services-Educational Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'Illinois; U.S.A', 'id': 'f288ebdc4002d1e25c59f3319c7f04ec'}"
CRAI,711684421.3256836,"{'name': 'CRA INTERNATIONAL INC', 'ticker': 'CRAI', 'cik': '1053706', 'cusip': '12618T105 159852102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Consulting Services', 'sic': '8111', 'sicSector': 'Services', 'sicIndustry': 'Services-Legal Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': 'ca172e15c4ee5ed6b956af8f794135a9'}"
ZCAR,709462445.170784,"{'name': 'ZOOMCAR HOLDINGS INC', 'ticker': 'ZCAR', 'cik': '1854275', 'cusip': 'G4809M109 45784G101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Industrials', 'industry': 'Rental & Leasing Services', 'sic': '7510', 'sicSector': 'Services', 'sicIndustry': 'Services-Auto Rental & Leasing (No Drivers)', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'b56ecf80e6da0af9cfb181824d7e061f'}"
AFYA,615573133.2473755,"{'name': 'AFYA LTD', 'ticker': 'AFYA', 'cik': '1771007', 'cusip': 'G01125106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Education & Training Services', 'sic': '8200', 'sicSector': 'Services', 'sicIndustry': 'Services-Educational Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'Brazil', 'id': '7a8eefe92bc55ec7f7aa8c6dc766c5a3'}"
WW,516414668.56929016,"{'name': 'WW INTERNATIONAL INC', 'ticker': 'WW', 'cik': '105319', 'cusip': '948626106 98262P101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Personal Services', 'sic': '7200', 'sicSector': 'Services', 'sicIndustry': 'Services-Personal Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': 'ae8f042e5a56e461d4203ba687a1fa3a'}"
QSG,491981739.1547203,"{'name': 'QUANTASING GROUP LTD', 'ticker': 'QSG', 'cik': '1932770', 'cusip': '74767N107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Education & Training Services', 'sic': '8200', 'sicSector': 'Services', 'sicIndustry': 'Services-Educational Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'China', 'id': '3a0f6d90e01c26424b3ee5580af47b7b'}"
EM,262170755.60449982,"{'name': 'SMART SHARE GLOBAL LTD', 'ticker': 'EM', 'cik': '1834253', 'cusip': '83193E102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Personal Services', 'sic': '7200', 'sicSector': 'Services', 'sicIndustry': 'Services-Personal Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'China', 'id': '6026239b7fa0e476c21f286f9795145c'}"
LINC,209100607.9987049,"{'name': 'LINCOLN EDUCATIONAL SERVICES CORP', 'ticker': 'LINC', 'cik': '1286613', 'cusip': '533535100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Education & Training Services', 'sic': '8200', 'sicSector': 'Services', 'sicIndustry': 'Services-Educational Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'New Jersey; U.S.A', 'id': '9bd9dbf6bc218c3b5a84ce72661095f6'}"
AREC,162318996.22440338,"{'name': 'AMERICAN RESOURCES CORP', 'ticker': 'AREC', 'cik': '1590715', 'cusip': '02927U208', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Coking Coal', 'sic': '7600', 'sicSector': 'Services', 'sicIndustry': 'Services-Miscellaneous Repair Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'Indiana; U.S.A', 'id': '73fd4bc8d911d3978faf6995e4ee61c3'}"
EJH,130344423.40564728,"{'name': 'E-HOME HOUSEHOLD SERVICE HOLDINGS LTD', 'ticker': 'EJH', 'cik': '1769768', 'cusip': 'G2952X104 G2952X112 G2952X203 G2952X120 G2952X138', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Personal Services', 'sic': '7600', 'sicSector': 'Services', 'sicIndustry': 'Services-Miscellaneous Repair Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'China', 'id': '044e864f0a8013a8b620127a3818ea51'}"
VERB,108770476.01032257,"{'name': 'VERB TECHNOLOGY COMPANY INC', 'ticker': 'VERB', 'cik': '1566610', 'cusip': '92337U104 92337U203 65342D101 07331L108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Technology', 'industry': 'Software - Application', 'sic': '7200', 'sicSector': 'Services', 'sicIndustry': 'Services-Personal Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '2fa3a75aef703239c80a987a1d668eeb'}"
PET,85708617.73877144,"{'name': 'WAG! GROUP CO', 'ticker': 'PET', 'cik': '1842356', 'cusip': '93042P109 G2254A109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Technology', 'industry': 'Software - Application', 'sic': '7200', 'sicSector': 'Services', 'sicIndustry': 'Services-Personal Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'd35e4e7b64782823f044bfffeabbf2eb'}"
APEI,85063486.68174744,"{'name': 'AMERICAN PUBLIC EDUCATION INC', 'ticker': 'APEI', 'cik': '1201792', 'cusip': '02913V103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Education & Training Services', 'sic': '8200', 'sicSector': 'Services', 'sicIndustry': 'Services-Educational Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'West Virginia; U.S.A', 'id': '2c1f42d7620c0750b2be2ee98a703e37'}"
JZ,59646673.460006714,"{'name': 'JIANZHI EDUCATION TECHNOLOGY GROUP CO LTD', 'ticker': 'JZ', 'cik': '1852440', 'cusip': '47737L104 47737L203', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Education & Training Services', 'sic': '8200', 'sicSector': 'Services', 'sicIndustry': 'Services-Educational Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'China', 'id': 'b5d0770a886a5c11fff427dce98a51d2'}"
CLEU,55297110.0,"{'name': 'CHINA LIBERAL EDUCATION HOLDINGS LTD', 'ticker': 'CLEU', 'cik': '1775085', 'cusip': 'G2161Y109 G2161Y117', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Education & Training Services', 'sic': '8200', 'sicSector': 'Services', 'sicIndustry': 'Services-Educational Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'China', 'id': '553ead79f6b4f982326238966fee3b2d'}"
RGS,53806820.8697319,"{'name': 'REGIS CORP', 'ticker': 'RGS', 'cik': '716643', 'cusip': '758932107 758932206', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Personal Services', 'sic': '7200', 'sicSector': 'Services', 'sicIndustry': 'Services-Personal Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'Minnesota; U.S.A', 'id': '036a5b3f87a17e45bd77f5874ccd484f'}"
VSTA,50919143.83041859,"{'name': 'VASTA PLATFORM LTD', 'ticker': 'VSTA', 'cik': '1792829', 'cusip': 'G9440A109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Education & Training Services', 'sic': '8200', 'sicSector': 'Services', 'sicIndustry': 'Services-Educational Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'Brazil', 'id': '61da960cdd58f09d08cc2079a47c3a35'}"
AACG,46008001.828193665,"{'name': 'ATA CREATIVITY GLOBAL', 'ticker': 'AACG', 'cik': '1420529', 'cusip': '00211V106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Education & Training Services', 'sic': '8200', 'sicSector': 'Services', 'sicIndustry': 'Services-Educational Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'China', 'id': '11d86760259c84b5395bb0361bb98b66'}"
YQ,37402578.271455765,"{'name': '17 EDUCATION & TECHNOLOGY GROUP INC', 'ticker': 'YQ', 'cik': '1821468', 'cusip': '81807M106 81807M205 81807M304', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Education & Training Services', 'sic': '8200', 'sicSector': 'Services', 'sicIndustry': 'Services-Educational Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'China', 'id': 'e572ac41491c3a43734b1f95f0372b26'}"
DLPN,33171075.0,"{'name': 'DOLPHIN ENTERTAINMENT INC', 'ticker': 'DLPN', 'cik': '1282224', 'cusip': '25686H209 25686H100 25688M107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Communication Services', 'industry': 'Advertising Agencies', 'sic': '7200', 'sicSector': 'Services', 'sicIndustry': 'Services-Personal Services', 'famaSector': '', 'famaIndustry': 'Personal Services', 'currency': 'USD', 'location': 'Florida; U.S.A', 'id': 'dcfbfbff2dcb8a1a4ad055527a3acc02'}"
