,mkt_cap,stock_info
ENTG,16431696325.831055,"{'name': 'ENTEGRIS INC', 'ticker': 'ENTG', 'cik': '1101302', 'cusip': '29362U104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Semiconductor Equipment & Materials', 'sic': '3089', 'sicSector': 'Manufacturing', 'sicIndustry': 'Plastics Products Nec', 'famaSector': '', 'famaIndustry': 'Rubber and Plastic Products', 'currency': 'USD', 'location': 'Massachusetts; U.S.A', 'id': '11c2998a882e181418aa24940962b787'}"
NWL,3719842504.157135,"{'name': 'NEWELL BRANDS INC', 'ticker': 'NWL', 'cik': '814453', 'cusip': '651229106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Household & Personal Products', 'sic': '3089', 'sicSector': 'Manufacturing', 'sicIndustry': 'Plastics Products Nec', 'famaSector': '', 'famaIndustry': 'Rubber and Plastic Products', 'currency': 'USD', 'location': 'Georgia; U.S.A.', 'id': '965be186d6e8e85ae077a4b90091af6c'}"
LWLG,839457032.5126648,"{'name': 'LIGHTWAVE LOGIC INC', 'ticker': 'LWLG', 'cik': '1325964', 'cusip': '532275104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Specialty Chemicals', 'sic': '3080', 'sicSector': 'Manufacturing', 'sicIndustry': 'Miscellaneous Plastics Products', 'famaSector': '', 'famaIndustry': 'Rubber and Plastic Products', 'currency': 'USD', 'location': 'Colorado; U.S.A', 'id': '6f7d38dff3537aeaf9096f760b0340f8'}"
RTC,452813172.328949,"{'name': 'BAIJIAYUN GROUP LTD', 'ticker': 'RTC', 'cik': '1381074', 'cusip': 'G3704F102 G3704F110 G0704V103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Technology', 'industry': 'Software - Application', 'sic': '3081', 'sicSector': 'Manufacturing', 'sicIndustry': 'Unsupported Plastics Film & Sheet', 'famaSector': '', 'famaIndustry': 'Rubber and Plastic Products', 'currency': 'USD', 'location': 'China', 'id': '40482f7b7af2918ad6da1272aa7f6a9f'}"
SWIM,439177394.4890499,"{'name': 'LATHAM GROUP INC', 'ticker': 'SWIM', 'cik': '1833197', 'cusip': '51819L107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Building Products & Equipment', 'sic': '3089', 'sicSector': 'Manufacturing', 'sicIndustry': 'Plastics Products Nec', 'famaSector': '', 'famaIndustry': 'Rubber and Plastic Products', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': '16a5b4e5cd61668c7c59dc5934d7478b'}"
KRT,364543750.0,"{'name': 'KARAT PACKAGING INC', 'ticker': 'KRT', 'cik': '1758021', 'cusip': '48563L101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Packaging & Containers', 'sic': '3089', 'sicSector': 'Manufacturing', 'sicIndustry': 'Plastics Products Nec', 'famaSector': '', 'famaIndustry': 'Rubber and Plastic Products', 'currency': 'USD', 'location': 'United States; U.S.A', 'id': '62ef1a1a25558ca956d9e8535afbb172'}"
DSWL,44140503.69606018,"{'name': 'DESWELL INDUSTRIES INC', 'ticker': 'DSWL', 'cik': '946936', 'cusip': '250639101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Technology', 'industry': 'Electronic Components', 'sic': '3089', 'sicSector': 'Manufacturing', 'sicIndustry': 'Plastics Products Nec', 'famaSector': '', 'famaIndustry': 'Rubber and Plastic Products', 'currency': 'USD', 'location': 'China', 'id': '64b602982c2aa74f6d53aedee92c4994'}"
YHGJ,40920643.594288826,"{'name': 'YUNHONG GREEN CTI LTD', 'ticker': 'YHGJ', 'cik': '1042187', 'cusip': '125961300 98873Q100 125961102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Specialty Retail', 'sic': '3060', 'sicSector': 'Manufacturing', 'sicIndustry': 'Fabricated Rubber Products Nec', 'famaSector': '', 'famaIndustry': 'Rubber and Plastic Products', 'currency': 'USD', 'location': 'Illinois; U.S.A', 'id': 'c9864c1958ccc296349b6f4bbd80b224'}"
AREB,18080825.37311554,"{'name': 'AMERICAN REBEL HOLDINGS INC', 'ticker': 'AREB', 'cik': '1648087', 'cusip': '02919L208 02919L307 02919L109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Consumer Cyclical', 'industry': 'Footwear & Accessories', 'sic': '3089', 'sicSector': 'Manufacturing', 'sicIndustry': 'Plastics Products Nec', 'famaSector': '', 'famaIndustry': 'Rubber and Plastic Products', 'currency': 'USD', 'location': 'Tennessee; U.S.A', 'id': '8a8cb387229fc3df3c34241e5f57e44d'}"
FORD,9457527.97601223,"{'name': 'FORWARD INDUSTRIES INC', 'ticker': 'FORD', 'cik': '38264', 'cusip': '349862300 349862102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Footwear & Accessories', 'sic': '3089', 'sicSector': 'Manufacturing', 'sicIndustry': 'Plastics Products Nec', 'famaSector': '', 'famaIndustry': 'Rubber and Plastic Products', 'currency': 'USD', 'location': 'Florida; U.S.A', 'id': '5c1857aa5f253d19c9be08451eef64a2'}"
