,mkt_cap,stock_info
MSFT,2490195294361.5625,"{'name': 'MICROSOFT CORP', 'ticker': 'MSFT', 'cik': '789019', 'cusip': '594918104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Software - Infrastructure', 'sic': '7372', 'sicSector': 'Services', 'sicIndustry': 'Services-Prepackaged Software', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'Washington; U.S.A', 'id': '0f08a6a6742dc4148badfef6977406cf'}"
GOOGL,699593375792.1875,"{'name': 'ALPHABET INC', 'ticker': 'GOOGL', 'cik': '1652044', 'cusip': '02079K305 38259P508', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Communication Services', 'industry': 'Internet Content & Information', 'sic': '7370', 'sicSector': 'Services', 'sicIndustry': 'Services-Computer Programming Data Processing Etc.', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'f4d5c493c7fe5a85bcd98005175b18bb'}"
GOOG,674096174318.5664,"{'name': 'ALPHABET INC', 'ticker': 'GOOG', 'cik': '1652044', 'cusip': '02079K107 38259P706', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Secondary Class', 'sector': 'Communication Services', 'industry': 'Internet Content & Information', 'sic': '7370', 'sicSector': 'Services', 'sicIndustry': 'Services-Computer Programming Data Processing Etc.', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '594230eef3f5d7c08886c262d2ae6c17'}"
META,616958947356.25,"{'name': 'META PLATFORMS INC', 'ticker': 'META', 'cik': '1326801', 'cusip': '30303M102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Communication Services', 'industry': 'Internet Content & Information', 'sic': '7370', 'sicSector': 'Services', 'sicIndustry': 'Services-Computer Programming Data Processing Etc.', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'f0092f90a39a6015d08f1bcf9447a466'}"
ADBE,216728955078.125,"{'name': 'ADOBE INC', 'ticker': 'ADBE', 'cik': '796343', 'cusip': '00724F101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Software - Infrastructure', 'sic': '7372', 'sicSector': 'Services', 'sicIndustry': 'Services-Prepackaged Software', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '08774beedc7bd5d41d83d0757ec98e5a'}"
INTU,127423119234.02344,"{'name': 'INTUIT INC', 'ticker': 'INTU', 'cik': '896878', 'cusip': '461202103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Software - Application', 'sic': '7372', 'sicSector': 'Services', 'sicIndustry': 'Services-Prepackaged Software', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'c8f0c1796be2e3e88fb9ef6f937c9838'}"
SNPS,65561125464.84375,"{'name': 'SYNOPSYS INC', 'ticker': 'SNPS', 'cik': '883241', 'cusip': '871607107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Software - Infrastructure', 'sic': '7372', 'sicSector': 'Services', 'sicIndustry': 'Services-Prepackaged Software', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'd378e2109eb10ac481b49585240c4c50'}"
CDNS,62259552419.308105,"{'name': 'CADENCE DESIGN SYSTEMS INC', 'ticker': 'CDNS', 'cik': '813672', 'cusip': '127387108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Software - Application', 'sic': '7372', 'sicSector': 'Services', 'sicIndustry': 'Services-Prepackaged Software', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '17f0c657e4a025b275a53f0c871bbea0'}"
BIDU,47183732263.916016,"{'name': 'BAIDU INC', 'ticker': 'BIDU', 'cik': '1329099', 'cusip': '056752108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Communication Services', 'industry': 'Internet Content & Information', 'sic': '7370', 'sicSector': 'Services', 'sicIndustry': 'Services-Computer Programming Data Processing Etc.', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'China', 'id': 'f3832f2ae50e8eb70db9ed753be21b16'}"
ADSK,44433642392.125,"{'name': 'AUTODESK INC', 'ticker': 'ADSK', 'cik': '769397', 'cusip': '052769106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Software - Application', 'sic': '7372', 'sicSector': 'Services', 'sicIndustry': 'Services-Prepackaged Software', 'famaSector': '', 'famaIndustry': 'Business Services', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '9849fa4395626e8fbd96e57c77509403'}"
