,mkt_cap,stock_info
STLD,17149494650.973633,"{'name': 'STEEL DYNAMICS INC', 'ticker': 'STLD', 'cik': '1022671', 'cusip': '858119100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Steel', 'sic': '3312', 'sicSector': 'Manufacturing', 'sicIndustry': 'Steel Works Blast Furnaces & Rolling Mills (Coke Ovens)', 'famaSector': '', 'famaIndustry': 'Steel Works Etc', 'currency': 'USD', 'location': 'Indiana; U.S.A', 'id': '3cb45c9446f98f47783f91e8cae17fb3'}"
WIRE,2930380600.0,"{'name': 'ENCORE WIRE CORP', 'ticker': 'WIRE', 'cik': '850460', 'cusip': '292562105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Electrical Equipment & Parts', 'sic': '3350', 'sicSector': 'Manufacturing', 'sicIndustry': 'Rolling Drawing & Extruding Of Nonferrous Metals', 'famaSector': '', 'famaIndustry': 'Steel Works Etc', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '73576d34b02aba1030dfd2fe00418d0c'}"
ROCK,1893996547.3506927,"{'name': 'GIBRALTAR INDUSTRIES INC', 'ticker': 'ROCK', 'cik': '912562', 'cusip': '374689107 37476F103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Building Products & Equipment', 'sic': '3310', 'sicSector': 'Manufacturing', 'sicIndustry': 'Steel Works Blast Furnaces & Rolling & Finishing Mills', 'famaSector': '', 'famaIndustry': 'Steel Works Etc', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': '16c746c15e36238558e65eb7acb6d28d'}"
MATW,1291044224.1157532,"{'name': 'MATTHEWS INTERNATIONAL CORP', 'ticker': 'MATW', 'cik': '63296', 'cusip': '577128101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Conglomerates', 'sic': '3360', 'sicSector': 'Manufacturing', 'sicIndustry': 'Nonferrous Foundries (Castings)', 'famaSector': '', 'famaIndustry': 'Steel Works Etc', 'currency': 'USD', 'location': 'Pennsylvania; U.S.A', 'id': '2ac65823c26be8328ddf08d9c2615f4f'}"
KALU,1153257722.0581055,"{'name': 'KAISER ALUMINUM CORP', 'ticker': 'KALU', 'cik': '811596', 'cusip': '483007704 483007407', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Aluminum', 'sic': '3350', 'sicSector': 'Manufacturing', 'sicIndustry': 'Rolling Drawing & Extruding Of Nonferrous Metals', 'famaSector': '', 'famaIndustry': 'Steel Works Etc', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'cf4d4eacbe504add1b0a0c3218faa9ee'}"
GSM,911242193.2818909,"{'name': 'FERROGLOBE PLC', 'ticker': 'GSM', 'cik': '1639877', 'cusip': 'G33856108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Basic Materials', 'industry': 'Other Industrial Metals & Mining', 'sic': '3330', 'sicSector': 'Manufacturing', 'sicIndustry': 'Primary Smelting & Refining Of Nonferrous Metals', 'famaSector': '', 'famaIndustry': 'Steel Works Etc', 'currency': 'USD', 'location': 'United Kingdom', 'id': '0372cdb159eb67f3e8fb55bd01344fd9'}"
CENX,814837356.3037567,"{'name': 'CENTURY ALUMINUM CO', 'ticker': 'CENX', 'cik': '949157', 'cusip': '156431108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Aluminum', 'sic': '3334', 'sicSector': 'Manufacturing', 'sicIndustry': 'Primary Production Of Aluminum', 'famaSector': '', 'famaIndustry': 'Steel Works Etc', 'currency': 'USD', 'location': 'Illinois; U.S.A', 'id': '19655a79ca4d1d472411b47df5c2314a'}"
ASTL,738669790.0781631,"{'name': 'ALGOMA STEEL GROUP INC', 'ticker': 'ASTL', 'cik': '1860805', 'cusip': '015658107 52473X106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock Primary Class', 'sector': 'Basic Materials', 'industry': 'Steel', 'sic': '3312', 'sicSector': 'Manufacturing', 'sicIndustry': 'Steel Works Blast Furnaces & Rolling Mills (Coke Ovens)', 'famaSector': '', 'famaIndustry': 'Steel Works Etc', 'currency': 'USD', 'location': 'Ontario; Canada', 'id': 'd4e28f1d7371292e6e829f02d48c822a'}"
HAYN,646559105.406189,"{'name': 'HAYNES INTERNATIONAL INC', 'ticker': 'HAYN', 'cik': '858655', 'cusip': '420877201', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Metal Fabrication', 'sic': '3310', 'sicSector': 'Manufacturing', 'sicIndustry': 'Steel Works Blast Furnaces & Rolling & Finishing Mills', 'famaSector': '', 'famaIndustry': 'Steel Works Etc', 'currency': 'USD', 'location': 'Indiana; U.S.A', 'id': '25ac2e77069dd0f5cff5d1dc88270773'}"
BOOM,352888563.230896,"{'name': 'DMC GLOBAL INC', 'ticker': 'BOOM', 'cik': '34067', 'cusip': '23291C103 267888105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Energy', 'industry': 'Oil & Gas Equipment & Services', 'sic': '3390', 'sicSector': 'Manufacturing', 'sicIndustry': 'Miscellaneous Primary Metal Products', 'famaSector': '', 'famaIndustry': 'Steel Works Etc', 'currency': 'USD', 'location': 'Colorado; U.S.A', 'id': '7c4f41f74a56d12bcdb5164d317686cf'}"
NWPX,293101879.10455704,"{'name': 'NORTHWEST PIPE CO', 'ticker': 'NWPX', 'cik': '1001385', 'cusip': '667746101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Metal Fabrication', 'sic': '3317', 'sicSector': 'Manufacturing', 'sicIndustry': 'Steel Pipe & Tubes', 'famaSector': '', 'famaIndustry': 'Steel Works Etc', 'currency': 'USD', 'location': 'Washington; U.S.A', 'id': 'c7c6140b17985ec011dfde01817f31e0'}"
AQMS,137003464.31922913,"{'name': 'AQUA METALS INC', 'ticker': 'AQMS', 'cik': '1621832', 'cusip': '03837J101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Industrials', 'industry': 'Waste Management', 'sic': '3341', 'sicSector': 'Manufacturing', 'sicIndustry': 'Secondary Smelting & Refining Of Nonferrous Metals', 'famaSector': '', 'famaIndustry': 'Steel Works Etc', 'currency': 'USD', 'location': 'Nevada; U.S.A', 'id': '04483dd51c5d15c4e5b36e582408eaac'}"
USAP,130587200.45056343,"{'name': 'UNIVERSAL STAINLESS & ALLOY PRODUCTS INC', 'ticker': 'USAP', 'cik': '931584', 'cusip': '913837100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Steel', 'sic': '3312', 'sicSector': 'Manufacturing', 'sicIndustry': 'Steel Works Blast Furnaces & Rolling Mills (Coke Ovens)', 'famaSector': '', 'famaIndustry': 'Steel Works Etc', 'currency': 'USD', 'location': 'Pennsylvania; U.S.A', 'id': '373938cfd72f4ffae7b90ca5c68e4222'}"
