,mkt_cap,stock_info
HAS,8886157534.91211,"{'name': 'HASBRO INC', 'ticker': 'HAS', 'cik': '46080', 'cusip': '418056107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Leisure', 'sic': '3944', 'sicSector': 'Manufacturing', 'sicIndustry': ""Games Toys & Children'S Vehicles (No Dolls & Bicycles)"", 'famaSector': '', 'famaIndustry': 'Recreation', 'currency': 'USD', 'location': 'Rhode Island; U.S.A', 'id': '45d3d1149da80b28dce4e412e783fe20'}"
MAT,6605933216.096191,"{'name': 'MATTEL INC', 'ticker': 'MAT', 'cik': '63276', 'cusip': '577081102', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Leisure', 'sic': '3942', 'sicSector': 'Manufacturing', 'sicIndustry': 'Dolls & Stuffed Toys', 'famaSector': '', 'famaIndustry': 'Recreation', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'b1d5aee8c08e13fdf9d39b75df56874a'}"
PTON,2631873212.8181763,"{'name': 'PELOTON INTERACTIVE INC', 'ticker': 'PTON', 'cik': '1639825', 'cusip': '70614W100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Leisure', 'sic': '3949', 'sicSector': 'Manufacturing', 'sicIndustry': 'Sporting & Athletic Goods Nec', 'famaSector': '', 'famaIndustry': 'Recreation', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': 'dbf3c41ad7056737b2b8ab44c7bd4117'}"
SONO,1970103114.3894196,"{'name': 'SONOS INC', 'ticker': 'SONO', 'cik': '1314727', 'cusip': '83570H108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Consumer Electronics', 'sic': '3651', 'sicSector': 'Manufacturing', 'sicIndustry': 'Household Audio & Video Equipment', 'famaSector': '', 'famaIndustry': 'Recreation', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'f02e3003e2c5b1373e850f1022b558ff'}"
JOUT,562528864.3502808,"{'name': 'JOHNSON OUTDOORS INC', 'ticker': 'JOUT', 'cik': '788329', 'cusip': '479167108 479254104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Leisure', 'sic': '3949', 'sicSector': 'Manufacturing', 'sicIndustry': 'Sporting & Athletic Goods Nec', 'famaSector': '', 'famaIndustry': 'Recreation', 'currency': 'USD', 'location': 'Wisconsin; U.S.A', 'id': 'd93ec65c42a02d11727f069691e47ab3'}"
FNKO,558171910.0502014,"{'name': 'FUNKO INC', 'ticker': 'FNKO', 'cik': '1704711', 'cusip': '361008105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Leisure', 'sic': '3944', 'sicSector': 'Manufacturing', 'sicIndustry': ""Games Toys & Children'S Vehicles (No Dolls & Bicycles)"", 'famaSector': '', 'famaIndustry': 'Recreation', 'currency': 'USD', 'location': 'Washington; U.S.A', 'id': 'd524d979be9c63f0b901f8e282a88b8b'}"
YYAI,380753675.53253174,"{'name': 'CONNEXA SPORTS TECHNOLOGIES INC', 'ticker': 'YYAI', 'cik': '1674440', 'cusip': '831445200 831445309 831445101 52110B103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Leisure', 'sic': '3949', 'sicSector': 'Manufacturing', 'sicIndustry': 'Sporting & Athletic Goods Nec', 'famaSector': '', 'famaIndustry': 'Recreation', 'currency': 'USD', 'location': 'Delaware; U.S.A', 'id': '5e6e06fab36bc562ac99d56c4cadc8cf'}"
CLAR,345066790.7657623,"{'name': 'CLARUS CORP', 'ticker': 'CLAR', 'cik': '913277', 'cusip': '18270P109 09202G101 182707109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Leisure', 'sic': '3949', 'sicSector': 'Manufacturing', 'sicIndustry': 'Sporting & Athletic Goods Nec', 'famaSector': '', 'famaIndustry': 'Recreation', 'currency': 'USD', 'location': 'Utah; U.S.A', 'id': 'c60d1b783bd6a4843ef909a0c4062408'}"
JAKK,215909988.52787018,"{'name': 'JAKKS PACIFIC INC', 'ticker': 'JAKK', 'cik': '1009829', 'cusip': '47012E106 47012E403', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Leisure', 'sic': '3944', 'sicSector': 'Manufacturing', 'sicIndustry': ""Games Toys & Children'S Vehicles (No Dolls & Bicycles)"", 'famaSector': '', 'famaIndustry': 'Recreation', 'currency': 'USD', 'location': 'California; U.S.A', 'id': '839d7414f017a6013351f6757beff626'}"
ESCA,183804819.17266846,"{'name': 'ESCALADE INC', 'ticker': 'ESCA', 'cik': '33488', 'cusip': '296056104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Leisure', 'sic': '3949', 'sicSector': 'Manufacturing', 'sicIndustry': 'Sporting & Athletic Goods Nec', 'famaSector': '', 'famaIndustry': 'Recreation', 'currency': 'USD', 'location': 'Indiana; U.S.A', 'id': '394340a9bd10ce40390c3e85668f8db7'}"
