,mkt_cap,stock_info
AEP,43888177513.89404,"{'name': 'AMERICAN ELECTRIC POWER CO INC', 'ticker': 'AEP', 'cik': '4904', 'cusip': '025537101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Utilities', 'industry': 'Utilities - Regulated Electric', 'sic': '4911', 'sicSector': 'Transportation Communications Electric Gas And Sanitary Service', 'sicIndustry': 'Electric Services', 'famaSector': '', 'famaIndustry': 'Utilities', 'currency': 'USD', 'location': 'Ohio; U.S.A', 'id': '87a9ea24138e658cee1b350f7256a373'}"
EXC,40111204552.12988,"{'name': 'EXELON CORP', 'ticker': 'EXC', 'cik': '1109357', 'cusip': '30161N101 693304107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Utilities', 'industry': 'Utilities - Regulated Electric', 'sic': '4931', 'sicSector': 'Transportation Communications Electric Gas And Sanitary Service', 'sicIndustry': 'Electric & Other Services Combined', 'famaSector': '', 'famaIndustry': 'Utilities', 'currency': 'USD', 'location': 'Illinois; U.S.A', 'id': '3c0a8b817836763b6faa02c4b219e7f8'}"
XEL,34055113347.742676,"{'name': 'XCEL ENERGY INC', 'ticker': 'XEL', 'cik': '72903', 'cusip': '98389B100 665772109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Utilities', 'industry': 'Utilities - Regulated Electric', 'sic': '4931', 'sicSector': 'Transportation Communications Electric Gas And Sanitary Service', 'sicIndustry': 'Electric & Other Services Combined', 'famaSector': '', 'famaIndustry': 'Utilities', 'currency': 'USD', 'location': 'Minnesota; U.S.A', 'id': '00685eb161247bb6a52fe3ff03dec97f'}"
CEG,28645406042.77881,"{'name': 'CONSTELLATION ENERGY CORP', 'ticker': 'CEG', 'cik': '1868275', 'cusip': '21037T109', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Utilities', 'industry': 'Utilities - Renewable', 'sic': '4911', 'sicSector': 'Transportation Communications Electric Gas And Sanitary Service', 'sicIndustry': 'Electric Services', 'famaSector': '', 'famaIndustry': 'Utilities', 'currency': 'USD', 'location': 'Maryland; U.S.A', 'id': '89f8360687b6343df99114b6cb84256c'}"
LNT,13277869059.041992,"{'name': 'ALLIANT ENERGY CORP', 'ticker': 'LNT', 'cik': '352541', 'cusip': '018802108 929305100 460845100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Utilities', 'industry': 'Utilities - Regulated Electric', 'sic': '4931', 'sicSector': 'Transportation Communications Electric Gas And Sanitary Service', 'sicIndustry': 'Electric & Other Services Combined', 'famaSector': '', 'famaIndustry': 'Utilities', 'currency': 'USD', 'location': 'Wisconsin; U.S.A', 'id': '06b91da77037a6cf9a2bd87a6fb106b0'}"
EVRG,13234713095.279419,"{'name': 'EVERGY INC', 'ticker': 'EVRG', 'cik': '1711269', 'cusip': '30034W106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Utilities', 'industry': 'Utilities - Regulated Electric', 'sic': '4931', 'sicSector': 'Transportation Communications Electric Gas And Sanitary Service', 'sicIndustry': 'Electric & Other Services Combined', 'famaSector': '', 'famaIndustry': 'Utilities', 'currency': 'USD', 'location': 'Missouri; U.S.A', 'id': '528b4053b97a2563f8c2f234207d0148'}"
NFE,5471107582.580566,"{'name': 'NEW FORTRESS ENERGY INC', 'ticker': 'NFE', 'cik': '1749723', 'cusip': '644393100', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Utilities', 'industry': 'Utilities - Regulated Gas', 'sic': '4924', 'sicSector': 'Transportation Communications Electric Gas And Sanitary Service', 'sicIndustry': 'Natural Gas Distribution', 'famaSector': '', 'famaIndustry': 'Utilities', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': '790369cebf7f417110ba6eec8cdebade'}"
NWE,3480454712.109375,"{'name': 'NORTHWESTERN ENERGY GROUP INC', 'ticker': 'NWE', 'cik': '1993004', 'cusip': '668074305', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Utilities', 'industry': 'Utilities - Diversified', 'sic': '4931', 'sicSector': 'Transportation Communications Electric Gas And Sanitary Service', 'sicIndustry': 'Electric & Other Services Combined', 'famaSector': '', 'famaIndustry': 'Utilities', 'currency': 'USD', 'location': 'South Dakota; U.S.A', 'id': '0c0f05b9bc5ced36f2ed69df920e0f59'}"
OTTR,3254832742.8710938,"{'name': 'OTTER TAIL CORP', 'ticker': 'OTTR', 'cik': '1466593', 'cusip': '689648103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Utilities', 'industry': 'Utilities - Diversified', 'sic': '4911', 'sicSector': 'Transportation Communications Electric Gas And Sanitary Service', 'sicIndustry': 'Electric Services', 'famaSector': '', 'famaIndustry': 'Utilities', 'currency': 'USD', 'location': 'Minnesota; U.S.A', 'id': '7141f79e41315e917df7e19f950a3536'}"
MGEE,2843787521.080017,"{'name': 'MGE ENERGY INC', 'ticker': 'MGEE', 'cik': '1161728', 'cusip': '55277P104 557497104', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Utilities', 'industry': 'Utilities - Regulated Electric', 'sic': '4900', 'sicSector': 'Transportation Communications Electric Gas And Sanitary Service', 'sicIndustry': 'Electric Gas & Sanitary Services', 'famaSector': '', 'famaIndustry': 'Utilities', 'currency': 'USD', 'location': 'Wisconsin; U.S.A', 'id': '9f495e6c9cd54bb982d87f07895a0182'}"
AY,2690242422.275543,"{'name': 'ATLANTICA SUSTAINABLE INFRASTRUCTURE PLC', 'ticker': 'AY', 'cik': '1601072', 'cusip': 'G0751N103 G00349103', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Utilities', 'industry': 'Utilities - Renewable', 'sic': '4911', 'sicSector': 'Transportation Communications Electric Gas And Sanitary Service', 'sicIndustry': 'Electric Services', 'famaSector': '', 'famaIndustry': 'Utilities', 'currency': 'USD', 'location': 'United Kingdom', 'id': '38db3a9730e3562025b3404d007461f7'}"
NEXT,2110390998.7335205,"{'name': 'NEXTDECADE CORP', 'ticker': 'NEXT', 'cik': '1612720', 'cusip': '65342K105 413247107 413247206', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Energy', 'industry': 'Oil & Gas E&P', 'sic': '4923', 'sicSector': 'Transportation Communications Electric Gas And Sanitary Service', 'sicIndustry': 'Natural Gas Transmisison & Distribution', 'famaSector': '', 'famaIndustry': 'Utilities', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '8d19ddeb2e38137c95c0e69183c2d2d0'}"
ENLT,2041939467.0009613,"{'name': 'ENLIGHT RENEWABLE ENERGY LTD', 'ticker': 'ENLT', 'cik': '1922641', 'cusip': 'M4056D110', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Utilities', 'industry': 'Utilities - Renewable', 'sic': '4911', 'sicSector': 'Transportation Communications Electric Gas And Sanitary Service', 'sicIndustry': 'Electric Services', 'famaSector': '', 'famaIndustry': 'Utilities', 'currency': 'USD', 'location': 'Israel', 'id': '23e9973a87dd95cfb4d54af892adf73b'}"
