ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ATRO,ASTRONICS CORP,8063,046433108,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Aerospace & Defense,3728,Manufacturing,Aircraft Parts & Auxiliary Equipment Nec,,Aircraft,USD,New York; U.S.A,72d61fe8f651266456da735a270301ab
AVAV,AEROVIRONMENT INC,1368622,008073108,NASDAQ,False,Domestic Common Stock,Industrials,Aerospace & Defense,3721,Manufacturing,Aircraft,,Aircraft,USD,California; U.S.A,5e0184c17b6d3f2946c8a92e16f43adc
AWIN,AERWINS TECHNOLOGIES INC,1855631,732450101 00810J108 00810J207,NASDAQ,False,Domestic Common Stock Primary Class,Technology,Scientific & Technical Instruments,3721,Manufacturing,Aircraft,,Aircraft,USD,Japan,72b28be5faca79a01b6316a1331008b4
DPRO,DRAGANFLY INC,1786286,26142Q205 26142Q106,NASDAQ,False,ADR Common Stock,Industrials,Aerospace & Defense,3721,Manufacturing,Aircraft,,Aircraft,USD,Saskatchewan; Canada,5d35e64896af2b2353fe648177440910
ESLT,ELBIT SYSTEMS LTD,1027664,M3760D101,NASDAQ,False,ADR Common Stock,Industrials,Aerospace & Defense,3728,Manufacturing,Aircraft Parts & Auxiliary Equipment Nec,,Aircraft,USD,Israel,65d080d30f62fb5eeece62783d5151a3
HON,HONEYWELL INTERNATIONAL INC,773840,438516106 438516122 019512102 438516114,NASDAQ,False,Domestic Common Stock,Industrials,Conglomerates,3724,Manufacturing,Aircraft Engines & Engine Parts,,Aircraft,USD,North Carolina; U.S.A,5e427367077279c2895993fde9bc8f72
HOVR,NEW HORIZON AIRCRAFT LTD,1930021,G71704103 64550A107 73245K107,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Aerospace & Defense,3721,Manufacturing,Aircraft,,Aircraft,USD,Ontario; Canada,09a35a3368b43d4acf40b0f42677d909
LILM,LILIUM NV,1855756,N52586109 G7307X105,NASDAQ,False,ADR Common Stock Primary Class,Industrials,Aerospace & Defense,3721,Manufacturing,Aircraft,,Aircraft,USD,Germany,81881b96e061acf1e58d3d36776aaad4
MOB,MOBILICOM LTD,1898643,60742B102,NASDAQ,False,ADR Common Stock Primary Class,Technology,Communication Equipment,3721,Manufacturing,Aircraft,,Aircraft,USD,Australia,0b8b1463fe49edaa011291230c6eddfc
PRZO,PARAZERO TECHNOLOGIES LTD,1916241,M7S13T102,NASDAQ,False,ADR Common Stock,Industrials,Aerospace & Defense,3728,Manufacturing,Aircraft Parts & Auxiliary Equipment Nec,,Aircraft,USD,Israel,385b64fba674d3536f140ca879469506
