ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AAGR,AFRICAN AGRICULTURE HOLDINGS INC,1848898,G87076108 00792J100,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Defensive,Farm Products,100,Agriculture Forestry And Fishing,Agricultural Production-Crops,,Agriculture,USD,New York; U.S.A,b482d1bb0565405b39dddbfdd5525932
AGFY,AGRIFY CORP,1800637,00853E107 00853E206 00853E305,NASDAQ,False,Domestic Common Stock,Industrials,Engineering & Construction,700,Agriculture Forestry And Fishing,Agricultural Services,,Agriculture,USD,Massachusetts; U.S.A,b054be9902eeb521f503b8f4e7c4ef3f
ALCO,ALICO INC,3545,016230104,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Farm Products,100,Agriculture Forestry And Fishing,Agricultural Production-Crops,,Agriculture,USD,Florida; U.S.A,4f31db039eef5a9d034c1eff4f1b780b
AVO,MISSION PRODUCE INC,1802974,60510V108,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Food Distribution,700,Agriculture Forestry And Fishing,Agricultural Services,,Agriculture,USD,California; U.S.A,5c09b428d8e29e26110482d75d8b955d
CALM,CAL-MAINE FOODS INC,16160,128030202,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Farm Products,200,Agriculture Forestry And Fishing,Agricultural Prod-Livestock & Animal Specialties,,Agriculture,USD,Mississippi; U.S.A,c47e8009cff0485e41657a9119db0d03
CEAD,CEA INDUSTRIES INC,1482541,86887P200,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Farm & Heavy Construction Machinery,700,Agriculture Forestry And Fishing,Agricultural Services,,Agriculture,USD,Colorado; U.S.A,60cc7a66709ca58cb80dc7dbf99f90d3
CVGW,CALAVO GROWERS INC,1133470,128246105,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Food Distribution,700,Agriculture Forestry And Fishing,Agricultural Services,,Agriculture,USD,California; U.S.A,bc0d6bc0aeec35562d4ac55dece2b6bd
EDBL,EDIBLE GARDEN AG INC,1809750,28059P204 28059P105 28059P303,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Defensive,Farm Products,100,Agriculture Forestry And Fishing,Agricultural Production-Crops,,Agriculture,USD,New Jersey; U.S.A,55df2e90805dda4ff3b4d1a77a39148d
IVP,INSPIRE VETERINARY PARTNERS INC,1939365,45784E106 45784E205,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Personal Services,700,Agriculture Forestry And Fishing,Agricultural Services,,Agriculture,USD,Virginia; U.S.A,a00c9dcb2ece7f478273b00805a9f775
LMNR,LIMONEIRA CO,1342423,532746104,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Farm Products,100,Agriculture Forestry And Fishing,Agricultural Production-Crops,,Agriculture,USD,California; U.S.A,0b6657557ab9ea6b24615cea46c6eed1
NCRA,NOCERA INC,1756180,655186500 655186104 655186302,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,200,Agriculture Forestry And Fishing,Agricultural Prod-Livestock & Animal Specialties,,Agriculture,USD,Georgia; U.S.A,fb4d4d49edec4e4a11d243fda20221a7
RKDA,ARCADIA BIOSCIENCES INC,1469443,039014204 039014105 039014303,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,100,Agriculture Forestry And Fishing,Agricultural Production-Crops,,Agriculture,USD,United States; U.S.A,878819ec2e0d130b1dbd81fdb49c634c
SANW,S&W SEED CO,1477246,785135104 785135203,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Defensive,Farm Products,100,Agriculture Forestry And Fishing,Agricultural Production-Crops,,Agriculture,USD,Colorado; U.S.A,f5bbdd07170e05f70ab15ce30ea7467b
SEED,ORIGIN AGRITECH LTD,1321851,G67828106 G67828205 G67828114,NASDAQ,False,ADR Common Stock,Basic Materials,Agricultural Inputs,100,Agriculture Forestry And Fishing,Agricultural Production-Crops,,Agriculture,USD,China,ffdb96004ea1a29ababb40bd30e729fc
SISI,SHINECO INC,1300734,824567200 824567309 824567408,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Farm Products,100,Agriculture Forestry And Fishing,Agricultural Production-Crops,,Agriculture,USD,China,660a6fa84563a3046d71b04e2bba6efe
VFF,VILLAGE FARMS INTERNATIONAL INC,1584549,92707Y108,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Farm Products,100,Agriculture Forestry And Fishing,Agricultural Production-Crops,,Agriculture,USD,Canada (Federal Level),4c7ca52bfe7302c8d5520c9893537432
