ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ADSE,ADS-TEC ENERGY PUBLIC LTD CO,1879248,G3194F109 G0085J117,NASDAQ,False,ADR Common Stock Primary Class,Industrials,Electrical Equipment & Parts,3790,Manufacturing,Miscellaneous Transportation Equipment,,Automobiles and Trucks,USD,Ireland,8c086c0a34db08dca65cc8e8f77b6b2e
BLBD,BLUE BIRD CORP,1589526,095306106 425886207 425886108,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Auto Manufacturers,3713,Manufacturing,Truck & Bus Bodies,,Automobiles and Trucks,USD,Georgia; U.S.A,601b5dffa7819ce4a49b6494d39153d4
BLNK,BLINK CHARGING CO,1429764,09354A100 14074Y206,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Engineering & Construction,3790,Manufacturing,Miscellaneous Transportation Equipment,,Automobiles and Trucks,USD,Florida; U.S.A,b0c1fa3ef5da5def1e79e23803dc3853
CAAS,CHINA AUTOMOTIVE SYSTEMS INC,1157762,16936R105,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Auto Parts,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,USD,China,0bd15a0ac8918a231271f621d6c50303
CENN,CENNTRO INC,1707919,Q6519V120 Q6519T117 150964104 Q6519V146 Q6519T109,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Auto Manufacturers,3711,Manufacturing,Motor Vehicles & Passenger Car Bodies,,Automobiles and Trucks,USD,New Jersey; U.S.A,9836dca5e15e0a4ac97e30d6ebd28eae
CJET,CHIJET MOTOR COMPANY INC,1957413,48208E108 48208E207 G4465R103,NASDAQ,False,ADR Common Stock Primary Class,Consumer Cyclical,Auto Manufacturers,3711,Manufacturing,Motor Vehicles & Passenger Car Bodies,,Automobiles and Trucks,USD,China,7b1dd778d5aee9ecb0c16445f46495ec
CPTN,CEPTON INC,1498233,39986V107 15673X101 15673X200,NASDAQ,False,Domestic Common Stock Primary Class,Technology,Scientific & Technical Instruments,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,USD,California; U.S.A,55bf02457660ec62aa4cd2629933e23b
CREV,CARBON REVOLUTION PUBLIC LTD CO,1960208,G9151L104 G1893D102,NASDAQ,False,ADR Common Stock Primary Class,Consumer Cyclical,Auto Parts,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,USD,Ireland,b3fc66aef602e3e6dbbf630504b45ae6
CVGI,COMMERCIAL VEHICLE GROUP INC,1290900,202608105,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Auto Parts,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,USD,Ohio; U.S.A,a43b9d6250cb077c47dc00cba71e4358
DOOO,BRP INC,1748797,05577W200,NASDAQ,False,Canadian Common Stock,Consumer Cyclical,Recreational Vehicles,3790,Manufacturing,Miscellaneous Transportation Equipment,,Automobiles and Trucks,USD,Quebec; Canada,849f37984f4cdc5b17d4b419ebf59e16
DORM,DORMAN PRODUCTS INC,868780,258278100 749124103,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Auto Parts,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,USD,Pennsylvania; U.S.A,07e7e1a0b23a91bd61b9dedb3d8cc229
ECDA,ECD AUTOMOTIVE DESIGN INC,1922858,28201D109 28201D208 27877D104,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Auto Manufacturers,3711,Manufacturing,Motor Vehicles & Passenger Car Bodies,,Automobiles and Trucks,USD,Massachusetts; U.S.A,10622aced3f1200226bcf7bf5ba234a7
EVTV,ENVIROTECH VEHICLES INC,1563568,00726A100 29414V209 29414V100,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Auto Manufacturers,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,USD,California; U.S.A,f25f47d28af7342021721fb7a34f90f2
FFIE,FARADAY FUTURE INTELLIGENT ELECTRIC INC,1805521,307359109 74348Q108 307359505 307359703,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Auto Manufacturers,3711,Manufacturing,Motor Vehicles & Passenger Car Bodies,,Automobiles and Trucks,USD,New York; U.S.A,796d690099bdfc941d9abef48d42826c
FLYE,FLY-E GROUP INC,1975940,,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Auto Manufacturers,3711,Manufacturing,Motor Vehicles & Passenger Car Bodies,,Automobiles and Trucks,USD,New York; U.S.A,3c16f38747f9e4a613cb624971a31b2a
GGR,GOGORO INC,1886190,G7154B107 G9491K105,NASDAQ,False,ADR Common Stock Primary Class,Consumer Cyclical,Auto Manufacturers,3711,Manufacturing,Motor Vehicles & Passenger Car Bodies,,Automobiles and Trucks,USD,Taiwan,2f6726a01e4f4b669433be88f8c7a9f0
GNTX,GENTEX CORP,355811,371901109,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Auto Parts,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,USD,Michigan; U.S.A,909d52a975980972d13e8d4309fbd820
GOEV,CANOO INC,1750153,13803R102 42589C104 13803R201 42589C203,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Auto Manufacturers,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,USD,California; U.S.A,9c1222740d5fd078d46d090977f9cb54
GP,GREENPOWER MOTOR CO INC,1584547,39540E302,NASDAQ,False,ADR Common Stock,Consumer Cyclical,Auto Manufacturers,3713,Manufacturing,Truck & Bus Bodies,,Automobiles and Trucks,USD,British Columbia; Canada,f23c3bf092fb658c26d3de330f31cd0f
