ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ABCB,AMERIS BANCORP,351569,03076K108 000400101,NASDAQ,False,Domestic Common Stock,Financial Services,Banks - Regional,6022,Finance Insurance And Real Estate,State Commercial Banks,,Banking,USD,Georgia; U.S.A,b142fa60786e019ecdab6e716c86b4b1
ACNB,ACNB CORP,715579,000868109,NASDAQ,False,Domestic Common Stock,Financial Services,Banks - Regional,6022,Finance Insurance And Real Estate,State Commercial Banks,,Banking,USD,Pennsylvania; U.S.A,9326db2fdee93e2a79f41908147ab531
AFBI,AFFINITY BANCSHARES INC,1823406,00832E103,NASDAQ,False,Domestic Common Stock,Financial Services,Banks - Regional,6036,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,,Banking,USD,Georgia; U.S.A,e41a69b19cab4f48419afb8684a1a5ae
AHG,AKSO HEALTH GROUP,1702318,428295109 98422P108 428295208,NASDAQ,False,ADR Common Stock,Healthcare,Medical Distribution,6172,Finance Insurance And Real Estate,Finance Lessors,,Banking,USD,China,1e9fd7afe455c4ca5e966027cef15129
AIHS,SENMIAO TECHNOLOGY LTD,1711012,817225105 817225204,NASDAQ,False,Domestic Common Stock,Financial Services,Credit Services,6199,Finance Insurance And Real Estate,Finance Services,,Banking,USD,China,f9d8686e391d5efb9d26a5c046517881
ALRS,ALERUS FINANCIAL CORP,903419,01446U103,NASDAQ,False,Domestic Common Stock,Financial Services,Banks - Regional,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,North Dakota; U.S.A,e4b925e7fc7ed88b7da126ca0522a6c9
AMAL,AMALGAMATED FINANCIAL CORP,1823608,022671101 022663108,NASDAQ,False,Domestic Common Stock,Financial Services,Banks - Regional,6022,Finance Insurance And Real Estate,State Commercial Banks,,Banking,USD,New York; U.S.A,88dd4e373695b52b4dce273b328769e2
AROW,ARROW FINANCIAL CORP,717538,042744102,NASDAQ,False,Domestic Common Stock,Financial Services,Banks - Regional,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,New York; U.S.A,7a00bfb56de0be91e592edc91664b11d
ASRV,AMERISERV FINANCIAL INC,707605,03074A102 917292104,NASDAQ,False,Domestic Common Stock Primary Class,Financial Services,Banks - Regional,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,Pennsylvania; U.S.A,0b6a867b79a4b26f6469e706f9a77efa
ATLC,ATLANTICUS HOLDINGS CORP,1464343,04914Y102,NASDAQ,False,Domestic Common Stock Primary Class,Financial Services,Credit Services,6141,Finance Insurance And Real Estate,Personal Credit Institutions,,Banking,USD,Georgia; U.S.A,23dcba7e83abcdbe4b66d8fa68e045d2
