ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
COCO,VITA COCO COMPANY INC,1482981,92846Q107,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2080,Manufacturing,Beverages,,Beer & Liquor,USD,New York; U.S.A,366c5528fee1bfa8af759e4736367079
EAST,EASTSIDE DISTILLING INC,1534708,277802302 277802401 277802104,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Oregon; U.S.A,f0653637ce3846c6a1839f57a0f932b8
KDP,KEURIG DR PEPPER INC,1418135,49271V100 26138E109,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Massachusetts; U.S.A,babc2429a9fa283538c3a4feb863b9ca
LQR,LQR HOUSE INC,1843165,50215C109 50215C208,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Florida; U.S.A,0a59a9349f224c53d3591ddd9e7e7e30
PEP,PEPSICO INC,77476,713448108,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2080,Manufacturing,Beverages,,Beer & Liquor,USD,New York; U.S.A,98c614018e3978acfd46b4011933b018
VWE,VINTAGE WINE ESTATES INC,1834045,92747V106 086344108,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Nevada; U.S.A,fcc1a55c75fa10d252e1ebddef424d45
WEST,WESTROCK COFFEE CO,1806347,96145W103 769395104,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Defensive,Packaged Foods,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Arkansas; U.S.A,45f6faf07ffdd89e0b8dbeaab729c047
WVVI,WILLAMETTE VALLEY VINEYARDS INC,838875,969136100,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Oregon; U.S.A,031ec5de213908a8e0b853aadc40f4fb
VWEWW,VINTAGE WINE ESTATES INC,1834045,92747V114,NASDAQ,False,Domestic Common Stock Warrant,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Nevada; U.S.A,896d3d66d5807e204fe2bf56bd4981cd
WESTW,WESTROCK COFFEE CO,1806347,769395112 96145W111,NASDAQ,False,Domestic Common Stock Warrant,Consumer Defensive,Packaged Foods,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Arkansas; U.S.A,e44ef364a4ad5a49cfe10a8ce480fc72
WVVIP,WILLAMETTE VALLEY VINEYARDS INC,838875,969136209,NASDAQ,False,Domestic Preferred Stock,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Oregon; U.S.A,5a24670ed6313ac5c45776f61c301bd5
ABEV,AMBEV SA,1565025,02319V103,NYSE,False,ADR Common Stock,Consumer Defensive,Beverages - Brewers,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Brazil,8760de58c701e0454411df1df5953342
BF.B,BROWN FORMAN CORP,14693,115637209,NYSE,False,Domestic Common Stock Primary Class,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Kentucky; U.S.A,086d18f86fe3b0748b71e538d62a30f4
BRCC,BRC INC,1891101,05601U105 82836L101,NYSE,False,Domestic Common Stock Primary Class,Consumer Defensive,Packaged Foods,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Texas; U.S.A,9fa2d3b76cf449270326ad62bbf8121c
BTTR,BETTER CHOICE CO INC,1471727,08771Y303 08771Y402 08771Y204 84918P208 08771Y105,NYSEMKT,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Florida; U.S.A,819811bb2b29881cccb259b75f1f5c7d
BUD,ANHEUSER-BUSCH INBEV SA,1668717,03524A108,NYSE,False,ADR Common Stock,Consumer Defensive,Beverages - Brewers,2082,Manufacturing,Malt Beverages,,Beer & Liquor,USD,Belgium,0f461a32a7024060268853769c150ded
CCU,UNITED BREWERIES CO INC,888746,204429104,NYSE,False,ADR Common Stock,Consumer Defensive,Beverages - Brewers,2082,Manufacturing,Malt Beverages,,Beer & Liquor,USD,Chile,f6e5aa8f07c7c1d1fab96cf386c99ac1
DEO,DIAGEO PLC,835403,25243Q205 386090302,NYSE,False,ADR Common Stock,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,United Kingdom,1e5b46de652351118ae4a9bb86f0f5b4
KO,COCA COLA CO,21344,191216100,NYSE,False,Domestic Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Georgia; U.S.A,e3e27e6ddfbce32a5d0318f47912e471
NAPA,DUCKHORN PORTFOLIO INC,1835256,26414D106,NYSE,False,Domestic Common Stock,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,California; U.S.A,2522f31ff9d68a19501e2697bc93a6c6
SAM,BOSTON BEER CO INC,949870,100557107,NYSE,False,Domestic Common Stock,Consumer Defensive,Beverages - Brewers,2082,Manufacturing,Malt Beverages,,Beer & Liquor,USD,Massachusetts; U.S.A,357671aab75b4e6ebeed35c152e58513
SBEV,SPLASH BEVERAGE GROUP INC,1553788,84862C203 13754P105 84862C104,NYSEMKT,False,Domestic Common Stock Primary Class,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Florida; U.S.A,c5490058a744c5c723ad800c12671bd8
STZ,CONSTELLATION BRANDS INC,16918,21036P108 137219200 137219101,NYSE,False,Domestic Common Stock Primary Class,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,New York; U.S.A,5898fcfe8454929eb38afc0d303b1bfd
TAP,MOLSON COORS BEVERAGE CO,24545,60871R209 217016104,NYSE,False,Domestic Common Stock Primary Class,Consumer Defensive,Beverages - Brewers,2082,Manufacturing,Malt Beverages,,Beer & Liquor,USD,Colorado; U.S.A,862f7c163e9d1c394cd70d7ec4f89cf3
VINE,FRESH VINE WINE INC,1880343,35804X101,NYSEMKT,False,Domestic Common Stock,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Minnesota; U.S.A,f0a52ac4f4547cfe1515ea10b05c2867
BF.A,BROWN FORMAN CORP,14693,115637100,NYSE,False,Domestic Common Stock Secondary Class,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Kentucky; U.S.A,a69034c8335398150a2c4c98f41b5e38
SBEV.WS,SPLASH BEVERAGE GROUP INC,1553788,84862C112,NYSEMKT,False,Domestic Common Stock Warrant,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Florida; U.S.A,6c91d9aacbb6fec016908bb7cc9a8554
TAP.A,MOLSON COORS BEVERAGE CO,24545,60871R100,NYSE,False,Domestic Common Stock Secondary Class,Consumer Defensive,Beverages - Brewers,2082,Manufacturing,Malt Beverages,,Beer & Liquor,USD,Colorado; U.S.A,f1db65396c0c9e32cb7568f209be179a
