ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AEHL,ANTELOPE ENTERPRISE HOLDINGS LTD,1470683,G2113X100 G2113X134 G041JN106 G2113X159 G041JN122 G2113X209,NASDAQ,False,ADR Common Stock,Basic Materials,Building Products & Equipment,3250,Manufacturing,Structural Clay Products,,Construction Materials,USD,Colombia,418edeeefde905721db564bea400156a
AGRI,AGRIFORCE GROWING SYSTEMS LTD,1826397,C00948106 C00948122,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Defensive,Farm Products,3448,Manufacturing,Prefabricated Metal Buildings & Components,,Construction Materials,USD,British Columbia; Canada,e35cb9b84324c4cb6db7947af452d35f
AMWD,AMERICAN WOODMARK CORP,794619,030506109,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,2430,Manufacturing,Millwood Veneer Plywood & Structural Wood Members,,Construction Materials,USD,Virginia; U.S.A,0a493860c65cb1c508f342119e52d965
BIMI,BIMI HOLDINGS INC,1213660,629099300 099501108 05552Q103 05552Q202 05552Q301 629099102,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Pharmaceutical Retailers,3490,Manufacturing,Miscellaneous Fabricated Metal Products,,Construction Materials,USD,China,4b46329e242e2741d14462f18eb3d70d
BNRG,BRENMILLER ENERGY LTD,1901215,M2R43K115 M2R43K362,NASDAQ,False,ADR Common Stock,Utilities,Utilities - Renewable,3433,Manufacturing,Heating Equipment Except Electric & Warm Air Furnaces,,Construction Materials,USD,Israel,49d057208f8ce44a3d8f48c3951ccefd
CSTE,CAESARSTONE LTD,1504379,M20598104,NASDAQ,False,ADR Common Stock,Basic Materials,Building Products & Equipment,3281,Manufacturing,Cut Stone & Stone Products,,Construction Materials,USD,Israel,fe092c9e438abb9b37e457d15983ce85
CVCO,CAVCO INDUSTRIES INC,278166,149568107 149567109,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Residential Construction,2451,Manufacturing,Mobile Homes,,Construction Materials,USD,Arizona; U.S.A,91aea5e37043c18d6a0d5de597cb92dc
EML,EASTERN CO,31107,276317104,NASDAQ,False,Domestic Common Stock,Industrials,Tools & Accessories,3420,Manufacturing,Cutlery Handtools & General Hardware,,Construction Materials,USD,Connecticut; U.S.A,4de82219e736eaee1bd1980436c85403
FGI,FGI INDUSTRIES LTD,1864943,G3302D103,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Furnishings Fixtures & Appliances,3430,Manufacturing,Heating Equip Except Elec & Warm Air; & Plumbing Fixtures,,Construction Materials,USD,New Jersey; U.S.A,7ed10975e97cdef8347ae4942c4edbef
GIFI,GULF ISLAND FABRICATION INC,1031623,402307102,NASDAQ,False,Domestic Common Stock,Industrials,Metal Fabrication,3440,Manufacturing,Fabricated Structural Metal Products,,Construction Materials,USD,Texas; U.S.A,c8c8531a7daf9619ff4c52a7ce6b32fa
HIHO,HIGHWAY HOLDINGS LTD,1026785,G4481U106,NASDAQ,False,ADR Common Stock,Industrials,Metal Fabrication,3490,Manufacturing,Miscellaneous Fabricated Metal Products,,Construction Materials,USD,Hong Kong,7d28f290fc0a7dac0bd0d9254941822c
HLMN,HILLMAN SOLUTIONS CORP,1822492,431636109 51476H100,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Tools & Accessories,3420,Manufacturing,Cutlery Handtools & General Hardware,,Construction Materials,USD,Ohio; U.S.A,6f7613c4a943d789454772b5afdf346e
LCUT,LIFETIME BRANDS INC,874396,53222Q103 531926103,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,3420,Manufacturing,Cutlery Handtools & General Hardware,,Construction Materials,USD,New York; U.S.A,92b71bc13ab8eac162e94035c9d206e0
LEGH,LEGACY HOUSING CORP,1436208,52472M101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Residential Construction,2451,Manufacturing,Mobile Homes,,Construction Materials,USD,Texas; U.S.A,58797c967b6e05320fdcaf975a19d8ae
