ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
DALN,DALLASNEWS CORP,1413898,001282102 235050101 001282300,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Publishing,2711,Manufacturing,Newspapers: Publishing Or Publishing & Printing,,Printing and Publishing,USD,Texas; U.S.A,b66a4c8b72ddf710ad01c75bb818666c
DJCO,DAILY JOURNAL CORP,783412,233912104,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,2711,Manufacturing,Newspapers: Publishing Or Publishing & Printing,,Printing and Publishing,USD,California; U.S.A,06cce325e57f5bd468d0a9fb734280d8
LEE,LEE ENTERPRISES INC,58361,523768109 523768406,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Publishing,2711,Manufacturing,Newspapers: Publishing Or Publishing & Printing,,Printing and Publishing,USD,Iowa; U.S.A,963bc01b5e335043cbc2bb1775add1e7
NWSA,NEWS CORP,1564708,65249B109,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Entertainment,2711,Manufacturing,Newspapers: Publishing Or Publishing & Printing,,Printing and Publishing,USD,New York; U.S.A,ab9a41a4e96fb44ee83b75f171c81da4
SCHL,SCHOLASTIC CORP,866729,807066105,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Publishing,2731,Manufacturing,Books: Publishing Or Publishing & Printing,,Printing and Publishing,USD,New York; U.S.A,980b1a0bac2b1e51a7cb94d8b99a07dc
SOBR,SOBR SAFE INC,1425627,833592207 45249C109 833592108,NASDAQ,False,Domestic Common Stock,Technology,Scientific & Technical Instruments,2721,Manufacturing,Periodicals: Publishing Or Publishing & Printing,,Printing and Publishing,USD,Colorado; U.S.A,1d874c74ce0e34f9f028cc7c37c1ea05
VSME,VS MEDIA HOLDINGS LTD,1951294,G9517U103,NASDAQ,False,ADR Common Stock,Communication Services,Advertising Agencies,2741,Manufacturing,Miscellaneous Publishing,,Printing and Publishing,USD,Hong Kong,dfc24814a608127dfd4d886b29550b07
NWS,NEWS CORP,1564708,65249B208,NASDAQ,False,Domestic Common Stock Secondary Class,Communication Services,Entertainment,2711,Manufacturing,Newspapers: Publishing Or Publishing & Printing,,Printing and Publishing,USD,New York; U.S.A,1450247a2e3227783bccfad0d5f4bca9
ACCO,ACCO BRANDS CORP,712034,00081T108,NYSE,False,Domestic Common Stock,Industrials,Business Equipment & Supplies,2780,Manufacturing,Blankbooks Looseleaf Binders & Bookbindg & Relatd Work,,Printing and Publishing,USD,Illinois; U.S.A,55ee83c9ed419991b8a49f6cadd231c0
AXR,AMREP CORP,6207,032159105,NYSE,False,Domestic Common Stock,Real Estate,Real Estate - Development,2721,Manufacturing,Periodicals: Publishing Or Publishing & Printing,,Printing and Publishing,USD,Pennsylvania; U.S.A,c8407f5ecc89dff10845f4c4e2344105
DLX,DELUXE CORP,27996,248019101,NYSE,False,Domestic Common Stock,Communication Services,Advertising Agencies,2780,Manufacturing,Blankbooks Looseleaf Binders & Bookbindg & Relatd Work,,Printing and Publishing,USD,Minnesota; U.S.A,b614c36d3aa86b5967a267a9500fa43e
GCI,GANNETT CO INC,1579684,36473H104 36472T109,NYSE,False,Domestic Common Stock,Consumer Cyclical,Publishing,2711,Manufacturing,Newspapers: Publishing Or Publishing & Printing,,Printing and Publishing,USD,New York; U.S.A,7810723bff8e332da6cc2e220042b477
NYT,NEW YORK TIMES CO,71691,650111107,NYSE,False,Domestic Common Stock,Consumer Cyclical,Publishing,2711,Manufacturing,Newspapers: Publishing Or Publishing & Printing,,Printing and Publishing,USD,New York; U.S.A,3ad0801fff4c0a520e3d9528c30eacdd
PSO,PEARSON PLC,938323,705015105,NYSE,False,ADR Common Stock,Consumer Cyclical,Publishing,2731,Manufacturing,Books: Publishing Or Publishing & Printing,,Printing and Publishing,USD,United Kingdom,1e2899d178a2d23d6d9ebb3fb9166827
RELX,RELX PLC,929869,759530108 758205207 758205108 758212872,NYSE,False,ADR Common Stock Primary Class,Industrials,Specialty Business Services,2741,Manufacturing,Miscellaneous Publishing,,Printing and Publishing,USD,United Kingdom,36f692b434669856f057f84195df0a82
TRI,THOMSON REUTERS CORP,1075124,884903709 884903105 884903808 896287109 884903303,NYSE,False,Canadian Common Stock,Industrials,Specialty Business Services,2741,Manufacturing,Miscellaneous Publishing,,Printing and Publishing,USD,Ontario; Canada,c49b09a9b2a9786deab761f1445cb174
WLY,JOHN WILEY & SONS INC,107140,968223206,NYSE,False,Domestic Common Stock Primary Class,Consumer Cyclical,Publishing,2731,Manufacturing,Books: Publishing Or Publishing & Printing,,Printing and Publishing,USD,New Jersey; U.S.A,a2a7f9324b86afa76c86cf254ec8282f
WLYB,JOHN WILEY & SONS INC,107140,968223305,NYSE,False,Domestic Common Stock Secondary Class,Consumer Cyclical,Publishing,2731,Manufacturing,Books: Publishing Or Publishing & Printing,,Printing and Publishing,USD,New Jersey; U.S.A,6e8f8bd2a0b5f7afe29f5f5ea1b08cb2
