ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AMBP,ARDAGH METAL PACKAGING SA,1845097,L02235106 382864106,NYSE,False,ADR Common Stock Primary Class,Consumer Cyclical,Packaging & Containers,3411,Manufacturing,Metal Cans,,Shipping Containers,USD,Luxembourg,3dc4c317ee7e8e96f6934195c79d68c0
BALL,BALL CORP,9389,058498106,NYSE,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,3411,Manufacturing,Metal Cans,,Shipping Containers,USD,Colorado; U.S.A,f7942684980040a7e2511c07670f573f
CCK,CROWN HOLDINGS INC,1219601,228368106 228255105,NYSE,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,3411,Manufacturing,Metal Cans,,Shipping Containers,USD,Pennsylvania; U.S.A,6fca1b271165fa2e41f2cb53037c994a
DSS,DSS INC,771999,25614T101 25614T309 26253C102 25614T200 26253C201,NYSEMKT,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,2650,Manufacturing,Paperboard Containers & Boxes,,Shipping Containers,USD,New York; U.S.A,65648dcf963e21c59fb4ad2bc7fcfba9
GEF,GREIF INC,43920,397624107,NYSE,False,Domestic Common Stock Primary Class,Consumer Cyclical,Packaging & Containers,3412,Manufacturing,Metal Shipping Barrels Drums Kegs & Pails,,Shipping Containers,USD,Ohio; U.S.A,6364d4d680240c55d9711a92a20080ba
GPK,GRAPHIC PACKAGING HOLDING CO,1408075,388689101 388688103 388690109 005123104 769507104,NYSE,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,2650,Manufacturing,Paperboard Containers & Boxes,,Shipping Containers,USD,Georgia; U.S.A,960f5be9947d6549036e99e3a1c48fc9
OI,O-I GLASS INC,812074,690768403 67098H104 690768106,NYSE,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,3221,Manufacturing,Glass Containers,,Shipping Containers,USD,Ohio; U.S.A,0ca7ee22507405d101c8f6285f19ce0e
PKG,PACKAGING CORP OF AMERICA,75677,695156109,NYSE,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,2650,Manufacturing,Paperboard Containers & Boxes,,Shipping Containers,USD,Illinois; U.S.A,eec372c16ab766a5b1fa5127acbdb3ef
SLGN,SILGAN HOLDINGS INC,849869,827048109,NYSE,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,3411,Manufacturing,Metal Cans,,Shipping Containers,USD,Connecticut; U.S.A,f1c54a62a91c1d2b64ad3e6d078e75f1
SON,SONOCO PRODUCTS CO,91767,835495102,NYSE,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,2650,Manufacturing,Paperboard Containers & Boxes,,Shipping Containers,USD,South Carolina; U.S.A,0f07f62de8d52b54b806ec1c91cfffbd
STVN,STEVANATO GROUP SPA,1849853,T9224W109,NYSE,False,ADR Common Stock,Healthcare,Medical Instruments & Supplies,3221,Manufacturing,Glass Containers,,Shipping Containers,USD,Italy,3f96dc263eb609d9699ebd3ebaa196ba
WRK,WESTROCK CO,1732845,96145D105,NYSE,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,2650,Manufacturing,Paperboard Containers & Boxes,,Shipping Containers,USD,Georgia; U.S.A,c8e13743381fffd9d9fb25b386264948
AMBP.WS,ARDAGH METAL PACKAGING SA,1845097,382864114 L02235114,NYSE,False,ADR Common Stock Warrant,Consumer Cyclical,Packaging & Containers,3411,Manufacturing,Metal Cans,,Shipping Containers,USD,Luxembourg,d5b6245a4afedf6d6c4b7aaa1b7985f5
GEF.B,GREIF INC,43920,397624206,NYSE,False,Domestic Common Stock Secondary Class,Consumer Cyclical,Packaging & Containers,3412,Manufacturing,Metal Shipping Barrels Drums Kegs & Pails,,Shipping Containers,USD,Ohio; U.S.A,b18bf23397b7aa4285d8414d8ae20fd1
