ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ABNB,AIRBNB INC,1559720,009066101,NASDAQ,False,Domestic Common Stock,Industrials,Travel Services,7340,Services,Services-To Dwellings & Other Buildings,,Business Services,USD,California; U.S.A,92cfc4993216812eff1a855a585e1092
ABSI,ABSCI CORP,1672688,00091E109,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,8731,Services,Services-Commercial Physical & Biological Research,,Business Services,USD,Washington; U.S.A,3dcb85852073ffef7e4a82734ab539f2
ACCD,ACCOLADE INC,1481646,00437E102,NASDAQ,False,Domestic Common Stock,Healthcare,Health Information Services,7389,Services,Services-Business Services Nec,,Business Services,USD,Pennsylvania; U.S.A,9ee797e21a8f72870e7242c01adb46c3
ACVA,ACV AUCTIONS INC,1637873,00091G104,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Auto & Truck Dealerships,7389,Services,Services-Business Services Nec,,Business Services,USD,New York; U.S.A,50142390be85bb2267bd86bcef942329
ADP,AUTOMATIC DATA PROCESSING INC,8670,053015103,NASDAQ,False,Domestic Common Stock,Industrials,Staffing & Employment Services,7374,Services,Services-Computer Processing & Data Preparation,,Business Services,USD,New Jersey; U.S.A,72d26107d94093bc0e9b1b203f66bfd9
ADV,ADVANTAGE SOLUTIONS INC,1776661,00791N102 212896104,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Advertising Agencies,7389,Services,Services-Business Services Nec,,Business Services,USD,California; U.S.A,962cd835e81cdd5f97cb5977258471c0
AERT,AERIES TECHNOLOGY INC,1853044,G97775103 G0136H102,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Consulting Services,8742,Services,Services-Management Consulting Services,,Business Services,USD,Utah; U.S.A,79cd666cd525242f290944182e052eb2
AFRM,AFFIRM HOLDINGS INC,1820953,00827B106,NASDAQ,False,Domestic Common Stock,Technology,Software - Infrastructure,7389,Services,Services-Business Services Nec,,Business Services,USD,California; U.S.A,e743bd6c5c6bc483f0bb23c4eebeeb2d
AKAM,AKAMAI TECHNOLOGIES INC,1086222,00971T101,NASDAQ,False,Domestic Common Stock,Technology,Software - Infrastructure,7389,Services,Services-Business Services Nec,,Business Services,USD,Massachusetts; U.S.A,3ef511b42c2a70448292416a26fcea38
ALBT,AVALON GLOBOCARE CORP,1630212,05344R104 05344R203,NASDAQ,False,Domestic Common Stock,Real Estate,Real Estate Services,8742,Services,Services-Management Consulting Services,,Business Services,USD,New Jersey; U.S.A,df0554e14269a5277fabe24512099be4
ANGI,ANGI INC,1705110,00183L102 034754101,NASDAQ,False,Domestic Common Stock,Communication Services,Internet Content & Information,7310,Services,Services-Advertising,,Business Services,USD,New York; U.S.A,7db1e22d99dde413349545b5cafdedbb
ANTE,AIRNET TECHNOLOGY INC,1413745,009411109 00941Q104 00941Q203 009411208,NASDAQ,False,ADR Common Stock,Communication Services,Advertising Agencies,7311,Services,Services-Advertising Agencies,,Business Services,USD,China,74c140334333ef9fa26043f3fde1dab6
ANY,SPHERE 3D CORP,1591956,84841L308 84841L100 84841L407 84841L209 84841Q109,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7374,Services,Services-Computer Processing & Data Preparation,,Business Services,USD,Ontario; Canada,1fbc54dfee844b09306d1fb2cb243544
APDN,APPLIED DNA SCIENCES INC,744452,03815U201 03815U300 03815U102 03815U409,NASDAQ,False,Domestic Common Stock Primary Class,Healthcare,Diagnostics & Research,7380,Services,Services-Miscellaneous Business Services,,Business Services,USD,New York; U.S.A,36306597b034631645fec1a232197726
APLD,APPLIED DIGITAL CORP,1144879,038169207 33942T207 03824D109 038169108,NASDAQ,False,Domestic Common Stock,Financial Services,Capital Markets,7374,Services,Services-Computer Processing & Data Preparation,,Business Services,USD,Texas; U.S.A,22a32730cd831aa110ac871d5c5b804b
ARBK,ARGO BLOCKCHAIN PLC,1841675,040126104,NASDAQ,False,ADR Common Stock Primary Class,Financial Services,Capital Markets,7374,Services,Services-Computer Processing & Data Preparation,,Business Services,USD,United Kingdom,0bf1c9caddfccdf458100f3509375c44
ARTL,ARTELO BIOSCIENCES INC,1621221,04301G201 04301G508 04301G102,NASDAQ,False,Domestic Common Stock Primary Class,Healthcare,Biotechnology,7389,Services,Services-Business Services Nec,,Business Services,USD,California; U.S.A,69cf5dbb8154872e70654dc989be3a7c
ASPS,ALTISOURCE PORTFOLIO SOLUTIONS SA,1462418,L0175J104,NASDAQ,False,Domestic Common Stock,Real Estate,Real Estate Services,7380,Services,Services-Miscellaneous Business Services,,Business Services,USD,Luxembourg,f32ed3ba228ea58412671736266c115d
ASTH,ASTRANA HEALTH INC,1083446,03763A207 03763A108,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Care Facilities,8742,Services,Services-Management Consulting Services,,Business Services,USD,California; U.S.A,74f19704c343f7271af61e46e34f3488
ATIF,ATIF HOLDINGS LTD,1755058,G0602B100 G0602B209,NASDAQ,False,Domestic Common Stock,Financial Services,Capital Markets,8742,Services,Services-Management Consulting Services,,Business Services,USD,China,771aafb1239d4fc46bdaa4367cc807a1
ATXG,ADDENTAX GROUP CORP,1650101,00653L202 00653L301 00653L103,NASDAQ,False,Domestic Common Stock,Industrials,Integrated Freight & Logistics,7330,Services,Services-Mailing Reproduction Commercial Art & Photography,,Business Services,USD,China,0bbfbae05c6038292eefca6450fee63b
AUGX,AUGMEDIX INC,1769804,05105P107,NASDAQ,False,Domestic Common Stock,Healthcare,Health Information Services,7389,Services,Services-Business Services Nec,,Business Services,USD,California; U.S.A,d8341dff23e8cc7709643611c0d46974
AUUD,AUDDIA INC,1554818,05072K107 05072K206,NASDAQ,False,Domestic Common Stock Primary Class,Technology,Software - Application,7374,Services,Services-Computer Processing & Data Preparation,,Business Services,USD,Colorado; U.S.A,8a2d4dffab9f0218d6dfb9dd4a9582f3
AVXL,ANAVEX LIFE SCIENCES CORP,1314052,032797300 032797102,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,8731,Services,Services-Commercial Physical & Biological Research,,Business Services,USD,New York; U.S.A,0237b117819828a5695e90b79b0eb2d2
BAER,BRIDGER AEROSPACE GROUP HOLDINGS INC,1941536,G4989X115 96812F102,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Security & Protection Services,7389,Services,Services-Business Services Nec,,Business Services,USD,Montana; U.S.A,e33006c6273de8840e9114a22d473d1a
BAOS,BAOSHENG MEDIA GROUP HOLDINGS LTD,1811216,G08908108 G08908116 G08908124,NASDAQ,False,ADR Common Stock,Communication Services,Advertising Agencies,7389,Services,Services-Business Services Nec,,Business Services,USD,China,12fe7df272fec756c722cbd8368e30a4
BBSI,BARRETT BUSINESS SERVICES INC,902791,068463108,NASDAQ,False,Domestic Common Stock,Industrials,Staffing & Employment Services,7363,Services,Services-Help Supply Services,,Business Services,USD,Washington; U.S.A,4c1cb69b43497ad9a96334c56df14d66
BCOV,BRIGHTCOVE INC,1313275,10921T101,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7374,Services,Services-Computer Processing & Data Preparation,,Business Services,USD,Massachusetts; U.S.A,0d49e341c2a9713ce54cff288caf33e4
BIAF,BIOAFFINITY TECHNOLOGIES INC,1712762,09076W109,NASDAQ,False,Domestic Common Stock Primary Class,Healthcare,Diagnostics & Research,8731,Services,Services-Commercial Physical & Biological Research,,Business Services,USD,Texas; U.S.A,61e862229606f61dd083fd538f47751c
BILI,BILIBILI INC,1723690,090040106,NASDAQ,False,ADR Common Stock,Communication Services,Electronic Gaming & Multimedia,7374,Services,Services-Computer Processing & Data Preparation,,Business Services,USD,China,317cea664d1c5ca9953afe2d89cc8c8f
BLDE,BLADE AIR MOBILITY INC,1779128,092667104 30217C109,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Airports & Air Services,7389,Services,Services-Business Services Nec,,Business Services,USD,New York; U.S.A,5c7f8fbe0e918c7535316b6f24b16d02
