ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ALTO,ALTO INGREDIENTS INC,778164,69423U305 021513106 69423U206 69423U107 335914206 262094105 00433F202 00433F103,NASDAQ,False,Domestic Common Stock,Basic Materials,Specialty Chemicals,2860,Manufacturing,Industrial Organic Chemicals,,Chemicals,USD,California; U.S.A,90b7be370a3de84f0f980aca6663a7b4
AMTX,AEMETIS INC,738214,00770K202 00770K103 00101P102 573861101,NASDAQ,False,Domestic Common Stock,Energy,Oil & Gas Refining & Marketing,2860,Manufacturing,Industrial Organic Chemicals,,Chemicals,USD,California; U.S.A,a583a9c71ae42b89754ce70ac294e568
ARQ,ARQ INC,1515156,00770C101 005208103,NASDAQ,False,Domestic Common Stock,Industrials,Pollution & Treatment Controls,2890,Manufacturing,Miscellaneous Chemical Products,,Chemicals,USD,Colorado; U.S.A,2e1a00238fbe3bbed039b5683bed7bd3
ASPI,ASP ISOTOPES INC,1921865,00218A105,NASDAQ,False,Domestic Common Stock,Basic Materials,Chemicals,2890,Manufacturing,Miscellaneous Chemical Products,,Chemicals,USD,Florida; U.S.A,5a58ec9fd53cfaf6eb2f04d674a2e9db
BCPC,BALCHEM CORP,9326,057665200,NASDAQ,False,Domestic Common Stock,Basic Materials,Specialty Chemicals,2800,Manufacturing,Chemicals & Allied Products,,Chemicals,USD,New York; U.S.A,a8cec0267ad8955a33d16d984b0fc236
BIOX,BIOCERES CROP SOLUTIONS CORP,1769484,G1117K114 G9366W101 G9366W119,NASDAQ,False,ADR Common Stock Primary Class,Basic Materials,Agricultural Inputs,2870,Manufacturing,Agricultural Chemicals,,Chemicals,USD,Cayman Islands,4d08fe9d21277de57ca23f405a784c24
CBUS,CIBUS INC,1705843,13173L107 17166A101 13173L206,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2870,Manufacturing,Agricultural Chemicals,,Chemicals,USD,Minnesota; U.S.A,3abbc337b9ae6caf5fdb84814c68f2a8
CDXS,CODEXIS INC,1200375,192005106,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2860,Manufacturing,Industrial Organic Chemicals,,Chemicals,USD,California; U.S.A,efa6b0746f7ce82bc5b082e7cf7d734f
CNEY,CN ENERGY GROUP INC,1780785,G2181K105 G2181K113,NASDAQ,False,ADR Common Stock,Basic Materials,Specialty Chemicals,2860,Manufacturing,Industrial Organic Chemicals,,Chemicals,USD,China,34375c11f8dbeb08c01f6f3e30e71e1d
CSWI,CSW INDUSTRIALS INC,1624794,126402106,NASDAQ,False,Domestic Common Stock,Industrials,Specialty Industrial Machinery,2891,Manufacturing,Adhesives & Sealants,,Chemicals,USD,Texas; U.S.A,a28951c22e2608cf3d6258e56aa6d612
CYTH,CYCLO THERAPEUTICS INC,922247,23254X201 23254X102 12642Q101,NASDAQ,False,Domestic Common Stock Primary Class,Healthcare,Drug Manufacturers - Specialty & Generic,2860,Manufacturing,Industrial Organic Chemicals,,Chemicals,USD,Florida; U.S.A,49d1a581fdaf42434c50269e2cea0210
EVGN,EVOGENE LTD,1574565,M4119S104,NASDAQ,False,ADR Common Stock,Healthcare,Biotechnology,2870,Manufacturing,Agricultural Chemicals,,Chemicals,USD,Israel,466c6b677d9a910964afff0fa0d8cca9
GEVO,GEVO INC,1392380,374396406 374396109 374396208 374396307,NASDAQ,False,Domestic Common Stock,Basic Materials,Specialty Chemicals,2860,Manufacturing,Industrial Organic Chemicals,,Chemicals,USD,Colorado; U.S.A,697bcc61e4511f7cfb4a53594bc53f18
GPRE,GREEN PLAINS INC,1309402,393222104,NASDAQ,False,Domestic Common Stock,Basic Materials,Chemicals,2860,Manufacturing,Industrial Organic Chemicals,,Chemicals,USD,Nebraska; U.S.A,93368a48e27a848a129b21f30c4ff553
