ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AAOI,APPLIED OPTOELECTRONICS INC,1158114,03823U102,NASDAQ,False,Domestic Common Stock,Technology,Communication Equipment,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,Texas; U.S.A,df10006b0d3c55cef60a9a6fc26769e2
ADI,ANALOG DEVICES INC,6281,032654105,NASDAQ,False,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,Massachusetts; U.S.A,884947bdf8268194ba1b7e20c76eac70
ADTN,ADTRAN HOLDINGS INC,926282,00738A106 00486H105,NASDAQ,False,Domestic Common Stock,Technology,Communication Equipment,3661,Manufacturing,Telephone & Telegraph Apparatus,,Electronic Equipment,USD,Alabama; U.S.A,adc1bb95e1f9b5ee945c191147f69924
AEIS,ADVANCED ENERGY INDUSTRIES INC,927003,007973100,NASDAQ,False,Domestic Common Stock,Industrials,Electrical Equipment & Parts,3679,Manufacturing,Electronic Components Nec,,Electronic Equipment,USD,Colorado; U.S.A,7e5205c730d2f354e7c155768edcb5a0
AIP,ARTERIS INC,1667011,04302A104,NASDAQ,False,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,6c8f71909637e751b8508fd9432bbfe6
AIRG,AIRGAIN INC,1272842,00938A104,NASDAQ,False,Domestic Common Stock,Technology,Communication Equipment,3663,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,,Electronic Equipment,USD,California; U.S.A,ca828859911f03939c1a389d5335cc0d
AKTS,AKOUSTIS TECHNOLOGIES INC,1584754,00973N102,NASDAQ,False,Domestic Common Stock,Technology,Communication Equipment,3661,Manufacturing,Telephone & Telegraph Apparatus,,Electronic Equipment,USD,North Carolina; U.S.A,820fe01e742ca99fcf4d97040256eb85
ALAB,ASTERA LABS INC,1736297,04626A103,NASDAQ,False,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,fd2aa47d9db3d0c29e761beb9e74e2f3
ALGM,ALLEGRO MICROSYSTEMS INC,866291,01749D105,NASDAQ,False,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,New Hampshire; U.S.A,cb40acf5a035ce3664bcbefe9dcbc8e0
ALPP,ALPINE 4 HOLDINGS INC,1606698,02083E105 02083E204,NASDAQ,False,Domestic Common Stock,Industrials,Conglomerates,3669,Manufacturing,Communications Equipment Nec,,Electronic Equipment,USD,Arizona; U.S.A,f5f90db9fca3d881d2fc116950876085
AMAT,APPLIED MATERIALS INC,6951,038222105,NASDAQ,False,Domestic Common Stock,Technology,Semiconductor Equipment & Materials,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,e73c483755c5c704ddcd346e3e1c0a06
AMBA,AMBARELLA INC,1280263,G037AX101,NASDAQ,False,Domestic Common Stock,Technology,Semiconductor Equipment & Materials,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,15491407561729dd5dcfc76d90d486c4
AMD,ADVANCED MICRO DEVICES INC,2488,007903107,NASDAQ,False,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,23028b66769a0417ed09589d6be2666c
AMKR,AMKOR TECHNOLOGY INC,1047127,031652100,NASDAQ,False,Domestic Common Stock,Technology,Semiconductor Equipment & Materials,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,Arizona; U.S.A,2def836a1f0f4215ef6910df7ea6042b
AMPG,AMPLITECH GROUP INC,1518461,03211Q200 03211Q101,NASDAQ,False,Domestic Common Stock Primary Class,Technology,Communication Equipment,3669,Manufacturing,Communications Equipment Nec,,Electronic Equipment,USD,New York; U.S.A,dba7559743332339a03227b4e6934b83
AOSL,ALPHA & OMEGA SEMICONDUCTOR LTD,1387467,G6331P104,NASDAQ,False,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,ae47d590c160199ecce930e1f2fab425
ARM,ARM HOLDINGS PLC,1973239,042068205,NASDAQ,False,ADR Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,United Kingdom,74e05ebadd35746089a3c91bdfcea23a
ASNS,ACTELIS NETWORKS INC,1141284,00503R102 00503R409,NASDAQ,False,Domestic Common Stock,Technology,Communication Equipment,3669,Manufacturing,Communications Equipment Nec,,Electronic Equipment,USD,California; U.S.A,48112d91c60110994333aa9c3dbf9244
ASTI,ASCENT SOLAR TECHNOLOGIES INC,1350102,043635606 043635101 043635309 043635705 043635408,NASDAQ,False,Domestic Common Stock,Technology,Solar,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,Colorado; U.S.A,95c40de507b7cf4528f96c90e0b260cd
ATOM,ATOMERA INC,1420520,04965B100,NASDAQ,False,Domestic Common Stock,Technology,Semiconductor Equipment & Materials,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,4dca75d1d5d066f4109f898f5646273a
AUDC,AUDIOCODES LTD,1086434,M15342104,NASDAQ,False,ADR Common Stock,Technology,Communication Equipment,3661,Manufacturing,Telephone & Telegraph Apparatus,,Electronic Equipment,USD,Israel,f03573ae22d3aba615e77d4569b7491b
AVGO,BROADCOM INC,1730168,11135F101 Y09827109 Y0486S104,NASDAQ,False,Domestic Common Stock Primary Class,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,4e7a386c304e58a18f4d769aec92a526
AVNW,AVIAT NETWORKS INC,1377789,05366Y201 05366Y102 41457P106,NASDAQ,False,Domestic Common Stock,Technology,Communication Equipment,3663,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,,Electronic Equipment,USD,California; U.S.A,f47279d5cfa5538b8ff6e44895b494c2
AXTI,AXT INC,1051627,00246W103 030514103,NASDAQ,False,Domestic Common Stock,Technology,Semiconductor Equipment & Materials,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,3cb15ea2f096ff2a80877c3975f126d6
BEEM,BEAM GLOBAL,1398805,07373B109 29413Q201 29413Q102,NASDAQ,False,Domestic Common Stock Primary Class,Technology,Solar,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,c0d8392f4e3dbc22479ec75319755fdd
BELFA,BEL FUSE INC,729580,077347201 077347102,NASDAQ,False,Domestic Common Stock Primary Class,Technology,Electronic Components,3677,Manufacturing,Electronic Coils Transformers & Other Inductors,,Electronic Equipment,USD,New Jersey; U.S.A,ebcceab372e8996f2cba4aececc9e9cb
CAN,CANAAN INC,1780652,134748102,NASDAQ,False,ADR Common Stock,Technology,Computer Hardware,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,China,e41d9948fc4f0bf7b3092df31a566007
