ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
BIRD,ALLBIRDS INC,1653909,01675A109,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Apparel Retail,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,California; U.S.A,864a284f4be9ac9f92be4125054298af
COLM,COLUMBIA SPORTSWEAR CO,1050797,198516106,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Apparel Manufacturing,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,Oregon; U.S.A,8666a055b3f9bb25bd71bbadd3bc70e0
CROX,CROCS INC,1334036,227046109,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Footwear & Accessories,3021,Manufacturing,Rubber & Plastics Footwear,,Apparel,USD,Colorado; U.S.A,e70f90967f8b859541c9399cd70c3a53
CTAS,CINTAS CORP,723254,172908105,NASDAQ,False,Domestic Common Stock,Industrials,Specialty Business Services,2320,Manufacturing,Men'S & Boys' Furnishgs Work Clothg & Allied Garments,,Apparel,USD,Ohio; U.S.A,d10fd3526850825caa070e1e4db030f9
GIII,G III APPAREL GROUP LTD,821002,36237H101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Apparel Manufacturing,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,New York; U.S.A,ec8161796c5fd1f0c27b30d84c44440a
JRSH,JERASH HOLDINGS (US) INC,1696558,47632P101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Apparel Manufacturing,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,New York; U.S.A,d43d9409a568e1f305d9c968d4e8c3c9
LULU,LULULEMON ATHLETICA INC,1397187,550021109,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Apparel Retail,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,British Columbia; Canada,6cc7110e6b99ce509760aaa3ad25de0e
MGOL,MGO GLOBAL INC,1902794,55317F108,NASDAQ,False,Domestic Common Stock,Communication Services,Advertising Agencies,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,Florida; U.S.A,63871fe37bf389f41d1afbdc5ce78358
NCI,NEO-CONCEPT INTERNATIONAL GROUP HOLDINGS LTD,1916331,G6421C104,NASDAQ,False,ADR Common Stock,Consumer Cyclical,Apparel Manufacturing,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,Hong Kong,21e60b8f68cd5edc2d02cca921805fc1
RCKY,ROCKY BRANDS INC,895456,774515100 774830103,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Footwear & Accessories,3140,Manufacturing,Footwear (No Rubber),,Apparel,USD,Ohio; U.S.A,aaf7e224831503080cdf62880994216c
SGC,SUPERIOR GROUP OF COMPANIES INC,95574,868358102,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Apparel Manufacturing,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,Florida; U.S.A,53e13d753e3ad6fe09be0ee61f8245bf
SHOO,STEVEN MADDEN LTD,913241,556269108,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Footwear & Accessories,3140,Manufacturing,Footwear (No Rubber),,Apparel,USD,New York; U.S.A,6e0be2883cda86a9bb200dd80307cb69
SILO,SILO PHARMA INC,1514183,82711P201 91670U101 82711P102,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,New Jersey; U.S.A,f3ec7fb4a69fd4864109a2ccbda47fdb
TLF,TANDY LEATHER FACTORY INC,909724,87538X105 522126101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Specialty Retail,3100,Manufacturing,Leather & Leather Products,,Apparel,USD,Texas; U.S.A,17975863810781b84ae3c5298092dbbd
VRA,VERA BRADLEY INC,1495320,92335C106,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Footwear & Accessories,3100,Manufacturing,Leather & Leather Products,,Apparel,USD,Indiana; U.S.A,aa790efddb88b10117c229e275553c6a
AS,AMER SPORTS INC,1988894,G0260P102,NYSE,False,ADR Common Stock,Consumer Cyclical,Leisure,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,Finland,761f5367df3f8b8040b2dface6675d20
BIRK,BIRKENSTOCK HOLDING PLC,1977102,M2029K104,NYSE,False,ADR Common Stock,Consumer Cyclical,Footwear & Accessories,3140,Manufacturing,Footwear (No Rubber),,Apparel,USD,United Kingdom,1f35f9f57e5ca6ee154913f7fe2e6020
CAL,CALERES INC,14707,129500104 115736100 115657108,NYSE,False,Domestic Common Stock,Consumer Cyclical,Apparel Retail,3140,Manufacturing,Footwear (No Rubber),,Apparel,USD,Missouri; U.S.A,5710ef6c460b54cf2d83b225258e5318
CPRI,CAPRI HOLDINGS LTD,1530721,G60754101 G1890L107,NYSE,False,Domestic Common Stock,Consumer Cyclical,Luxury Goods,3100,Manufacturing,Leather & Leather Products,,Apparel,USD,United Kingdom,84ee326d3520382f0a23537ddb3a0d5b
CRI,CARTERS INC,1060822,146229109,NYSE,False,Domestic Common Stock,Consumer Cyclical,Apparel Retail,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,Georgia; U.S.A,1ccc2aee54e9541554bc82da10d90e76
DECK,DECKERS OUTDOOR CORP,910521,243537107,NYSE,False,Domestic Common Stock,Consumer Cyclical,Footwear & Accessories,3021,Manufacturing,Rubber & Plastics Footwear,,Apparel,USD,California; U.S.A,f19e7e9ca0b6b5e1fffc8563eeec3eba
FIGS,FIGS INC,1846576,30260D103,NYSE,False,Domestic Common Stock,Consumer Cyclical,Apparel Manufacturing,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,California; U.S.A,ef2b37c71e272fa7870a231321580830
GES,GUESS INC,912463,401617105,NYSE,False,Domestic Common Stock,Consumer Cyclical,Apparel Retail,2340,Manufacturing,Women'S Misses' Children'S & Infants' Undergarments,,Apparel,USD,California; U.S.A,d7d27c0fa726e6c8cd01d8d66034baa0
GIL,GILDAN ACTIVEWEAR INC,1061894,375916103,NYSE,False,Canadian Common Stock,Consumer Cyclical,Apparel Manufacturing,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,Quebec; Canada,3079d0ef1baf9a95a458f4f50b77989a
GOOS,CANADA GOOSE HOLDINGS INC,1690511,135086106,NYSE,False,ADR Common Stock,Consumer Cyclical,Apparel Manufacturing,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,Ontario; Canada,e1715de4dcdd0076548289495cfd183a
JILL,JJILL INC,1687932,46620W102 46620W201,NYSE,False,Domestic Common Stock,Consumer Cyclical,Apparel Retail,2330,Manufacturing,Women'S Misses' And Juniors Outerwear,,Apparel,USD,Massachusetts; U.S.A,1aac952a360fd456a5b858f8e5a40507
KTB,KONTOOR BRANDS INC,1760965,50050N103,NYSE,False,Domestic Common Stock,Consumer Cyclical,Apparel Manufacturing,2320,Manufacturing,Men'S & Boys' Furnishgs Work Clothg & Allied Garments,,Apparel,USD,North Carolina; U.S.A,40abb94733014fec5600173ec604c7cd
LANV,LANVIN GROUP HOLDINGS LTD,1922097,G7255E109 G5380J100,NYSE,False,ADR Common Stock Primary Class,Consumer Cyclical,Luxury Goods,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,China,16741c625d0280d9c6ac9959627d5118
LEVI,LEVI STRAUSS & CO,94845,52736R102,NYSE,False,Domestic Common Stock,Consumer Cyclical,Apparel Manufacturing,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,California; U.S.A,5f5cc1d7006987b250f1b5f75ecbbdf2
NKE,NIKE INC,320187,654106103,NYSE,False,Domestic Common Stock,Consumer Cyclical,Footwear & Accessories,3021,Manufacturing,Rubber & Plastics Footwear,,Apparel,USD,Oregon; U.S.A,5c52cf75163fd977b1374d7171534d90
ONON,ON HOLDING AG,1858985,H5919C104,NYSE,False,ADR Common Stock,Consumer Cyclical,Footwear & Accessories,3021,Manufacturing,Rubber & Plastics Footwear,,Apparel,USD,Switzerland,ea0b07380f5ec3680953a8f82466736a
OXM,OXFORD INDUSTRIES INC,75288,691497309,NYSE,False,Domestic Common Stock,Consumer Cyclical,Apparel Manufacturing,2320,Manufacturing,Men'S & Boys' Furnishgs Work Clothg & Allied Garments,,Apparel,USD,Georgia; U.S.A,1a5e99305e448b2c910d9c80f23afbff
PMNT,PERFECT MOMENT LTD,1849221,713715100,NYSEMKT,False,Domestic Common Stock,Consumer Cyclical,Apparel Manufacturing,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,Hong Kong,3190a2087b6e11b683bfba4e44604392
PVH,PVH CORP,78239,693656100 718592108,NYSE,False,Domestic Common Stock,Consumer Cyclical,Apparel Manufacturing,2320,Manufacturing,Men'S & Boys' Furnishgs Work Clothg & Allied Garments,,Apparel,USD,New York; U.S.A,89cf75eb1c69663085afa7e7d4611ae9
RL,RALPH LAUREN CORP,1037038,751212101 731572103,NYSE,False,Domestic Common Stock,Consumer Cyclical,Apparel Manufacturing,2320,Manufacturing,Men'S & Boys' Furnishgs Work Clothg & Allied Garments,,Apparel,USD,New York; U.S.A,cf6a59c9c08d57d9878b2f022d548f6a
SKX,SKECHERS USA INC,1065837,830566105,NYSE,False,Domestic Common Stock,Consumer Cyclical,Footwear & Accessories,3140,Manufacturing,Footwear (No Rubber),,Apparel,USD,California; U.S.A,b43a11a11487d7da3e5dc86fc7216c06
TPR,TAPESTRY INC,1116132,876030107 189754104,NYSE,False,Domestic Common Stock,Consumer Cyclical,Luxury Goods,3100,Manufacturing,Leather & Leather Products,,Apparel,USD,New York; U.S.A,abc3264efc613647a0f47b3d5fa31103
UAA,UNDER ARMOUR INC,1336917,904311107,NYSE,False,Domestic Common Stock Primary Class,Consumer Cyclical,Apparel Manufacturing,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,Maryland; U.S.A,8148ded5a7f0b4fefb0d867c03d47593
VFC,V F CORP,103379,918204108,NYSE,False,Domestic Common Stock,Consumer Cyclical,Apparel Manufacturing,2320,Manufacturing,Men'S & Boys' Furnishgs Work Clothg & Allied Garments,,Apparel,USD,Colorado; U.S.A,97c1b4e6acfaddf29f048e95cb0c16a1
WWW,WOLVERINE WORLD WIDE INC,110471,978097103,NYSE,False,Domestic Common Stock,Consumer Cyclical,Footwear & Accessories,3140,Manufacturing,Footwear (No Rubber),,Apparel,USD,Michigan; U.S.A,a588c0e6d1cdf4b162132e2f0341601b
ZGN,ERMENEGILDO ZEGNA NV,1877787,N30577105 G4771L105,NYSE,False,ADR Common Stock Primary Class,Consumer Cyclical,Apparel Manufacturing,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,Italy,aaca030352cb42b5d071e51678c88364
LANV.WS,LANVIN GROUP HOLDINGS LTD,1922097,G7255E117 G5380J118,NYSE,False,ADR Common Stock Warrant,Consumer Cyclical,Luxury Goods,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,China,a6970dd4ed47b1890e22dd9eef166753
