ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ADD,COLOR STAR TECHNOLOGY CO LTD,1747661,G2287A100 169365202 G2287A209 G21225100 169365103 G4645B101,NASDAQ,False,ADR Common Stock,Communication Services,Entertainment,1700,Construction,Construction - Special Trade Contractors,,Construction,USD,China,505d00aee76e469975e5d71b81a7a579
BBCP,CONCRETE PUMPING HOLDINGS INC,1703956,206704108 45579J104 45579J203,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Engineering & Construction,1700,Construction,Construction - Special Trade Contractors,,Construction,USD,Colorado; U.S.A,e0adc13352f8f891ae5fc4dd06880045
CHCI,COMSTOCK HOLDING COMPANIES INC,1299969,205684202 205684103,NASDAQ,False,Domestic Common Stock,Real Estate,Real Estate - Diversified,1531,Construction,Operative Builders,,Construction,USD,Virginia; U.S.A,34a4d4f3c8f787a8241792bfa5b5542c
ESOA,ENERGY SERVICES OF AMERICA CORP,1357971,29271Q103 29271Q202,NASDAQ,False,Domestic Common Stock,Industrials,Engineering & Construction,1623,Construction,Water Sewer Pipeline Comm & Power Line Construction,,Construction,USD,West Virginia; U.S.A,8be80b8826471df42931173898ebb02f
FER,FERROVIAL SE,1468522,315437103 N3168P101,NASDAQ,False,ADR Common Stock,Industrials,Infrastructure Operations,1600,Construction,Heavy Construction Other Than Bldg Const - Contractors,,Construction,USD,Netherlands,2f8936cc53b7a1afc77841e73a78dc46
GLDD,GREAT LAKES DREDGE & DOCK CORP,1372020,390607109,NASDAQ,False,Domestic Common Stock,Industrials,Engineering & Construction,1600,Construction,Heavy Construction Other Than Bldg Const - Contractors,,Construction,USD,Illinois; U.S.A,80858ae683a6d44a68ab5459e9ce2f30
IESC,IES HOLDINGS INC,1048268,44951W106 45811E301 45811E103,NASDAQ,False,Domestic Common Stock,Industrials,Engineering & Construction,1731,Construction,Electrical Work,,Construction,USD,Texas; U.S.A,fd580b96826257fa09f04c434b27319c
LGIH,LGI HOMES INC,1580670,50187T106,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Residential Construction,1531,Construction,Operative Builders,,Construction,USD,Texas; U.S.A,07138070699f05283f1700ee42e7dff0
LMB,LIMBACH HOLDINGS INC,1606163,53263P105 68245V103 68245V202,NASDAQ,False,Domestic Common Stock,Industrials,Engineering & Construction,1700,Construction,Construction - Special Trade Contractors,,Construction,USD,Pennsylvania; U.S.A,1b74030ee5087cb2b52a979c2e014ba0
LRE,LEAD REAL ESTATE CO LTD,1888980,52168R109,NASDAQ,False,ADR Common Stock,Real Estate,Real Estate - Development,1531,Construction,Operative Builders,,Construction,USD,Japan,436682ff8996f0368b060fd0a301d004
LSEA,LANDSEA HOMES CORP,1721386,51509P103 50200K108 50200K207,NASDAQ,False,Domestic Common Stock Primary Class,Real Estate,Real Estate - Development,1531,Construction,Operative Builders,,Construction,USD,New York; U.S.A,664f33345f24fa1d222780a7b655c000
MTRX,MATRIX SERVICE CO,866273,576853105,NASDAQ,False,Domestic Common Stock,Industrials,Engineering & Construction,1700,Construction,Construction - Special Trade Contractors,,Construction,USD,Oklahoma; U.S.A,5eee9fc8aaa2ed5d2e9606037479d15a
MYRG,MYR GROUP INC,700923,55405W104,NASDAQ,False,Domestic Common Stock,Industrials,Engineering & Construction,1623,Construction,Water Sewer Pipeline Comm & Power Line Construction,,Construction,USD,Illinois; U.S.A,74a149c5a2b6f564f35251314983ddde
PLPC,PREFORMED LINE PRODUCTS CO,80035,740444104,NASDAQ,False,Domestic Common Stock,Industrials,Electrical Equipment & Parts,1623,Construction,Water Sewer Pipeline Comm & Power Line Construction,,Construction,USD,Ohio; U.S.A,b2d4ba98e832357cf1e8dc8df60f3724
ROAD,CONSTRUCTION PARTNERS INC,1718227,21044C107,NASDAQ,False,Domestic Common Stock,Industrials,Engineering & Construction,1600,Construction,Heavy Construction Other Than Bldg Const - Contractors,,Construction,USD,Alabama; U.S.A,4c7096cdd46b7a3715e346ef9766bb5c
SHIM,SHIMMICK CORP,1887944,82455M109,NASDAQ,False,Domestic Common Stock,Industrials,Engineering & Construction,1600,Construction,Heavy Construction Other Than Bldg Const - Contractors,,Construction,USD,California; U.S.A,ddca981ab0deef3bce1fd223b86c7c23
SMXT,SOLARMAX TECHNOLOGY INC,1519472,83419H103,NASDAQ,False,Domestic Common Stock,Technology,Solar,1700,Construction,Construction - Special Trade Contractors,,Construction,USD,California; U.S.A,ed94b78853b4b0ba4fed9edcab9cbaeb
STRL,STERLING INFRASTRUCTURE INC,874238,859241101 672202108,NASDAQ,False,Domestic Common Stock,Industrials,Engineering & Construction,1600,Construction,Heavy Construction Other Than Bldg Const - Contractors,,Construction,USD,Texas; U.S.A,79dd8d9ae3371a30b0f727e19f26b89f
UHG,UNITED HOMES GROUP INC,1830188,25278L105 91060H108,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Residential Construction,1531,Construction,Operative Builders,,Construction,USD,New York; U.S.A,b1e6e6f087829d1fe403df20fa1d74cc
WLGS,WANG & LEE GROUP INC,1899658,G9T22C100,NASDAQ,False,ADR Common Stock,Industrials,Engineering & Construction,1700,Construction,Construction - Special Trade Contractors,,Construction,USD,Hong Kong,d24771be6cc0c750a59031af4c2a0994
HOVNP,HOVNANIAN ENTERPRISES INC,357294,442487112,NASDAQ,False,Domestic Preferred Stock,Consumer Cyclical,Residential Construction,1531,Construction,Operative Builders,,Construction,USD,New Jersey; U.S.A,0a08e4f5fa21ac54b9915ce5c25c59c4
LSEAW,LANDSEA HOMES CORP,1721386,50200K116 51509P111,NASDAQ,False,Domestic Common Stock Warrant,Real Estate,Real Estate - Development,1531,Construction,Operative Builders,,Construction,USD,New York; U.S.A,f233bb9e0d7e48dd9c26cd28f256e148
UHGWW,UNITED HOMES GROUP INC,1830188,25278L113 91060H116,NASDAQ,False,Domestic Common Stock Warrant,Consumer Cyclical,Residential Construction,1531,Construction,Operative Builders,,Construction,USD,New York; U.S.A,d493c9e71ef679f0d0b664d5d903d6d3
AGX,ARGAN INC,100591,04010E109,NYSE,False,Domestic Common Stock,Industrials,Engineering & Construction,1700,Construction,Construction - Special Trade Contractors,,Construction,USD,Maryland; U.S.A,f077c5341651d85aa9f77d5c23cd3ce4
AMRC,AMERESCO INC,1488139,02361E108,NYSE,False,Domestic Common Stock,Industrials,Engineering & Construction,1700,Construction,Construction - Special Trade Contractors,,Construction,USD,Massachusetts; U.S.A,b679b6120ed958a4a8b7f30b6ac38ee6
APG,API GROUP CORP,1796209,00187Y100,NYSE,False,Domestic Common Stock,Industrials,Engineering & Construction,1700,Construction,Construction - Special Trade Contractors,,Construction,USD,Minnesota; U.S.A,c98ea84b45c660238940e37430a06c0b
BBU,BROOKFIELD BUSINESS PARTNERS LP,1654795,G16234109,NYSE,False,ADR Common Stock,Industrials,Conglomerates,1700,Construction,Construction - Special Trade Contractors,,Construction,USD,Bermuda,34db94ee14b282371f6a36d9532efeec
BBUC,BROOKFIELD BUSINESS CORP,1871130,11259V106,NYSE,False,ADR Common Stock,Financial Services,Asset Management,1700,Construction,Construction - Special Trade Contractors,,Construction,USD,New York; U.S.A,ec2472af885302666acf795a6ad68768
