ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ARLP,ALLIANCE RESOURCE PARTNERS LP,1086600,01877R108,NASDAQ,False,Domestic Common Stock,Basic Materials,Thermal Coal,1221,Mining,Bituminous Coal & Lignite Surface Mining,,Coal,USD,Oklahoma; U.S.A,6c212f2f3c548059c8d6b668bd900265
HNRG,HALLADOR ENERGY CO,788965,40609P105 406092304,NASDAQ,False,Domestic Common Stock,Basic Materials,Thermal Coal,1220,Mining,Bituminous Coal & Lignite Mining,,Coal,USD,Indiana; U.S.A,3a7c249cdff8e2e965611177414e6363
METC,RAMACO RESOURCES INC,1687187,75134P303 75134P600,NASDAQ,False,Domestic Common Stock Primary Class,Basic Materials,Coking Coal,1220,Mining,Bituminous Coal & Lignite Mining,,Coal,USD,Kentucky; U.S.A,f03eb7d5159076008413fbca879ca25b
METCB,RAMACO RESOURCES INC,1687187,75134P501,NASDAQ,False,Domestic Common Stock Secondary Class,Basic Materials,Coking Coal,1220,Mining,Bituminous Coal & Lignite Mining,,Coal,USD,Kentucky; U.S.A,ca057c84f212245f815a979a2c0601cf
METCL,RAMACO RESOURCES INC,1687187,75134P402,NASDAQ,False,ETD,,,1220,Mining,Bituminous Coal & Lignite Mining,,Coal,USD,Kentucky; U.S.A,243aa2453b45ddc6c9b4096403e37ad8
AMR,ALPHA METALLURGICAL RESOURCES INC,1704715,020764106 21241B100,NYSE,False,Domestic Common Stock,Basic Materials,Coking Coal,1221,Mining,Bituminous Coal & Lignite Surface Mining,,Coal,USD,Tennessee; U.S.A,d34bfe8914ddaae9a556bdf012868192
ARCH,ARCH RESOURCES INC,1037676,03940R107 039380407,NYSE,False,Domestic Common Stock,Basic Materials,Coking Coal,1221,Mining,Bituminous Coal & Lignite Surface Mining,,Coal,USD,Missouri; U.S.A,87e1e5c682b8b3232d9bc96b70642331
BTU,PEABODY ENERGY CORP,1064728,704551100,NYSE,False,Domestic Common Stock Primary Class,Basic Materials,Thermal Coal,1221,Mining,Bituminous Coal & Lignite Surface Mining,,Coal,USD,Missouri; U.S.A,98c72c4700561cc3de4cd2849286660a
CEIX,CONSOL ENERGY INC,1710366,20854L108,NYSE,False,Domestic Common Stock,Basic Materials,Thermal Coal,1220,Mining,Bituminous Coal & Lignite Mining,,Coal,USD,Pennsylvania; U.S.A,07634b679a36f133fc4567a049c67970
HCC,WARRIOR MET COAL INC,1691303,93627C101,NYSE,False,Domestic Common Stock,Basic Materials,Coking Coal,1220,Mining,Bituminous Coal & Lignite Mining,,Coal,USD,Alabama; U.S.A,1529f9a554428770fa4839bd4fada696
NRP,NATURAL RESOURCE PARTNERS LP,1171486,63900P103 63900P608,NYSE,False,Domestic Common Stock Primary Class,Basic Materials,Thermal Coal,1221,Mining,Bituminous Coal & Lignite Surface Mining,,Coal,USD,Texas; U.S.A,0406ae33f625040e6ef145335e0a3bbd
