ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AADI,AADI BIOSCIENCE INC,1422142,00032Q104 00810B105,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,California; U.S.A,39c4a7eebae3aab928a65f0d898a8253
ABCL,ABCELLERA BIOLOGICS INC,1703057,00288U106,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,British Columbia; Canada,12704ca749aaafd8184abaf80f5dbe8d
ABEO,ABEONA THERAPEUTICS INC,318306,00289Y107 00289Y206 72754H109 00431M209 00431M308,NASDAQ,False,Domestic Common Stock Primary Class,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New York; U.S.A,2f858ca871b0f26c6a5f29412aa26ebf
ABIO,ARCA BIOPHARMA INC,907654,00211Y506 00211Y209 00211Y407 00211Y100 67072M301 449163302 67072M103,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2835,Manufacturing,In Vitro & In Vivo Diagnostic Substances,,Pharmaceutical Products,USD,Colorado; U.S.A,94310adffa16dc3c2f089fb140bc27d6
ABOS,ACUMEN PHARMACEUTICALS INC,1576885,00509G209,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,California; U.S.A,2362cd6b19a5a965d49519c9d620c3a2
ABUS,ARBUTUS BIOPHARMA CORP,1447028,03879J100 87911B209,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,British Columbia; Canada,6175c731c949cdda6e7b7e2989487a28
ABVC,ABVC BIOPHARMA INC,1173313,00091F106 00091F304 278880208 278880109 024733206,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,California; U.S.A,7e907b66c83d917bec19b01aff4684c6
ABVX,ABIVAX SA,1956827,00370M103,NASDAQ,False,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,France,a43d3aacefd30d1ea718a01a28fb3793
ACAD,ACADIA PHARMACEUTICALS INC,1070494,004225108,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,California; U.S.A,36cddd349cf39aeabc786c16715521e9
ACB,AURORA CANNABIS INC,1683541,05156X884 05156X108 05156X850,NASDAQ,False,Canadian Common Stock,Healthcare,Drug Manufacturers - Specialty & Generic,2833,Manufacturing,Medicinal Chemicals & Botanical Products,,Pharmaceutical Products,USD,Alberta; Canada,c19c53ed8a3f7428c4f4ca9f27dde4df
ACET,ADICET BIO INC,1720580,007002108 76133L103,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Massachusetts; U.S.A,9331f8783ed9c7509bb79b4acdef1180
ACHL,ACHILLES THERAPEUTICS PLC,1830749,00449L102,NASDAQ,False,ADR Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,United Kingdom,a05f380503f34d31ec6f989a3058dd6b
ACHV,ACHIEVE LIFE SCIENCES INC,949858,68230A106 004468500 004468203 004468104 835692104,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2835,Manufacturing,In Vitro & In Vivo Diagnostic Substances,,Pharmaceutical Products,USD,Washington; U.S.A,88442c042a82ef80067146ed49e3a1f3
ACIU,AC IMMUNE SA,1651625,H00263105,NASDAQ,False,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Switzerland,79f4b4e7a6eee3115a5c7c6fdf64a3c7
ACLX,ARCELLX INC,1786205,03940C100,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,Maryland; U.S.A,666d14db5b56db18cfe98a742faac38d
ACRS,ACLARIS THERAPEUTICS INC,1557746,00461U105,NASDAQ,False,Domestic Common Stock,Healthcare,Diagnostics & Research,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Pennsylvania; U.S.A,5ebe05729a80064d666b3bf5cbeaea22
ACRV,ACRIVON THERAPEUTICS INC,1781174,004890109,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Massachusetts; U.S.A,d80e0c2502c3511f65c0f65bc06fc12a
ACST,ACASTI PHARMA INC,1444192,00430K402 00430K105 00430K873 00430K865,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Quebec; Canada,6f746e272b85ed6e94b4f7225c60d1fe
ACXP,ACURX PHARMACEUTICALS INC,1736243,00510M104,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New York; U.S.A,1c9641403ccd31b3bd60fe8c4b87f2f1
ADAG,ADAGENE INC,1818838,005329107,NASDAQ,False,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,China,45b60952f1144dfc52f9dae9a6306202
ADAP,ADAPTIMMUNE THERAPEUTICS PLC,1621227,00653A107,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,United Kingdom,80271d7b072839d3cfbe51bc27d7a808
ADIL,ADIAL PHARMACEUTICALS INC,1513525,00688A106 00688A205,NASDAQ,False,Domestic Common Stock Primary Class,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Virginia; U.S.A,4ace8cfb6486cae9d87aff6014f80384
ADMA,ADMA BIOLOGICS INC,1368514,000899104,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,New Jersey; U.S.A,e340a07e76166244ba8dab68f12ae3c6
ADPT,ADAPTIVE BIOTECHNOLOGIES CORP,1478320,00650F109,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,Washington; U.S.A,959b319ad4e523cadab69ee63adb29a2
ADTX,ADITXT INC,1726711,007025109 007025505 007025604,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Virginia; U.S.A,5ad155f6df62d9eca44be9f2884dd0d9
ADVM,ADVERUM BIOTECHNOLOGIES INC,1501756,00773U108 05337G107 00773U207,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,California; U.S.A,6aa77dd15a517feeac994429993b9f49
ADXN,ADDEX THERAPEUTICS LTD,1574232,00654J107 00654J206,NASDAQ,False,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Switzerland,fd4750ac0a616065acd96dbfadcd3bb0
AEZS,AETERNA ZENTARIS INC,1113423,007975402 007975303 007975501 007975204 007975105 007975600,NASDAQ,False,Canadian Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Quebec; Canada,841949fdf9baf2f1c8b91b63448c229c
AFMD,AFFIMED NV,1608390,N01045108 N01045207,NASDAQ,False,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Germany,997058cadb0d8ffe37a04ae3ff06b1fd
AGEN,AGENUS INC,1098972,00847G705 00847G101 037032109 00847G804,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,Massachusetts; U.S.A,12686848216e616acd6010726e5923e2
AGIO,AGIOS PHARMACEUTICALS INC,1439222,00847X104,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Massachusetts; U.S.A,02702f755a41cff3cc057658ee9a47e5
AIMD,AINOS INC,1014763,00902F204 00902F303 02301P205 00902F105,NASDAQ,False,Domestic Common Stock Primary Class,Healthcare,Medical Devices,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,California; U.S.A,b9a34056ff921e8958a98712d7c9716b
AKAN,AKANDA CORP,1888014,00971M106 00971M205 00971M304,NASDAQ,False,ADR Common Stock,Healthcare,Drug Manufacturers - Specialty & Generic,2833,Manufacturing,Medicinal Chemicals & Botanical Products,,Pharmaceutical Products,USD,United Kingdom,a392e18897bbb240ae0e7ed27c806e00
AKBA,AKEBIA THERAPEUTICS INC,1517022,00972D105,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Massachusetts; U.S.A,0ce028a4ec284875b8d64c9e8b6896a4
AKRO,AKERO THERAPEUTICS INC,1744659,00973Y108,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,California; U.S.A,30410ac988347a880cf6e887bf670ffd
AKTX,AKARI THERAPEUTICS PLC,1541157,00972G108 15119A202 00972G207,NASDAQ,False,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New York; U.S.A,8a8e7c52a374b7340ff79eebe86982ac
ALDX,ALDEYRA THERAPEUTICS INC,1341235,01438T106,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Massachusetts; U.S.A,6cf0f0714862b15ebe56512ce2774044
ALEC,ALECTOR INC,1653087,014442107,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,California; U.S.A,a0854a1d63c1889ec0b9525fbb276925
ALGS,ALIGOS THERAPEUTICS INC,1799448,01626L105,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,California; U.S.A,c0a2b18d39ea2d55b6d28c9f3f4e4d6c
ALIM,ALIMERA SCIENCES INC,1267602,016259103 016259202,NASDAQ,False,Domestic Common Stock,Healthcare,Drug Manufacturers - Specialty & Generic,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Georgia; U.S.A,68841d2e258770e5db68f5950d6acb69
ALKS,ALKERMES PLC,1520262,G01767105 01642T108,NASDAQ,False,Domestic Common Stock,Healthcare,Drug Manufacturers - Specialty & Generic,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Ireland,953ca4d055f77b0db1211e50f5f91832
ALLK,ALLAKOS INC,1564824,01671P100,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,California; U.S.A,bc99538588767ccee2b7b10e7629785b
ALLO,ALLOGENE THERAPEUTICS INC,1737287,019770106,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,California; U.S.A,f8764e690a074c302d386097976d275e
ALLR,ALLARITY THERAPEUTICS INC,1860657,016744104 016744302 016744203 016744401,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Massachusetts; U.S.A,de8b1a2784a4030270526d368ef1b50e
ALNY,ALNYLAM PHARMACEUTICALS INC,1178670,02043Q107,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Massachusetts; U.S.A,af295cecfa788024258390511befc874
ALRN,AILERON THERAPEUTICS INC,1420565,00887A105 00887A204,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Massachusetts; U.S.A,341dccb2b5983416105f17c936f0c8d7
ALT,ALTIMMUNE INC,1326190,02155H200 71714G102 02155H101 42224H104 42224H203,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Maryland; U.S.A,f1d1d026825b5f84e87d48ef540d54b5
ALVO,ALVOTECH,1898416,G6715X103 L01800108,NASDAQ,False,Domestic Common Stock Primary Class,Healthcare,Drug Manufacturers - Specialty & Generic,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,Luxembourg,0de4496a2a73596620cf1da750891337
ALVR,ALLOVIR INC,1754068,019818103,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,Massachusetts; U.S.A,640de4980e4f3ebbfa61c17bb77d3e94
ALXO,ALX ONCOLOGY HOLDINGS INC,1810182,00166B105,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,California; U.S.A,bf8893148936b40e0996c184152c06af
ALZN,ALZAMEND NEURO INC,1677077,02262M308 02262M407,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Florida; U.S.A,9e4489b9de39b0bc16bf806176df594d
AMGN,AMGEN INC,318154,031162100,NASDAQ,False,Domestic Common Stock,Healthcare,Drug Manufacturers - General,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,California; U.S.A,4aa1d8c730cba5eadda210687e44b608
AMLX,AMYLYX PHARMACEUTICALS INC,1658551,03237H101,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Massachusetts; U.S.A,62d25d35076e72ca08c380955cadc542
