ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ADN,ADVENT TECHNOLOGIES HOLDINGS INC,1744494,00788A105 00165R101 00788A204,NASDAQ,False,Domestic Common Stock Primary Class,Utilities,Utilities - Renewable,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,,Electrical Equipment,USD,Massachusetts; U.S.A,fe2b6ad81efca683042621dafc946b44
AMSC,AMERICAN SUPERCONDUCTOR CORP,880807,030111207 030111108,NASDAQ,False,Domestic Common Stock,Industrials,Specialty Industrial Machinery,3621,Manufacturing,Motors & Generators,,Electrical Equipment,USD,Massachusetts; U.S.A,e8ae22151522e6f6367d0f6a5839fb2e
BLDP,BALLARD POWER SYSTEMS INC,1453015,058586108 05858H104,NASDAQ,False,Canadian Common Stock,Industrials,Specialty Industrial Machinery,3620,Manufacturing,Electrical Industrial Apparatus,,Electrical Equipment,USD,British Columbia; Canada,689b316d9e575ba5e595893dd711cad2
BYRN,BYRNA TECHNOLOGIES INC,1354866,12448X201 12448X102 814196101,NASDAQ,False,Domestic Common Stock,Industrials,Aerospace & Defense,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,,Electrical Equipment,USD,Massachusetts; U.S.A,a39e6ff50793dc39ae39accbe1b0f6da
CAPT,CAPTIVISION INC,1967478,G5S11A106 G18932106,NASDAQ,False,ADR Common Stock Primary Class,Industrials,Electrical Equipment & Parts,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,,Electrical Equipment,USD,United Kingdom,36c367cde48a032806d233cb2585bd0c
CBAT,CBAK ENERGY TECHNOLOGY INC,1117171,14986C102 16936Y209 16936Y100,NASDAQ,False,Domestic Common Stock,Industrials,Electrical Equipment & Parts,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,,Electrical Equipment,USD,China,127e981f4cd0cb62db88594fcf7e64e9
CCTG,CCSC TECHNOLOGY INTERNATIONAL HOLDINGS LTD,1931717,G1993R100,NASDAQ,False,ADR Common Stock,Industrials,Electrical Equipment & Parts,3640,Manufacturing,Electric Lighting & Wiring Equipment,,Electrical Equipment,USD,Hong Kong,f375c3e54140556eaa50c3f442eed0ad
CETY,CLEAN ENERGY TECHNOLOGIES INC,1329606,18452H206 74266S201 18452H107,NASDAQ,False,Domestic Common Stock,Industrials,Specialty Industrial Machinery,3621,Manufacturing,Motors & Generators,,Electrical Equipment,USD,California; U.S.A,fbc2d9514bf1a06a44d514dcca14a719
DFLI,DRAGONFLY ENERGY HOLDINGS CORP,1847986,26145B106 159561109,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Electrical Equipment & Parts,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,,Electrical Equipment,USD,Nevada; U.S.A,ab010c7f1308fb739ae9b57830b0fe23
EFOI,ENERGY FOCUS INC,924168,29268T300 29268T409 29268T508 29268T102 315662106,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,3640,Manufacturing,Electric Lighting & Wiring Equipment,,Electrical Equipment,USD,Ohio; U.S.A,55c3800e73cd0032762576e1eb0b371c
ELBM,ELECTRA BATTERY MATERIALS CORP,1907184,28474P201,NASDAQ,False,Canadian Common Stock,Basic Materials,Other Industrial Metals & Mining,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,,Electrical Equipment,USD,Ontario; Canada,87c03dff3d1ebd341544f673539bd745
ELVA,ELECTROVAYA INC,1844450,28617B606,NASDAQ,False,Canadian Common Stock,Industrials,Electrical Equipment & Parts,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,,Electrical Equipment,USD,Ontario; Canada,caddf67ab5b0911653879eda24384252
ENVX,ENOVIX CORP,1828318,293594107 774873103,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Electrical Equipment & Parts,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,,Electrical Equipment,USD,California; U.S.A,7766f697168f32e369d00623447e209c
EOSE,EOS ENERGY ENTERPRISES INC,1805077,29415C101 05600U106 05600U205,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Electrical Equipment & Parts,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,,Electrical Equipment,USD,New Jersey; U.S.A,2775134d14b45ced4ae05588f49bcdcd
FCEL,FUELCELL ENERGY INC,886128,35952H601 35952H106 35952H502 29271E100,NASDAQ,False,Domestic Common Stock,Industrials,Electrical Equipment & Parts,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,,Electrical Equipment,USD,Connecticut; U.S.A,50a868f8ac19d31a2a7c498270079d0c
FELE,FRANKLIN ELECTRIC CO INC,38725,353514102,NASDAQ,False,Domestic Common Stock,Industrials,Specialty Industrial Machinery,3621,Manufacturing,Motors & Generators,,Electrical Equipment,USD,Indiana; U.S.A,7a4fbcca0125334a4b8bedf8d22807ed
FLNC,FLUENCE ENERGY INC,1868941,34379V103,NASDAQ,False,Domestic Common Stock,Utilities,Utilities - Renewable,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,,Electrical Equipment,USD,Virginia; U.S.A,99f75ec1498e77210265ed28e7aeb078
FLUX,FLUX POWER HOLDINGS INC,1083743,344057302 344057104 344057203,NASDAQ,False,Domestic Common Stock,Industrials,Electrical Equipment & Parts,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,,Electrical Equipment,USD,California; U.S.A,bff3426ab3c3b8c736141eb67ff5541d
GAUZ,GAUZY LTD,1781446,,NASDAQ,False,ADR Common Stock,Industrials,Electrical Equipment & Parts,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,,Electrical Equipment,USD,Israel,a4337ba601d9dad1a72656f115d6a67f
GTI,GRAPHJET TECHNOLOGY,1879373,G30449105,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Electrical Equipment & Parts,3620,Manufacturing,Electrical Industrial Apparatus,,Electrical Equipment,USD,Malaysia,31899684dce6af22212df6aab51461cf
HOLI,HOLLYSYS AUTOMATION TECHNOLOGIES LTD,1357450,G45667105 G4604M106 15956A109 15956A208,NASDAQ,False,ADR Common Stock,Industrials,Electrical Equipment & Parts,3620,Manufacturing,Electrical Industrial Apparatus,,Electrical Equipment,USD,China,dd43210bacdf3e79b1886e55f4dce939
HTOO,FUSION FUEL GREEN PLC,1819794,G3R25D118,NASDAQ,False,ADR Common Stock Primary Class,Utilities,Utilities - Renewable,3620,Manufacturing,Electrical Industrial Apparatus,,Electrical Equipment,USD,Ireland,b61081b95fbbb2d1f38dc5f50974906c
HYZN,HYZON MOTORS INC,1716583,44951Y102 242797108,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Auto Parts,3620,Manufacturing,Electrical Industrial Apparatus,,Electrical Equipment,USD,California; U.S.A,b206d498b60cffb241dd2d41deb6c03f
