ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AACI,ARMADA ACQUISITION CORP I,1844817,04208V103,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,Pennsylvania; U.S.A,3d1333ecc8dca6d48193b96be62392f5
ABL,ABACUS LIFE INC,1814287,274681105 00258Y104,NASDAQ,False,Domestic Common Stock Primary Class,Financial Services,Insurance - Life,6282,Finance Insurance And Real Estate,Investment Advice,,Trading,USD,Florida; U.S.A,63d8de140de81fcf7c822c29614a1ed8
ACAB,ATLANTIC COASTAL ACQUISITION CORP II,1893219,04845A108,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New York; U.S.A,7bc900940dbe7fa2cba5174acc35045d
ACAC,ACRI CAPITAL ACQUISITION CORP,1914023,00501A101,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,Texas; U.S.A,356c930858b7660982d6e538542e4bfb
ACTG,ACACIA RESEARCH CORP,934549,003881307 003881109,NASDAQ,False,Domestic Common Stock,Industrials,Business Equipment & Supplies,6794,Finance Insurance And Real Estate,Patent Owners & Lessors,,Trading,USD,California; U.S.A,28f40e39215efd9a66d0f9b1ae97f397
AEAE,ALTENERGY ACQUISITION CORP,1852016,02157M108,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,Connecticut; U.S.A,be628fc35c6821096aa1a1f51e8a5184
AFAR,AURA FAT PROJECTS ACQUISITION CORP,1901886,G06362100,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,Singapore,5810c5070ec9f3e87d1835b38aeb4a64
AFJK,AIMEI HEALTH TECHNOLOGY CO LTD,1979005,G01341109,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New York; U.S.A,77da86d3dd7a07b85bec39c31a110953
AGBA,AGBA GROUP HOLDING LTD,1769624,G0120M109 G01212102,NASDAQ,False,Domestic Common Stock Primary Class,Financial Services,Capital Markets,6282,Finance Insurance And Real Estate,Investment Advice,,Trading,USD,Hong Kong,f02c39b3badc0514aff1ee4cdcf390bf
AGNC,AGNC INVESTMENT CORP,1423689,00123Q104 02503X105,NASDAQ,False,Domestic Common Stock Primary Class,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Maryland; U.S.A,45dc4af8150562f0a1a5bdc3099e6f7e
AIMAU,AIMFINITY INVESTMENT CORP I,1903464,G0135E100,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New York; U.S.A,a4b26a955b9712f3dd4a81af135dcdd8
AITR,AI TRANSPORTATION ACQUISITION CORP,1966734,G01490112,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,Cayman Islands,591c51776b8bbbf58d60cbb3c4f9883b
ALCY,ALCHEMY INVESTMENTS ACQUISITION CORP 1,1901336,G0232F109,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,Delaware; U.S.A,9540b252fbc54df4d8af88d1a976a301
ALFUU,CENTURION ACQUISITION CORP,2010930,,NASDAQ,False,Domestic Common Stock,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New York; U.S.A,d38f7a8c5d0ba5cd77687c8f5b4fb839
ALSA,ALPHA STAR ACQUISITION CORP,1865111,G0230C108,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New York; U.S.A,e0c87d505cd37e5dbccaedec8f1021ba
ALTI,ALTI GLOBAL INC,1838615,G19276107 02157E106 02237A108,NASDAQ,False,Domestic Common Stock Primary Class,Financial Services,Asset Management,6282,Finance Insurance And Real Estate,Investment Advice,,Trading,USD,New York; U.S.A,4608ad866ff41783d5a8a206de8a394d
ANSC,AGRICULTURE & NATURAL SOLUTIONS ACQUISITION CORP,1854149,G0131Y100,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New York; U.S.A,80ad8f3c235a1195a534c3b2d32f3107
AOGO,AROGO CAPITAL ACQUISITION CORP,1881741,042644104,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,Florida; U.S.A,1b550c7e501761991e0db89200b5f7bf
APPS,DIGITAL TURBINE INC,317788,25400W102 562562207 562565101 562562108 58448J106 64128P107,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,6794,Finance Insurance And Real Estate,Patent Owners & Lessors,,Trading,USD,Texas; U.S.A,cc078d76f9095c85bd7bda664c968415
