ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AFRI,FORAFRIC GLOBAL PLC,1903870,379582109 X3R81D102,NASDAQ,False,ADR Common Stock Primary Class,Consumer Defensive,Farm Products,2040,Manufacturing,Grain Mill Products,,Food Products,USD,Florida; U.S.A,1bfe4a24d33574d77079f9e83f300c73
BOF,BRANCHOUT FOOD INC,1962481,105230106,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2000,Manufacturing,Food And Kindred Products,,Food Products,USD,Oregon; U.S.A,7f9dc4d80d24ce4c676235e1072998c1
BRFH,BARFRESH FOOD GROUP INC,1487197,067532200 067532101,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2030,Manufacturing,Canned Frozen & Preservd Fruit Veg & Food Specialties,,Food Products,USD,California; U.S.A,e984ee531acf1b36f75eba5e4342773a
BRID,BRIDGFORD FOODS CORP,14177,108763103,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2013,Manufacturing,Sausages & Other Prepared Meat Products,,Food Products,USD,California; U.S.A,6968c455c3f83c047451e02f33c827a8
BRLS,BOREALIS FOODS INC,1852973,G6859L105 09973D105,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Defensive,Packaged Foods,2000,Manufacturing,Food And Kindred Products,,Food Products,USD,Ontario; Canada,41db63495d69bcadcc27755acf11a036
BSFC,BLUE STAR FOODS CORP,1730773,09606H101 09606H200 09606H309,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2092,Manufacturing,Prepared Fresh Or Frozen Fish & Seafoods,,Food Products,USD,Florida; U.S.A,2d9e85bf2a0087ff5dece146d50f275e
BYND,BEYOND MEAT INC,1655210,08862E109,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2000,Manufacturing,Food And Kindred Products,,Food Products,USD,California; U.S.A,f490ad2fae7f15d5963608dbfae6f53f
CHSN,CHANSON INTERNATIONAL HOLDING,1825349,G2104U107,NASDAQ,False,ADR Common Stock,Consumer Cyclical,Restaurants,2000,Manufacturing,Food And Kindred Products,,Food Products,USD,China,9736af66e620f3a41007249705546830
COOT,AUSTRALIAN OILSEEDS HOLDINGS LTD,1959994,G4000A102 G07041109 G4000A128,NASDAQ,False,ADR Common Stock Primary Class,Consumer Defensive,Farm Products,2070,Manufacturing,Fats & Oils,,Food Products,USD,Australia,3d88adc44924f7fd265e286f75d3262f
FAMI,FARMMI INC,1701261,G33277107 G33277123 G33277131,NASDAQ,False,ADR Common Stock,Consumer Defensive,Packaged Foods,2033,Manufacturing,Canned Fruits Veg Preserves Jams & Jellies,,Food Products,USD,China,aa16886b56423e91f6eed362577772a7
FARM,FARMER BROTHERS CO,34563,307675108,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2090,Manufacturing,Miscellaneous Food Preparations & Kindred Products,,Food Products,USD,Texas; U.S.A,15e0c300ce2b53f192719bf1b8e733e2
FREE,WHOLE EARTH BRANDS INC,1753706,96684W100 G0080J104 G0080J112,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Defensive,Packaged Foods,2060,Manufacturing,Sugar & Confectionery Products,,Food Products,USD,Illinois; U.S.A,cfc88f254b8df9f61f74fde00a6f06f6
FRPT,FRESHPET INC,1611647,358039105,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2040,Manufacturing,Grain Mill Products,,Food Products,USD,New Jersey; U.S.A,56f77eaabdf20974cc941a5d87ac119a
FTFT,FUTURE FINTECH GROUP INC,1066923,36117V105 83086T208 36117V204 83086T307,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,2030,Manufacturing,Canned Frozen & Preservd Fruit Veg & Food Specialties,,Food Products,USD,China,60fe1e4897c25382cd6e1d8eb104792e
HAIN,HAIN CELESTIAL GROUP INC,910406,405217100 405219106 49460E208,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2000,Manufacturing,Food And Kindred Products,,Food Products,USD,New York; U.S.A,a1e5df82e7adf358ee6da096679eaec8
JBSS,SANFILIPPO JOHN B & SON INC,880117,800422107,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2060,Manufacturing,Sugar & Confectionery Products,,Food Products,USD,Illinois; U.S.A,79dbeb0af727f9a70ec5bf12c6877d13
JJSF,J&J SNACK FOODS CORP,785956,466032109,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2052,Manufacturing,Cookies & Crackers,,Food Products,USD,New Jersey; U.S.A,36c9d56fcc77dbfa76397f06e774e51b
KHC,KRAFT HEINZ CO,1637459,500754106,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2030,Manufacturing,Canned Frozen & Preservd Fruit Veg & Food Specialties,,Food Products,USD,Pennsylvania; U.S.A,5703869fc4b6b94f4130074b8c6eb495
LANC,LANCASTER COLONY CORP,57515,513847103,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2030,Manufacturing,Canned Frozen & Preservd Fruit Veg & Food Specialties,,Food Products,USD,Ohio; U.S.A,ee039ddd9e7eb842cf2ae8a23ed48311
LWAY,LIFEWAY FOODS INC,814586,531914109,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2020,Manufacturing,Dairy Products,,Food Products,USD,Illinois; U.S.A,822b9d5fad44a2f805c01c5e58368d01
MAMA,MAMA'S CREATIONS INC,1520358,56146T103,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2013,Manufacturing,Sausages & Other Prepared Meat Products,,Food Products,USD,New Jersey; U.S.A,9020b6b770e6ea5645c2cf483797cce9
MDLZ,MONDELEZ INTERNATIONAL INC,1103982,609207105 50075N104,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Confectioners,2000,Manufacturing,Food And Kindred Products,,Food Products,USD,Illinois; U.S.A,73594b6f061764485cae1aee943b2c50
OTLY,OATLY GROUP AB,1843586,67421J108,NASDAQ,False,ADR Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2000,Manufacturing,Food And Kindred Products,,Food Products,USD,Sweden,737fa023877d4982a732167439134cfa
PETZ,TDH HOLDINGS INC,1684425,G87084102 G87084110,NASDAQ,False,ADR Common Stock,Consumer Defensive,Packaged Foods,2000,Manufacturing,Food And Kindred Products,,Food Products,USD,China,9ab5e3d78624be5aeb17154dd71ac44b
PPC,PILGRIMS PRIDE CORP,802481,72147K108 721467108,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Defensive,Packaged Foods,2015,Manufacturing,Poultry Slaughtering And Processing,,Food Products,USD,Colorado; U.S.A,0649d3a72ede68c2cf2fd2aa15a01ac1
RGF,REAL GOOD FOOD COMPANY INC,1871149,75601G109,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2000,Manufacturing,Food And Kindred Products,,Food Products,USD,New Jersey; U.S.A,c53d28bb3b8bbb1063d8bbc2d7e62e45
