ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AGAE,ALLIED GAMING & ENTERTAINMENT INC,1708341,019170109 09216T107 09216T206,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Entertainment,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,California; U.S.A,04a33b5644f4588b3257973403af1489
BATRA,ATLANTA BRAVES HOLDINGS INC,1958140,047726104,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Entertainment,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,Colorado; U.S.A,eb12481fc45260390d7a8b8c2c66a315
BREA,BRERA HOLDINGS PLC,1939965,G13311108,NASDAQ,False,ADR Common Stock,Communication Services,Entertainment,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,Ireland,58ef1f55edf28bfd97bc6e2eb30c1ee8
CDRO,CODERE ONLINE LUXEMBOURG SA,1866782,23318M100 L18268109,NASDAQ,False,ADR Common Stock Primary Class,Consumer Cyclical,Gambling,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,Luxembourg,2a7ef11c2805614f460a59c78a8f665b
CHDN,CHURCHILL DOWNS INC,20212,171484108,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Gambling,7948,Services,Services-Racing Including Track Operation,,Entertainment,USD,Kentucky; U.S.A,68f59d6861d263712251825e5396af93
CNVS,CINEVERSE CORP,1173204,172406209 172406100 172406308 172407108 004329108,NASDAQ,False,Domestic Common Stock,Communication Services,Entertainment,7841,Services,Services-Video Tape Rental,,Entertainment,USD,New York; U.S.A,881ee4976b90709050a87aa08a0e4360
CPHC,CANTERBURY PARK HOLDING CORP,1672909,13811E101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Gambling,7948,Services,Services-Racing Including Track Operation,,Entertainment,USD,Minnesota; U.S.A,62e1b6b04861536cc8761979ce5616d6
CPOP,POP CULTURE GROUP CO LTD,1807389,G71700101 G71700119,NASDAQ,False,ADR Common Stock,Communication Services,Entertainment,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,China,fe680bed917053f09cb6ec240c0e3d5d
CSSE,CHICKEN SOUP FOR THE SOUL ENTERTAINMENT INC,1679063,16842Q100,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Entertainment,7819,Services,Services-Allied To Motion Picture Production,,Entertainment,USD,Connecticut; U.S.A,a74540501940fe503aefd06f39616297
CURI,CURIOSITYSTREAM INC,1776909,23130Q107 83406B101 83406B200,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Broadcasting,7812,Services,Services-Motion Picture & Video Tape Production,,Entertainment,USD,Maryland; U.S.A,5ca24c51d16dcdb694fb1f14534a6b2d
DKNG,DRAFTKINGS INC,1883685,26142R104 26142V105 25258L109 25258L208,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Gambling,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,Massachusetts; U.S.A,f7cf6fc0b57ec66eb4da868d637cf7f3
FBYD,FALCON'S BEYOND GLOBAL INC,1937987,311874101 306121104,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Conglomerates,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,Florida; U.S.A,697df87b0b4b2e9065bdde180f4db9f8
GAIA,GAIA INC,1089872,36269P104 36268Q103,NASDAQ,False,Domestic Common Stock,Communication Services,Entertainment,7812,Services,Services-Motion Picture & Video Tape Production,,Entertainment,USD,Colorado; U.S.A,9cab8a07f2a54273ddc9b52eacd6ba7f
GAMB,GAMBLINGCOM GROUP LTD,1839799,G3R239101,NASDAQ,False,ADR Common Stock,Consumer Cyclical,Gambling,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,Jersey,320455198196d5a9aa435e733129441f
GAME,GAMESQUARE HOLDINGS INC,1714562,29287W102 36468G103 364934109 29287R103 89132P108,NASDAQ,False,Domestic Common Stock,Communication Services,Electronic Gaming & Multimedia,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,Texas; U.S.A,27a827a452ed2afd169e4b80a42fac1a
GDEN,GOLDEN ENTERTAINMENT INC,1071255,381013101 51206P109 51206P208,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Resorts & Casinos,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,Nevada; U.S.A,e7364b1a3da04af65e093afcda909a87
GDHG,GOLDEN HEAVEN GROUP HOLDINGS LTD,1928340,G3959D109,NASDAQ,False,ADR Common Stock,Consumer Cyclical,Gambling,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,China,4821ccbbf6e0f8d97856ba60483f1c4d
GPAK,GAMER PAKISTAN INC,1948884,364662106,NASDAQ,False,Domestic Common Stock,Industrials,Specialty Business Services,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,Nevada; U.S.A,a84d8173291e811bff75c0e8b7a758d8
HOFV,HALL OF FAME RESORT & ENTERTAINMENT CO,1708176,40619L102 382788107 40619L201 382788206,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Entertainment,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,Ohio; U.S.A,a8b38bb4c123a7a7c6590cccf3e33f72
IQ,IQIYI INC,1722608,46267X108,NASDAQ,False,ADR Common Stock,Communication Services,Entertainment,7841,Services,Services-Video Tape Rental,,Entertainment,USD,China,5b8459fa541ac08b634b37bca993a664
LION,LIONSGATE STUDIOS CORP,2006191,G79407105 53626M104,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Entertainment,7812,Services,Services-Motion Picture & Video Tape Production,,Entertainment,USD,California; U.S.A,4b949d179e10dd0c713552fd7b591765
NFLX,NETFLIX INC,1065280,64110L106,NASDAQ,False,Domestic Common Stock,Communication Services,Entertainment,7841,Services,Services-Video Tape Rental,,Entertainment,USD,California; U.S.A,df4c60cdeaa922333a190a7954c0c6c6
OSW,ONESPAWORLD HOLDINGS LTD,1758488,P73684113,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Leisure,7997,Services,Services-Membership Sports & Recreation Clubs,,Entertainment,USD,Bahamas,9b3deb3fd318f6a3b54c6d6d0bb4b4e7
PROP,PRAIRIE OPERATING CO,1162896,739650109 97751C100 97750F104 22552C109 97751C308,NASDAQ,False,Domestic Common Stock,Financial Services,Capital Markets,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,Utah; U.S.A,9d1951e98fe0843c7060754f8fa8ed8c
RDI,READING INTERNATIONAL INC,716634,755408101 172862104 172862302 172862203,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Entertainment,7830,Services,Services-Motion Picture Theaters,,Entertainment,USD,California; U.S.A,060c65119a95f5ddaceff07b70af1129
RSVR,RESERVOIR MEDIA INC,1824403,76119X105 778673103,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Entertainment,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,New York; U.S.A,186b4d620a0ec42da91821e79bc63f49
SEAT,VIVID SEATS INC,1856031,92854T100 G46049105,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Internet Content & Information,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,Illinois; U.S.A,280d9d94445e4f8ce08973f847e0fd09
SLE,SUPER LEAGUE ENTERPRISE INC,1621672,86804F202 86804F301,NASDAQ,False,Domestic Common Stock,Communication Services,Internet Content & Information,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,California; U.S.A,08c30ed734770f341f8a76774d616807
VTSI,VIRTRA INC,1085243,92827K301 92827K103,NASDAQ,False,Domestic Common Stock,Industrials,Aerospace & Defense,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,Arizona; U.S.A,e6c398e6f2ef988df39887de03134b59
WMG,WARNER MUSIC GROUP CORP,1319161,934550203,NASDAQ,False,Domestic Common Stock,Communication Services,Entertainment,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,New York; U.S.A,64039f94d9bc6150224634898a4ff3c9
WORX,SCWORX CORP,1674227,78396V109 018626101 78396V208,NASDAQ,False,Domestic Common Stock,Healthcare,Health Information Services,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,New York; U.S.A,fb2eb6e5e728ed7d201162edb79b4044
BATRK,ATLANTA BRAVES HOLDINGS INC,1958140,047726302,NASDAQ,False,Domestic Common Stock Secondary Class,Communication Services,Entertainment,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,Colorado; U.S.A,a68b851df7228f258f748cd605b6874e
CDROW,CODERE ONLINE LUXEMBOURG SA,1866782,L18268117 23318M118,NASDAQ,False,ADR Common Stock Warrant,Consumer Cyclical,Gambling,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,Luxembourg,318277568c6c5ffc2d391e9b3003329a
CSSEP,CHICKEN SOUP FOR THE SOUL ENTERTAINMENT INC,1679063,16842Q209,NASDAQ,False,Domestic Preferred Stock,Communication Services,Entertainment,7819,Services,Services-Allied To Motion Picture Production,,Entertainment,USD,Connecticut; U.S.A,930a15455a79cb3dedec0042ae0033bf
CURIW,CURIOSITYSTREAM INC,1776909,83406B119 23130Q115,NASDAQ,False,Domestic Common Stock Warrant,Communication Services,Broadcasting,7812,Services,Services-Motion Picture & Video Tape Production,,Entertainment,USD,Maryland; U.S.A,9db0c4de10290707620c304f1733ea0c
FBYDW,FALCON'S BEYOND GLOBAL INC,1937987,311874119 306121112,NASDAQ,False,Domestic Common Stock Warrant,Industrials,Conglomerates,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,Florida; U.S.A,db5cf6559efcfd07f04148a0abe1d78e
HOFVW,HALL OF FAME RESORT & ENTERTAINMENT CO,1708176,382788115 40619L110,NASDAQ,False,Domestic Common Stock Warrant,Communication Services,Entertainment,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,Ohio; U.S.A,1c4bffcf13922d1840ae60d64a64dc51
RDIB,READING INTERNATIONAL INC,716634,755408200,NASDAQ,False,Domestic Common Stock Secondary Class,Communication Services,Entertainment,7830,Services,Services-Motion Picture Theaters,,Entertainment,USD,California; U.S.A,bc5dc4703244ca9e93d8d4a4d49685c4
RSVRW,RESERVOIR MEDIA INC,1824403,76119X113 778673111,NASDAQ,False,Domestic Common Stock Warrant,Communication Services,Entertainment,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,New York; U.S.A,e0f657116e97fcf2219de2cc629573bc
SEATW,VIVID SEATS INC,1856031,G46049113 92854T118,NASDAQ,False,Domestic Common Stock Warrant,Communication Services,Internet Content & Information,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,Illinois; U.S.A,78ee9a71bdc32c3f7f595d6d42ab00a1
CSSEL,CHICKEN SOUP FOR THE SOUL ENTERTAINMENT INC,1679063,16842Q134,NASDAQ,False,ETD,,,7819,Services,Services-Allied To Motion Picture Production,,Entertainment,USD,Connecticut; U.S.A,f4324980c0e826ed219f57a1e394f878
CSSEN,CHICKEN SOUP FOR THE SOUL ENTERTAINMENT INC,1679063,16842Q308,NASDAQ,False,ETD,,,7819,Services,Services-Allied To Motion Picture Production,,Entertainment,USD,Connecticut; U.S.A,895d7522e321908217f5231f5a532475
ACEL,ACCEL ENTERTAINMENT INC,1698991,00436Q106 G89827128 G89827102,NYSE,False,Domestic Common Stock Primary Class,Consumer Cyclical,Gambling,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,Illinois; U.S.A,f70ac733327f1c6e9cc96f63bea4d435
AMC,AMC ENTERTAINMENT HOLDINGS INC,1411579,00165C104 00165C302,NYSE,False,Domestic Common Stock Primary Class,Communication Services,Entertainment,7830,Services,Services-Motion Picture Theaters,,Entertainment,USD,Kansas; U.S.A,76ea231ad5daee875db6efb725e50cd3
BOWL,BOWLERO CORP,1840572,10258P102 G4962C112,NYSE,False,Domestic Common Stock Primary Class,Consumer Cyclical,Leisure,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,Connecticut; U.S.A,4c9e36b391d26e7ad863d01cc0f52bee
CNK,CINEMARK HOLDINGS INC,1385280,17243V102,NYSE,False,Domestic Common Stock,Communication Services,Entertainment,7830,Services,Services-Motion Picture Theaters,,Entertainment,USD,Texas; U.S.A,6a106530efbbbe1243a9be59d85dac3d
DIS,WALT DISNEY CO,1744489,254687106,NYSE,False,Domestic Common Stock Primary Class,Communication Services,Entertainment,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,California; U.S.A,2b96ca2b662c6e64c62919d53fa86a1b
EDR,ENDEAVOR GROUP HOLDINGS INC,1766363,29260Y109,NYSE,False,Domestic Common Stock,Communication Services,Entertainment,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,California; U.S.A,a875b6a3b84ccec7a38494c640791cdb
EVRI,EVERI HOLDINGS INC,1318568,30034T103 378967103,NYSE,False,Domestic Common Stock,Consumer Cyclical,Gambling,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,Nevada; U.S.A,5cada700eb9e0f54a605e1542388f99c
FUBO,FUBOTV INC,1484769,35953D104 143764108 75619F101 74587E105 30310Y107,NYSE,False,Domestic Common Stock,Communication Services,Broadcasting,7812,Services,Services-Motion Picture & Video Tape Production,,Entertainment,USD,New York; U.S.A,5ff1ae729b4ca919b6da4418622c1d0b
FUN,CEDAR FAIR L P,811532,150185106,NYSE,False,Domestic Common Stock,Consumer Cyclical,Leisure,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,Ohio; U.S.A,f65bd349710ec5361a3c876c8a182616
GENI,GENIUS SPORTS LTD,1834489,G3934V109 233277102,NYSE,False,ADR Common Stock Primary Class,Communication Services,Internet Content & Information,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,United Kingdom,f44307d4d0882f36bf5fc793b1db831a
IGT,INTERNATIONAL GAME TECHNOLOGY PLC,1619762,G4863A108,NYSE,False,ADR Common Stock,Consumer Cyclical,Gambling,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,United Kingdom,e0b091414f8c5a951860f44cf0272dcb
LGF.B,LIONS GATE ENTERTAINMENT CORP,929351,535919500 535919203,NYSE,False,Domestic Common Stock Primary Class,Communication Services,Entertainment,7812,Services,Services-Motion Picture & Video Tape Production,,Entertainment,USD,California; U.S.A,caadffc8f458bc36739fc01bb75d6821
LTH,LIFE TIME GROUP HOLDINGS INC,1869198,53190C102,NYSE,False,Domestic Common Stock,Consumer Cyclical,Leisure,7997,Services,Services-Membership Sports & Recreation Clubs,,Entertainment,USD,Minnesota; U.S.A,f956f1b7fc46f3e1c84209eaa3b42ea0
LYV,LIVE NATION ENTERTAINMENT INC,1335258,538034109 14985W109,NYSE,False,Domestic Common Stock,Communication Services,Entertainment,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,California; U.S.A,f791217717b53dade5f99afd07f21327
MANU,MANCHESTER UNITED PLC,1549107,G5784H106,NYSE,False,ADR Common Stock,Communication Services,Entertainment,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,United Kingdom,d58dbdd138dc6cfee1f2abdb5b90d6d4
MCS,MARCUS CORP,62234,566330106,NYSE,False,Domestic Common Stock,Communication Services,Entertainment,7830,Services,Services-Motion Picture Theaters,,Entertainment,USD,Wisconsin; U.S.A,2b7b72fdc417378c0ea0098b9b7575b8
MSGE,MADISON SQUARE GARDEN ENTERTAINMENT CORP,1952073,558256103,NYSE,False,Domestic Common Stock,Consumer Cyclical,Leisure,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,New York; U.S.A,142a2b1dff9fb46613dfc6db24f528a5
MSGS,MADISON SQUARE GARDEN SPORTS CORP,1636519,55825T103,NYSE,False,Domestic Common Stock,Communication Services,Entertainment,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,New York; U.S.A,90fcbb81de853892e6e081edf270583e
MTN,VAIL RESORTS INC,812011,91879Q109,NYSE,False,Domestic Common Stock,Consumer Cyclical,Resorts & Casinos,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,Colorado; U.S.A,e6403eac3215e3cffe2836e6faa07470
