ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
CHNR,CHINA NATURAL RESOURCES INC,793628,G2110U109 G2110U117 169406105 169406303 169406204,NASDAQ,False,ADR Common Stock,Industrials,Pollution & Treatment Controls,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Hong Kong,dfcd867111831cc7a485cf107ff840b5
HYMC,HYCROFT MINING HOLDING CORP,1718405,44862P109 624745105 44862P208 624745204,NASDAQ,False,Domestic Common Stock Primary Class,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,New York; U.S.A,03432a28bb32ed57d5a4a51cf85f0f73
PPTA,PERPETUA RESOURCES CORP,1526243,714266103 59562B101 59562B507,NASDAQ,False,Domestic Common Stock,Basic Materials,Other Precious Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Idaho; U.S.A,6958f7d2345f627ac971e18c06b01ca2
USGO,US GOLDMINING INC,1947244,90291W108,NASDAQ,False,Domestic Common Stock Primary Class,Basic Materials,Other Industrial Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,ee5787464ef050b1be601fa0e86dd960
VOXR,VOX ROYALTY CORP,1907909,92919F103,NASDAQ,False,Canadian Common Stock,Basic Materials,Other Precious Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Ontario; Canada,8f4d2591591645b9168d8f9263866096
HYMCL,HYCROFT MINING HOLDING CORP,1718405,44862P133,NASDAQ,False,Domestic Common Stock Warrant,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,New York; U.S.A,c36101a9e589e14b7cbe4df703ef0cca
HYMCW,HYCROFT MINING HOLDING CORP,1718405,44862P117 624745113,NASDAQ,False,Domestic Common Stock Warrant,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,New York; U.S.A,fd3a9f2dff0633a1d7e2265045aee011
ODVWZ,OSISKO DEVELOPMENT CORP,1431852,68828E239,NASDAQ,False,Canadian Common Stock Warrant,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Quebec; Canada,768c0e30a05fd3523782c5df6e5536ce
USGOW,US GOLDMINING INC,1947244,90291W116,NASDAQ,False,Domestic Common Stock Warrant,Basic Materials,Other Industrial Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,8c55609a1bfc41be08d9d122058d1504
AEM,AGNICO EAGLE MINES LTD,2809,008474108,NYSE,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Ontario; Canada,78de930fa8ae4077b3e540765185443b
AG,FIRST MAJESTIC SILVER CORP,1308648,32076V103 32076R102,NYSE,False,Canadian Common Stock,Basic Materials,Silver,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,f933bb34a6eb75d8a744d8bc19e853fd
AGI,ALAMOS GOLD INC,1178819,011532108 011527108,NYSE,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Ontario; Canada,a5d252de2675a3ed99ed7dd0fe930a75
ARMN,ARIS MINING CORP,1964504,04040Y109,NYSEMKT,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,4eab51bbf63d130bbbb1ccbda1f8e176
AU,ANGLOGOLD ASHANTI (PTY) LTD,1067428,035128206 G0378L100,NYSE,False,ADR Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,South Africa,2376f5fcfd3c7c7a3122a22245feca54
AUMN,GOLDEN MINERALS CO,1011509,381119106 381119403,NYSEMKT,False,Domestic Common Stock,Basic Materials,Other Precious Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Colorado; U.S.A,ec7f6a214b2f8dcad27e344c6e74e28f
AUST,AUSTIN GOLD CORP,1817740,05223F106,NYSEMKT,False,ADR Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,e09959bd8fa76206a5ac0b20641e3302
CGAU,CENTERRA GOLD INC,1854640,152006102,NYSE,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Ontario; Canada,42051f139ce3d2f3d91a2f20215203aa
