ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AOUT,AMERICAN OUTDOOR BRANDS INC,1808997,02875D109,NASDAQ,False,Domestic Common Stock,Industrials,Aerospace & Defense,3480,Manufacturing,Ordnance & Accessories (No Vehicles/Guided Missiles),,Defense,USD,Missouri; U.S.A,6eeaa24168a57ecc7b5e2b30d8edbbfa
AXON,AXON ENTERPRISE INC,1069183,05464C101 87651B104,NASDAQ,False,Domestic Common Stock,Industrials,Aerospace & Defense,3480,Manufacturing,Ordnance & Accessories (No Vehicles/Guided Missiles),,Defense,USD,Arizona; U.S.A,64676c059a3ab9b7c93664bd721bf146
KTOS,KRATOS DEFENSE & SECURITY SOLUTIONS INC,1069258,50077B207 50077B108 97653A103,NASDAQ,False,Domestic Common Stock,Industrials,Aerospace & Defense,3760,Manufacturing,Guided Missiles & Space Vehicles & Parts,,Defense,USD,California; U.S.A,818cf1b009acc0c9ac59fc7c1e0dc8ab
MNTS,MOMENTUS INC,1781162,60879E101 85236Q109 60879E200,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Aerospace & Defense,3760,Manufacturing,Guided Missiles & Space Vehicles & Parts,,Defense,USD,California; U.S.A,9f9bd4680afc21c6791b5c0916365c65
POWW,AMMO INC,1015383,00175J107 761300102,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Aerospace & Defense,3480,Manufacturing,Ordnance & Accessories (No Vehicles/Guided Missiles),,Defense,USD,Arizona; U.S.A,4dbdf59c012d664695c5ca64a4a9ec35
RKLB,ROCKET LAB USA INC,1819994,773122106 G9442R126,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Aerospace & Defense,3760,Manufacturing,Guided Missiles & Space Vehicles & Parts,,Defense,USD,California; U.S.A,0264a2c5fb1654621f4391e7eb60ed4f
SWBI,SMITH & WESSON BRANDS INC,1092796,831754106 831756101 02874P103,NASDAQ,False,Domestic Common Stock,Industrials,Aerospace & Defense,3480,Manufacturing,Ordnance & Accessories (No Vehicles/Guided Missiles),,Defense,USD,Massachusetts; U.S.A,dd999ee23b18558f779b6c37a5bb53e1
WRAP,WRAP TECHNOLOGIES INC,1702924,98212N107,NASDAQ,False,Domestic Common Stock,Technology,Scientific & Technical Instruments,3480,Manufacturing,Ordnance & Accessories (No Vehicles/Guided Missiles),,Defense,USD,Arizona; U.S.A,8cd8e6bdd84632ba9c0aa7dee5bb8eb1
MNTSW,MOMENTUS INC,1781162,85236Q117 60879E119,NASDAQ,False,Domestic Common Stock Warrant,Industrials,Aerospace & Defense,3760,Manufacturing,Guided Missiles & Space Vehicles & Parts,,Defense,USD,California; U.S.A,69662436b015c33eb6d258493b38a537
POWWP,AMMO INC,1015383,00175J206,NASDAQ,False,Domestic Preferred Stock,Industrials,Aerospace & Defense,3480,Manufacturing,Ordnance & Accessories (No Vehicles/Guided Missiles),,Defense,USD,Arizona; U.S.A,da33c205bcbf6dc86cf3f7018db4d436
LMT,LOCKHEED MARTIN CORP,936468,539830109,NYSE,False,Domestic Common Stock,Industrials,Aerospace & Defense,3760,Manufacturing,Guided Missiles & Space Vehicles & Parts,,Defense,USD,Maryland; U.S.A,63a560c89237f69942ecd80d0d50caef
NPK,NATIONAL PRESTO INDUSTRIES INC,80172,637215104,NYSE,False,Domestic Common Stock,Industrials,Aerospace & Defense,3480,Manufacturing,Ordnance & Accessories (No Vehicles/Guided Missiles),,Defense,USD,Wisconsin; U.S.A,2069bbeb0482916bf48afda13c995f52
RDW,REDWIRE CORP,1819810,75776W103 G38245109,NYSE,False,Domestic Common Stock Primary Class,Industrials,Aerospace & Defense,3760,Manufacturing,Guided Missiles & Space Vehicles & Parts,,Defense,USD,Florida; U.S.A,4c8832a0f9bf13709946bb6c6477038c
RGR,STURM RUGER & CO INC,95029,864159108,NYSE,False,Domestic Common Stock,Industrials,Aerospace & Defense,3480,Manufacturing,Ordnance & Accessories (No Vehicles/Guided Missiles),,Defense,USD,Connecticut; U.S.A,7ce423d4afff3bff6594613956d98f2a
VSTO,VISTA OUTDOOR INC,1616318,928377100,NYSE,False,Domestic Common Stock,Consumer Cyclical,Leisure,3480,Manufacturing,Ordnance & Accessories (No Vehicles/Guided Missiles),,Defense,USD,Minnesota; U.S.A,bd5c7604c92a6a8dd76e32397f30a273
RDW.WS,REDWIRE CORP,1819810,75776W111 G38245125,NYSE,False,Domestic Common Stock Warrant,Industrials,Aerospace & Defense,3760,Manufacturing,Guided Missiles & Space Vehicles & Parts,,Defense,USD,Florida; U.S.A,d990420bedb6996319d1fd3c0ef0f290
