ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ACHC,ACADIA HEALTHCARE COMPANY INC,1520697,00404A109,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Care Facilities,8093,Services,Services-Specialty Outpatient Facilities Nec,,Healthcare,USD,Tennessee; U.S.A,26fb5b8bbcc41b6382594759a0fc02cb
ACON,ACLARION INC,1635077,655187102 655187201,NASDAQ,False,Domestic Common Stock Primary Class,Healthcare,Health Information Services,8071,Services,Services-Medical Laboratories,,Healthcare,USD,California; U.S.A,1530f2a4672b974af7902829420194cc
ADUS,ADDUS HOMECARE CORP,1468328,006739106,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Care Facilities,8082,Services,Services-Home Health Care Services,,Healthcare,USD,Texas; U.S.A,1758e121b66e6f7516693f1737754ae5
AHCO,ADAPTHEALTH CORP,1725255,00653Q102 23291E109 23291E208,NASDAQ,False,Domestic Common Stock Primary Class,Healthcare,Medical Devices,8082,Services,Services-Home Health Care Services,,Healthcare,USD,Pennsylvania; U.S.A,e04044dd2b36ca1dc8b9aeaca3bf5a29
AIRS,AIRSCULPT TECHNOLOGIES INC,1870940,009496100,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Care Facilities,8011,Services,Services-Offices & Clinics Of Doctors Of Medicine,,Healthcare,USD,Florida; U.S.A,be718dd8839a08130e0dde555ec22024
AMED,AMEDISYS INC,896262,023436108,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Care Facilities,8082,Services,Services-Home Health Care Services,,Healthcare,USD,Louisiana; U.S.A,ce614a819c9eb5227a690c278ab0375f
ATPC,AGAPE ATP CORP,1713210,008389108,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,8000,Services,Services-Health Services,,Healthcare,USD,Malaysia,bc9a495d87e10bdf21fc13fa2f84c9af
AVAH,AVEANNA HEALTHCARE HOLDINGS INC,1832332,05356F105,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Care Facilities,8082,Services,Services-Home Health Care Services,,Healthcare,USD,Georgia; U.S.A,1c52eb633e8893215dd2e8fb9234844b
BACK,IMAC HOLDINGS INC,1729944,44967K104 44967K302,NASDAQ,False,Domestic Common Stock Primary Class,Healthcare,Medical Care Facilities,8093,Services,Services-Specialty Outpatient Facilities Nec,,Healthcare,USD,Tennessee; U.S.A,f8caa1e4f926e9d2d7557708a0bc2e71
BDSX,BIODESIX INC,1439725,09075X108,NASDAQ,False,Domestic Common Stock,Healthcare,Diagnostics & Research,8071,Services,Services-Medical Laboratories,,Healthcare,USD,Colorado; U.S.A,2ba07d94568e70311e01a9b4f6b90d00
