ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
APOG,APOGEE ENTERPRISES INC,6845,037598109,NASDAQ,False,Domestic Common Stock,Basic Materials,Building Products & Equipment,3231,Manufacturing,Glass Products Made Of Purchased Glass,,Consumer Goods,USD,Minnesota; U.S.A,8756795971bfb7d5749f87873050b951
ATER,ATERIAN INC,1757715,02156U101 608189106 02156U200,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,3634,Manufacturing,Electric Housewares & Fans,,Consumer Goods,USD,New York; U.S.A,4dfee00811ab61cbe3a5e492a471a462
BRLT,BRILLIANT EARTH GROUP INC,1866757,109504100 35655L206,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Luxury Goods,3910,Manufacturing,Jewelry Silverware & Plated Ware,,Consumer Goods,USD,California; U.S.A,d534e728c98dfa30b4ac65fc4dd2b6ca
BSET,BASSETT FURNITURE INDUSTRIES INC,10329,070203104,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,2511,Manufacturing,Wood Household Furniture (No Upholstered),,Consumer Goods,USD,Virginia; U.S.A,15a7bc9329e18d6444d959da07624968
CPSH,CPS TECHNOLOGIES CORP,814676,12619F104 156905101,NASDAQ,False,Domestic Common Stock,Technology,Electronic Components,3260,Manufacturing,Pottery & Related Products,,Consumer Goods,USD,Massachusetts; U.S.A,4309ef66aae6d5cf5f6a95df6b913b54
CTHR,CHARLES & COLVARD LTD,1015155,159765106 22942P109 159765205,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Luxury Goods,3910,Manufacturing,Jewelry Silverware & Plated Ware,,Consumer Goods,USD,North Carolina; U.S.A,1a48a44521278a6f603b0e819da76604
EZGO,EZGO TECHNOLOGIES LTD,1806904,G5279F102 G5279F110,NASDAQ,False,ADR Common Stock,Consumer Cyclical,Recreational Vehicles,3751,Manufacturing,Motorcycles Bicycles & Parts,,Consumer Goods,USD,China,193f45a5328836a70fb576f3d49d9288
FEBO,FENBO HOLDINGS LTD,1957001,G3413G102,NASDAQ,False,ADR Common Stock,Technology,Consumer Electronics,3634,Manufacturing,Electric Housewares & Fans,,Consumer Goods,USD,Hong Kong,c59c327a7284d0f9ffc3f1d8d9af2180
FLXS,FLEXSTEEL INDUSTRIES INC,37472,339382103,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,2510,Manufacturing,Household Furniture,,Consumer Goods,USD,Iowa; U.S.A,2472b215573586ec8b0009c7f900677c
FOSL,FOSSIL GROUP INC,883569,34988V106 349882100,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Luxury Goods,3873,Manufacturing,Watches Clocks Clockwork Operated Devices/Parts,,Consumer Goods,USD,Texas; U.S.A,903f1d7de3772090fe1bac5cd29aca18
FOXF,FOX FACTORY HOLDING CORP,1424929,35138V102,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Auto Parts,3751,Manufacturing,Motorcycles Bicycles & Parts,,Consumer Goods,USD,Georgia; U.S.A,d265afdd985425605d8b1f428b5c00c3
GPRO,GOPRO INC,1500435,38268T103,NASDAQ,False,Domestic Common Stock,Technology,Consumer Electronics,3861,Manufacturing,Photographic Equipment & Supplies,,Consumer Goods,USD,California; U.S.A,e6a7c518b946ef2d97aa421b9d11f1ed
HELE,HELEN OF TROY LTD,916789,G4388N106,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Household & Personal Products,3634,Manufacturing,Electric Housewares & Fans,,Consumer Goods,USD,Bermuda,b271943cf7f0b5ca69c7067d3295bb5b
HOFT,HOOKER FURNISHINGS CORP,1077688,439038100,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,2510,Manufacturing,Household Furniture,,Consumer Goods,USD,Virginia; U.S.A,cdfb5ddd8e764b2b0f3df4a9c159320a
IPAR,INTER PARFUMS INC,822663,458334109 472154301,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Household & Personal Products,2844,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,,Consumer Goods,USD,New York; U.S.A,f7fc5e152fb3fafae2deebd0986421ff
IRBT,IROBOT CORP,1159167,462726100,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,3630,Manufacturing,Household Appliances,,Consumer Goods,USD,Massachusetts; U.S.A,011399858fad491023f8d471bfeb4adb
JEWL,ADAMAS ONE CORP,1884072,00548H101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Luxury Goods,3910,Manufacturing,Jewelry Silverware & Plated Ware,,Consumer Goods,USD,Arizona; U.S.A,d97701281d24c0aa78fb9e16b6e3c1a8
LOBO,LOBO EV TECHNOLOGIES LTD,1932072,G00350101,NASDAQ,False,ADR Common Stock,Consumer Cyclical,Auto Manufacturers,3751,Manufacturing,Motorcycles Bicycles & Parts,,Consumer Goods,USD,China,26c0410e99c350e144f481b993b4ecfa
NVFY,NOVA LIFESTYLE INC,1473334,66979P102 66979P201 66979P300,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,2510,Manufacturing,Household Furniture,,Consumer Goods,USD,California; U.S.A,0b118bb81b2644b3aa2cb3941f8cf50d
ODD,ODDITY TECH LTD,1907085,M7518J104,NASDAQ,False,ADR Common Stock,Technology,Software - Infrastructure,2844,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,,Consumer Goods,USD,Israel,c879fb6a1a56f2312c6f42654dfb68e1
OLPX,OLAPLEX HOLDINGS INC,1868726,679369108,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Specialty Retail,2844,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,,Consumer Goods,USD,California; U.S.A,08ca9316f1a54e8abea8299cc4f47892
PRPL,PURPLE INNOVATION INC,1643953,74640Y106 37954X105 37954X204,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Furnishings Fixtures & Appliances,2510,Manufacturing,Household Furniture,,Consumer Goods,USD,Utah; U.S.A,094ebb8934ed0d119ad229656bb22057
RAY,RAYTECH HOLDING LTD,1948443,G7385S101,NASDAQ,False,ADR Common Stock,Consumer Defensive,Household & Personal Products,3630,Manufacturing,Household Appliances,,Consumer Goods,USD,Hong Kong,d2da14871447e4361efb32a29c5166f7
SHOT,SAFETY SHOT INC,1760903,48208F105,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Defensive,Beverages - Non-Alcoholic,2844,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,,Consumer Goods,USD,Florida; U.S.A,9c425d45672464ad5db9f05e6d8e3acf
SNBR,SLEEP NUMBER CORP,827187,83125X103 81616X103,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,2510,Manufacturing,Household Furniture,,Consumer Goods,USD,Minnesota; U.S.A,4c6b438b73e6d08206af9c1dd7df6ea4
UG,UNITED GUARDIAN INC,101295,910571108,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Household & Personal Products,2844,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,,Consumer Goods,USD,New York; U.S.A,f1095a79e17bd941cf672c66e8a2f1f2
VIOT,VIOMI TECHNOLOGY CO LTD,1742770,92762J103,NASDAQ,False,ADR Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,3630,Manufacturing,Household Appliances,,Consumer Goods,USD,China,dfbda6fa4e13d3420e411790f54f33f6
WALD,WALDENCAST PLC,1840199,G9460C100 G9503X103,NASDAQ,False,ADR Common Stock Primary Class,Technology,Software - Application,2844,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,,Consumer Goods,USD,New York; U.S.A,c6fc2d9c6435646b15db2794db3dbd2e
WULF,TERAWULF INC,1083301,88080T104 45172K102 171088107,NASDAQ,False,Domestic Common Stock,Financial Services,Capital Markets,3861,Manufacturing,Photographic Equipment & Supplies,,Consumer Goods,USD,Minnesota; U.S.A,376a2684ab2e02ee0d414904f4949a04
ZAPP,ZAPP ELECTRIC VEHICLES GROUP LTD,1955104,12561U109 G9889X107 G9889X123,NASDAQ,False,ADR Common Stock Primary Class,Consumer Cyclical,Auto Manufacturers,3751,Manufacturing,Motorcycles Bicycles & Parts,,Consumer Goods,USD,United Kingdom,58da00ae08a998c58892f79215bf5a55
SHOTW,SAFETY SHOT INC,1760903,48208F113,NASDAQ,False,Domestic Common Stock Warrant,Consumer Defensive,Beverages - Non-Alcoholic,2844,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,,Consumer Goods,USD,Florida; U.S.A,7a93e984aa199b004336043a683d8747
WALDW,WALDENCAST PLC,1840199,G9460C118 G9503X111,NASDAQ,False,ADR Common Stock Warrant,Technology,Software - Application,2844,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,,Consumer Goods,USD,New York; U.S.A,2200de790a963910b2817e4d7231d9e9
ZAPPW,ZAPP ELECTRIC VEHICLES GROUP LTD,1955104,12561U117 G9889X115,NASDAQ,False,ADR Common Stock Warrant,Consumer Cyclical,Auto Manufacturers,3751,Manufacturing,Motorcycles Bicycles & Parts,,Consumer Goods,USD,United Kingdom,a833e540a23a88b18c2d661612b99a84
FOSLL,FOSSIL GROUP INC,883569,34988V304,NASDAQ,False,ETD,,,3873,Manufacturing,Watches Clocks Clockwork Operated Devices/Parts,,Consumer Goods,USD,Texas; U.S.A,7c45d9ffc590dfff4cdb3ffc7167786e
AOS,SMITH A O CORP,91142,831865209,NYSE,False,Domestic Common Stock Primary Class,Industrials,Specialty Industrial Machinery,3630,Manufacturing,Household Appliances,,Consumer Goods,USD,Wisconsin; U.S.A,ea2d9a2811cf68fe8ce18b1f00b130af
AXIL,AXIL BRANDS INC,1718500,76151R206 76151R107,NYSEMKT,False,Domestic Common Stock,Technology,Consumer Electronics,2844,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,,Consumer Goods,USD,California; U.S.A,af3d6c6741b802ab48540644d53e7819
CHD,CHURCH & DWIGHT CO INC,313927,171340102,NYSE,False,Domestic Common Stock,Consumer Defensive,Household & Personal Products,2840,Manufacturing,Soap Detergents Cleang Preparations Perfumes Cosmetics,,Consumer Goods,USD,New Jersey; U.S.A,57ae33efdd44ae4aabc29789632c665d
CL,COLGATE PALMOLIVE CO,21665,194162103,NYSE,False,Domestic Common Stock,Consumer Defensive,Household & Personal Products,2844,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,,Consumer Goods,USD,New York; U.S.A,d7246891bb19717411e2644bc71ea168
CLX,CLOROX CO,21076,189054109,NYSE,False,Domestic Common Stock,Consumer Defensive,Household & Personal Products,2842,Manufacturing,Specialty Cleaning Polishing And Sanitation Preparations,,Consumer Goods,USD,California; U.S.A,de7976bffad421c8ed469e38b4c0e824
CODI,COMPASS DIVERSIFIED HOLDINGS,1345126,20451Q104,NYSE,False,Domestic Common Stock Primary Class,Industrials,Conglomerates,2510,Manufacturing,Household Furniture,,Consumer Goods,USD,Connecticut; U.S.A,fc8163511f6bd4589f297a34f5fb27ef
COOK,TRAEGER INC,1857853,89269P103,NYSE,False,Domestic Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,3630,Manufacturing,Household Appliances,,Consumer Goods,USD,Utah; U.S.A,779dfe122d7e0d99420bb9ad18b43868
COTY,COTY INC,1024305,222070203,NYSE,False,Domestic Common Stock,Consumer Defensive,Household & Personal Products,2844,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,,Consumer Goods,USD,New York; U.S.A,135cffdbf5daf1f1109a300c98a6d753
ECL,ECOLAB INC,31462,278865100,NYSE,False,Domestic Common Stock,Basic Materials,Specialty Chemicals,2840,Manufacturing,Soap Detergents Cleang Preparations Perfumes Cosmetics,,Consumer Goods,USD,Minnesota; U.S.A,f718658597d51339f6f82bb40faa892c
EL,ESTEE LAUDER COMPANIES INC,1001250,518439104,NYSE,False,Domestic Common Stock,Consumer Defensive,Household & Personal Products,2844,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,,Consumer Goods,USD,New York; U.S.A,b73dccd51cf994ee5271dedda2c70d59
ELF,ELF BEAUTY INC,1600033,26856L103,NYSE,False,Domestic Common Stock,Consumer Defensive,Household & Personal Products,2844,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,,Consumer Goods,USD,California; U.S.A,a5834746a4ef2b7eb18891352177fe60
EPC,EDGEWELL PERSONAL CARE CO,1096752,28035Q102 29266R108,NYSE,False,Domestic Common Stock,Consumer Defensive,Household & Personal Products,2844,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,,Consumer Goods,USD,Connecticut; U.S.A,861244b328289d851433baea7da241e0
