ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AAME,ATLANTIC AMERICAN CORP,8177,048209100,NASDAQ,False,Domestic Common Stock,Financial Services,Insurance - Life,6311,Finance Insurance And Real Estate,Life Insurance,,Insurance,USD,Georgia; U.S.A,23d764ba243f7aaf232259bf31fbf736
ACGL,ARCH CAPITAL GROUP LTD,947484,G0450A105 767711104 03937L105,NASDAQ,False,Domestic Common Stock Primary Class,Financial Services,Insurance - Diversified,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,,Insurance,USD,Bermuda,5bbc2103dfdb3ee3bdd777f036ae5252
ACIC,AMERICAN COASTAL INSURANCE CORP,1401521,910710102 34410L106 910710201,NASDAQ,False,Domestic Common Stock,Financial Services,Insurance - Property & Casualty,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,,Insurance,USD,Florida; U.S.A,a1a402ad9c4b073ed65ec6d44f35a3c9
ACT,ENACT HOLDINGS INC,1823529,29249E109,NASDAQ,False,Domestic Common Stock,Financial Services,Insurance - Specialty,6411,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,,Insurance,USD,North Carolina; U.S.A,d4bb808c46cc3d9cdead50a254f77c75
ALHC,ALIGNMENT HEALTHCARE INC,1832466,01625V104,NASDAQ,False,Domestic Common Stock,Healthcare,Healthcare Plans,6324,Finance Insurance And Real Estate,Hospital & Medical Service Plans,,Insurance,USD,California; U.S.A,3271614ad770fb14fc9ae879e6ac2314
AMSF,AMERISAFE INC,1018979,03071H100,NASDAQ,False,Domestic Common Stock,Financial Services,Insurance - Specialty,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,,Insurance,USD,Louisiana; U.S.A,612230ce5c1114ecaf4620b3a99943e4
BHF,BRIGHTHOUSE FINANCIAL INC,1685040,10922N103,NASDAQ,False,Domestic Common Stock Primary Class,Financial Services,Insurance - Life,6311,Finance Insurance And Real Estate,Life Insurance,,Insurance,USD,North Carolina; U.S.A,a1c35900282eae6ccf8a03aec32a62a0
BWIN,BALDWIN INSURANCE GROUP INC,1781755,05589G102,NASDAQ,False,Domestic Common Stock,Financial Services,Insurance Brokers,6411,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,,Insurance,USD,Florida; U.S.A,aa88856984e4b5431e20d81c7fec9bbe
CCG,CHECHE GROUP INC,1965473,G20707108,NASDAQ,False,ADR Common Stock Primary Class,Communication Services,Internet Content & Information,6411,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,,Insurance,USD,China,978e7657b2cba8a825d23e90a9dc70bf
CINF,CINCINNATI FINANCIAL CORP,20286,172062101,NASDAQ,False,Domestic Common Stock,Financial Services,Insurance - Property & Casualty,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,,Insurance,USD,Ohio; U.S.A,b95f87109dee35a006dfe9190b3c0a30
CLOV,CLOVER HEALTH INVESTMENTS CORP,1801170,18914F103 G8251K107,NASDAQ,False,Domestic Common Stock Primary Class,Healthcare,Healthcare Plans,6324,Finance Insurance And Real Estate,Hospital & Medical Service Plans,,Insurance,USD,Tennessee; U.S.A,64f219dc3b0681686bc0dbc4a27c7866
CNFR,CONIFER HOLDINGS INC,1502292,20731J102,NASDAQ,False,Domestic Common Stock Primary Class,Financial Services,Insurance - Property & Casualty,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,,Insurance,USD,Michigan; U.S.A,ade8cdc8edd5bcbe8cdc6dbf654bebe8
CRVL,CORVEL CORP,874866,221006109,NASDAQ,False,Domestic Common Stock,Financial Services,Insurance Brokers,6411,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,,Insurance,USD,California; U.S.A,7e212871f564b92a80c796822aabd81f
DGICA,DONEGAL GROUP INC,800457,257701201 257701102,NASDAQ,False,Domestic Common Stock Primary Class,Financial Services,Insurance - Property & Casualty,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,,Insurance,USD,Pennsylvania; U.S.A,c76b7fabb209f743e329d1dff015785a
EHTH,EHEALTH INC,1333493,28238P109,NASDAQ,False,Domestic Common Stock,Financial Services,Insurance Brokers,6411,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,,Insurance,USD,California; U.S.A,fc83e75da9b1762667f2851a0d74d664
ERIE,ERIE INDEMNITY CO,922621,29530P102,NASDAQ,False,Domestic Common Stock,Financial Services,Insurance Brokers,6411,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,,Insurance,USD,Pennsylvania; U.S.A,8bc784fdeb2acfdd37dcb8ca2baa279e
ESGR,ENSTAR GROUP LTD,1363829,G3075P101 29358R107,NASDAQ,False,Domestic Common Stock Primary Class,Financial Services,Insurance - Diversified,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,,Insurance,USD,Bermuda,426d17ff01da413a4d548154f7ef9031
FANH,FANHUA INC,1413855,30712A103 18976M103,NASDAQ,False,ADR Common Stock,Financial Services,Insurance Brokers,6411,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,,Insurance,USD,China,dc00ab3db0415b444898f59cc0792ce4
FGF,FUNDAMENTAL GLOBAL INC,1591890,68244P107 30259W104 30329Y106,NASDAQ,False,Domestic Common Stock Primary Class,Financial Services,Insurance - Diversified,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,,Insurance,USD,Florida; U.S.A,2d37abe665aedbaf023ac4a86f616e16
GLRE,GREENLIGHT CAPITAL RE LTD,1385613,G4095J109,NASDAQ,False,Domestic Common Stock,Financial Services,Insurance - Reinsurance,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,,Insurance,USD,Cayman Islands,7236cad85cc43db8390cc1dc9d91cadc
GOCO,GOHEALTH INC,1808220,38046W105 38046W204,NASDAQ,False,Domestic Common Stock,Financial Services,Insurance Brokers,6411,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,,Insurance,USD,Illinois; U.S.A,64daa9d276bb6387c930865df495346c
