ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AEHR,AEHR TEST SYSTEMS,1040470,00760J108,NASDAQ,False,Domestic Common Stock,Technology,Semiconductor Equipment & Materials,3825,Manufacturing,Instruments For Meas & Testing Of Electricity & Elec Signals,,Measuring and Control Equipment,USD,California; U.S.A,3ed12f0871f9009f50956ad750949e93
AEMD,AETHLON MEDICAL INC,882291,00808Y307 00808Y208 00808Y406 00808Y109,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Devices,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,California; U.S.A,822b28d96b1adb7bc7876afbc7c11fdb
AKYA,AKOYA BIOSCIENCES INC,1711933,00974H104,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Instruments & Supplies,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,Massachusetts; U.S.A,841efed7b021ce388acf55c3d2f18cd3
ALNT,ALLIENT INC,46129,019330109 419011101,NASDAQ,False,Domestic Common Stock,Technology,Electronic Components,3825,Manufacturing,Instruments For Meas & Testing Of Electricity & Elec Signals,,Measuring and Control Equipment,USD,New York; U.S.A,3791aed974e6ae12456ca616dfba40d7
ASTC,ASTROTECH CORP,1001907,046484101 046484200 046484309 846243400 846243103,NASDAQ,False,Domestic Common Stock,Industrials,Aerospace & Defense,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,Texas; U.S.A,dfdf133e58a9d46877851c3102ea28ca
AXDX,ACCELERATE DIAGNOSTICS INC,727207,00430H102 00430H201 004304200,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Devices,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,Arizona; U.S.A,161d61ab495b38d106f3c6be39a7ac7c
BNGO,BIONANO GENOMICS INC,1411690,09075F107 09075F305 09075F206,NASDAQ,False,Domestic Common Stock Primary Class,Healthcare,Medical Instruments & Supplies,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,California; U.S.A,4d6b95a435bc835b31ab3a895f61eac7
BRKR,BRUKER CORP,1109354,116794108 116795105,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Devices,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,Massachusetts; U.S.A,487445f5a45b90ff3152153ce1b560c2
CAMT,CAMTEK LTD,1109138,M20791105,NASDAQ,False,ADR Common Stock,Technology,Semiconductor Equipment & Materials,3827,Manufacturing,Optical Instruments & Lenses,,Measuring and Control Equipment,USD,Israel,94ae64b5a865bf89395bcd8a821f920e
CGNX,COGNEX CORP,851205,192422103,NASDAQ,False,Domestic Common Stock,Technology,Scientific & Technical Instruments,3823,Manufacturing,Industrial Instruments For Measurement Display And Control,,Measuring and Control Equipment,USD,Massachusetts; U.S.A,2f8163a3c1c124f076849cc80ca331b3
CLIR,CLEARSIGN TECHNOLOGIES CORP,1434524,185064102,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Pollution & Treatment Controls,3823,Manufacturing,Industrial Instruments For Measurement Display And Control,,Measuring and Control Equipment,USD,Washington; U.S.A,8aa830b55ad4c53864c58b00ddeb3a29
COHU,COHU INC,21535,192576106,NASDAQ,False,Domestic Common Stock,Technology,Semiconductor Equipment & Materials,3825,Manufacturing,Instruments For Meas & Testing Of Electricity & Elec Signals,,Measuring and Control Equipment,USD,California; U.S.A,026ad00fae8c6e66ea89fd675dc876f1
CTKB,CYTEK BIOSCIENCES INC,1831915,23285D109,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Devices,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,California; U.S.A,cd87eb5f304be4e750494aa032806ec4
DAIO,DATA I/O CORP,351998,237690102,NASDAQ,False,Domestic Common Stock,Technology,Electronic Components,3825,Manufacturing,Instruments For Meas & Testing Of Electricity & Elec Signals,,Measuring and Control Equipment,USD,Washington; U.S.A,1215af4a0984f510e77f4baa70bd7be0
ELSE,ELECTRO SENSORS INC,351789,285233102,NASDAQ,False,Domestic Common Stock,Technology,Scientific & Technical Instruments,3823,Manufacturing,Industrial Instruments For Measurement Display And Control,,Measuring and Control Equipment,USD,Minnesota; U.S.A,b90382904312ea70bf1808c6def724ee
EYPT,EYEPOINT PHARMACEUTICALS INC,1314102,30233G209 30233G100 74440J101 74439M107,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,Massachusetts; U.S.A,f30062e111158653bfbabcecd2f88bb6
