ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AAON,AAON INC,824142,000360206,NASDAQ,False,Domestic Common Stock,Basic Materials,Building Products & Equipment,3585,Manufacturing,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,,Machinery,USD,Oklahoma; U.S.A,c0bf46c6ecc40b80b63e1c4ef497d6ef
ACLS,AXCELIS TECHNOLOGIES INC,1113232,054540208 054540109,NASDAQ,False,Domestic Common Stock,Technology,Semiconductor Equipment & Materials,3559,Manufacturing,Special Industry Machinery Nec,,Machinery,USD,Massachusetts; U.S.A,eb60bb7b9379e50618bd1ff7cf228de8
ACMR,ACM RESEARCH INC,1680062,00108J109,NASDAQ,False,Domestic Common Stock,Technology,Semiconductor Equipment & Materials,3559,Manufacturing,Special Industry Machinery Nec,,Machinery,USD,California; U.S.A,75258ba2777bd36f7a47c1d2489af421
AIRJ,MONTANA TECHNOLOGIES CORP,1855474,73919C100 612160101,NASDAQ,False,Domestic Common Stock Primary Class,Basic Materials,Building Products & Equipment,3585,Manufacturing,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,,Machinery,USD,Illinois; U.S.A,9179311b0ecb414c232e73fb7fb85b38
ARTW,ARTS WAY MANUFACTURING CO INC,7623,043168103,NASDAQ,False,Domestic Common Stock,Industrials,Farm & Heavy Construction Machinery,3523,Manufacturing,Farm Machinery & Equipment,,Machinery,USD,Iowa; U.S.A,cf3472398c6271292e0ef3d4b6042344
ASML,ASML HOLDING NV,937966,N07059210 N07059186 N07059111,NASDAQ,False,ADR Common Stock,Technology,Semiconductor Equipment & Materials,3559,Manufacturing,Special Industry Machinery Nec,,Machinery,USD,Netherlands,dcd64534a12cf0d23741b98f2757d784
ASTE,ASTEC INDUSTRIES INC,792987,046224101,NASDAQ,False,Domestic Common Stock,Industrials,Farm & Heavy Construction Machinery,3531,Manufacturing,Construction Machinery & Equip,,Machinery,USD,Tennessee; U.S.A,b0f300d495c7e0c85aefcf3283ff5124
ASYS,AMTECH SYSTEMS INC,720500,032332504 032332306,NASDAQ,False,Domestic Common Stock,Technology,Semiconductor Equipment & Materials,3559,Manufacturing,Special Industry Machinery Nec,,Machinery,USD,Arizona; U.S.A,a934bbb19cd64da166ac79aa59455496
AZ,A2Z SMART TECHNOLOGIES CORP,1866030,00249W100 002209104,NASDAQ,False,ADR Common Stock,Industrials,Aerospace & Defense,3569,Manufacturing,General Industrial Machinery & Equipment Nec,,Machinery,USD,Ontario; Canada,a2f3c4e85069faa990ac97cb54cf711b
AZTA,AZENTA INC,933974,114340102 11434A100 11442E102,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Instruments & Supplies,3559,Manufacturing,Special Industry Machinery Nec,,Machinery,USD,Massachusetts; U.S.A,d69e4624b9170682ce1937c9a593a1ec
BKR,BAKER HUGHES CO,1701605,05722G100,NASDAQ,False,Domestic Common Stock,Energy,Oil & Gas Equipment & Services,3533,Manufacturing,Oil & Gas Field Machinery & Equipment,,Machinery,USD,Texas; U.S.A,2c4b3178bdf24fc892a9601d141d6cf7
