ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ARKR,ARK RESTAURANTS CORP,779544,040712101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,New York; U.S.A,550cba00833ad65a8ba10a9afa0a47d5
ATAT,ATOUR LIFESTYLE HOLDINGS LTD,1853717,04965M106,NASDAQ,False,ADR Common Stock,Consumer Cyclical,Lodging,7011,Services,Hotels & Motels,,Restaraunts Hotels Motels,USD,China,fe9f583dfa12c2a78f713c4962bfb8c1
BFI,BURGERFI INTERNATIONAL INC,1723580,12122L101 68373P100 68373P209,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,Florida; U.S.A,afb302d07f9e19bea91ee731677b06bb
BJRI,BJS RESTAURANTS INC,1013488,09180C106 167889104,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,California; U.S.A,e90f4c149ffd03a6e249d740a9d88590
BLMN,BLOOMIN' BRANDS INC,1546417,094235108,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,Florida; U.S.A,153b09da3d102cd773ac18e4a997b8b7
BTBD,BT BRANDS INC,1718224,0557MQ206,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,North Dakota; U.S.A,0eb6f7ee333f3a781a24dd9c8438181f
CAKE,CHEESECAKE FACTORY INC,887596,163072101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,California; U.S.A,851e879531afbfc21c1bf3054f44c799
CBRL,CRACKER BARREL OLD COUNTRY STORE INC,1067294,22410J106 12489V106 224100107,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,Tennessee; U.S.A,e74c7a3651c792c25eba3cd517df0897
CHUY,CHUY'S HOLDINGS INC,1524931,171604101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,Texas; U.S.A,f45ff727d3fd788bfcd67e6763f3b07a
CNTY,CENTURY CASINOS INC,911147,156492100,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Resorts & Casinos,7011,Services,Hotels & Motels,,Restaraunts Hotels Motels,USD,Colorado; U.S.A,6c224c76bf61dc7e555fd9673b1a7be8
CZR,CAESARS ENTERTAINMENT INC,1590895,12769G100 28470R102,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Resorts & Casinos,7011,Services,Hotels & Motels,,Restaraunts Hotels Motels,USD,Nevada; U.S.A,0fdc7cbcdfabf294fc0731abc4c90ab0
DENN,DENNY'S CORP,852772,24869P104 00758B109 338471105,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,South Carolina; U.S.A,52b13b7bfafa7eba74cdc2963b8ac3bd
FAT,FAT BRANDS INC,1705012,30258N105,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,California; U.S.A,97b95d0649ecd74635d3738e0025143b
FLL,FULL HOUSE RESORTS INC,891482,359678109,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Resorts & Casinos,7011,Services,Hotels & Motels,,Restaraunts Hotels Motels,USD,Nevada; U.S.A,4b005e815c8062d41a15afe4006a90f5
FWRG,FIRST WATCH RESTAURANT GROUP INC,1789940,33748L101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,Florida; U.S.A,a9fd53e54d745394831610ef8e704c79
GENK,GEN RESTAURANT GROUP INC,1891856,36870C104,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,California; U.S.A,3dfb2ad295c3f5fd56e40f4483aa8bd0
GTIM,GOOD TIMES RESTAURANTS INC,825324,382140879 382140887 382140408,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,Colorado; U.S.A,f9fa72c57ebab903658534bef8ef404f
HDL,SUPER HI INTERNATIONAL HOLDING LTD,1995306,86803S106,NASDAQ,False,ADR Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,Singapore,0941bbdd2943c4d93e0ff701f26731a0
HTHT,H WORLD GROUP LTD,1483994,44332N106 16949N109,NASDAQ,False,ADR Common Stock,Consumer Cyclical,Lodging,7011,Services,Hotels & Motels,,Restaraunts Hotels Motels,USD,China,66b20bc02b03ba07d8cfc8eaac9320c5
JACK,JACK IN THE BOX INC,807882,466367109 344839204,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,California; U.S.A,912982672c8647e6afe3898c0f9471d6
KRUS,KURA SUSHI USA INC,1772177,501270102,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,California; U.S.A,d224a5035a87e4dd6929aaa43e2f3978
