ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AKLI,AKILI INC,1850266,G8253T106 00974B107,NASDAQ,False,Domestic Common Stock,Healthcare,Health Information Services,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,Massachusetts; U.S.A,d800fef270008170a999f9b933ad33d1
ALGN,ALIGN TECHNOLOGY INC,1097149,016255101,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Devices,3842,Manufacturing,Orthopedic Prosthetic & Surgical Appliances & Supplies,,Medical Equipment,USD,California; U.S.A,afc1fc73126116219ec3697373711a66
AMIX,AUTONOMIX MEDICAL INC,1617867,05330T106,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Devices,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,Texas; U.S.A,21a24ac6f15f92a24d36bef6b62e4d3e
ANGO,ANGIODYNAMICS INC,1275187,03475V101,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Instruments & Supplies,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,New York; U.S.A,622d4bb7e1ce97b4b897f88535ddef29
ANIK,ANIKA THERAPEUTICS INC,898437,035255108,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Devices,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,Massachusetts; U.S.A,fbe8e6f5e56c326d6fb08c51a1219bb6
APYX,APYX MEDICAL CORP,719135,03837C106 10211F100,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Devices,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,Florida; U.S.A,45ce0a3278971a394be94cc2978de304
ARAY,ACCURAY INC,1138723,004397105,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Devices,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,California; U.S.A,7fcee259110838d1db6e8cd232276912
ATEC,ALPHATEC HOLDINGS INC,1350653,02081G201 02081G102,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Devices,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,California; U.S.A,b8dfabf107d5093ab51013e537e42da6
ATRC,ATRICURE INC,1323885,04963C209,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Instruments & Supplies,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,Ohio; U.S.A,093ac45ad41d6d8e77f4f3fc4748ecd3
ATRI,ATRION CORP,701288,049904105 012005104,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Instruments & Supplies,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,Texas; U.S.A,604c0a20feffcc6dc9d62336bf74dc98
AVGR,AVINGER INC,1506928,053734109 053734604 053734208 053734885 053734877,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Instruments & Supplies,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,California; U.S.A,11e285880f8f6ecc9684f606ed2c435e
