ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ABAT,AMERICAN BATTERY TECHNOLOGY CO,1576873,02451V309 02451V101 687157107,NASDAQ,False,Domestic Common Stock,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,Nevada; U.S.A,12b2d562b9640dc1ae29a57cb1ec634e
AMLI,AMERICAN LITHIUM CORP,1699880,027259209 027259100,NASDAQ,False,Canadian Common Stock,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,British Columbia; Canada,15af68251c201b0bab0e800e12478e21
ATLX,ATLAS LITHIUM CORP,1540684,105861306 105861207 105861108,NASDAQ,False,Domestic Common Stock,Basic Materials,Other Precious Metals & Mining,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,California; U.S.A,bab978fb631825ec8b804eea7ee3f6cd
CRML,CRITICAL METALS CORP,1951089,83014E109 G2662B103,NASDAQ,False,ADR Common Stock Primary Class,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,Australia,d21ed6aec1b89267e0de22c3bbfc9535
EU,ENCORE ENERGY CORP,1500881,29259W700 29259W106,NASDAQ,False,Canadian Common Stock,Basic Materials,Uranium,1090,Mining,Miscellaneous Metal Ores,,Non-Metallic and Industrial Metal Mining,USD,Texas; U.S.A,5415b4c41fec0e9fccd8c0999543ea0c
FEAM,5E ADVANCED MATERIALS INC,1888654,33830Q109,NASDAQ,False,Domestic Common Stock,Basic Materials,Specialty Chemicals,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,California; U.S.A,1ba20e0f27049235626a6dc64a121d8e
FMST,FOREMOST LITHIUM RESOURCE & TECHNOLOGY LTD,1935418,345510200 345510101,NASDAQ,False,Canadian Common Stock Primary Class,Basic Materials,Chemicals,1090,Mining,Miscellaneous Metal Ores,,Non-Metallic and Industrial Metal Mining,USD,British Columbia; Canada,2f55fd2cfd1a8374a768cba9857f9513
IONR,IONEER LTD,1896084,46211L101,NASDAQ,False,ADR Common Stock,Basic Materials,Other Industrial Metals & Mining,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,Australia,12b7883941bdb0f7e812d281f8e5c808
IPX,IPERIONX LTD,1898601,44916E100,NASDAQ,False,ADR Common Stock,Basic Materials,Other Industrial Metals & Mining,1090,Mining,Miscellaneous Metal Ores,,Non-Metallic and Industrial Metal Mining,USD,North Carolina; U.S.A,bc3149d9a711e763ef559ad2a6e0b6fb
LGO,LARGO INC,1400438,517097101 517103602 517103404 517103107,NASDAQ,False,Canadian Common Stock,Basic Materials,Other Industrial Metals & Mining,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,Ontario; Canada,e27f36e23a20bcc3da1ca1a3a1ec57b0
LITM,SNOW LAKE RESOURCES LTD,1769697,83336J208,NASDAQ,False,ADR Common Stock,Basic Materials,Other Industrial Metals & Mining,1090,Mining,Miscellaneous Metal Ores,,Non-Metallic and Industrial Metal Mining,USD,Manitoba; Canada,3e778557633e06ccba3e276cd4722645
NB,NIOCORP DEVELOPMENTS LTD,1512228,654484609,NASDAQ,False,Domestic Common Stock Primary Class,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,Colorado; U.S.A,4ada75c12c6fdbbabc7a64dd8e257123
PLL,PIEDMONT LITHIUM INC,1728205,72016P105 720162106,NASDAQ,False,Domestic Common Stock,Basic Materials,Other Industrial Metals & Mining,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,Australia,0e395c1a310c036f1d4ccc4f02f071c7
SGML,SIGMA LITHIUM CORP,1848309,826599102,NASDAQ,False,Canadian Common Stock,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,British Columbia; Canada,dc45dab103f7bb1c540b911122f4dea6
SND,SMART SAND INC,1529628,83191H107,NASDAQ,False,Domestic Common Stock,Energy,Oil & Gas Equipment & Services,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,Texas; U.S.A,36fb84624ef2525a8516a7f578530404
TMC,TMC THE METALS CO INC,1798562,87261Y106 G8598Y109,NASDAQ,False,Domestic Common Stock Primary Class,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,Texas; U.S.A,7fac2241706414d2cf5966e5ff07e7e2
USAU,US GOLD CORP,27093,90291C201 90291C102 238108302 238108401 238108203 238108500,NASDAQ,False,Domestic Common Stock,Basic Materials,Gold,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,Nevada; U.S.A,91aa50bce885d35663b8f21eaeadd266
USLM,UNITED STATES LIME & MINERALS INC,82020,911922102,NASDAQ,False,Domestic Common Stock,Basic Materials,Building Materials,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,Texas; U.S.A,710e269504bad6000a1ff6bc1a1f2377
CRMLW,CRITICAL METALS CORP,1951089,83014E117 G2662B111,NASDAQ,False,ADR Common Stock Warrant,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,Australia,b1870070fa4d4a301ad91d5f5a6b8e9a
FMSTW,FOREMOST LITHIUM RESOURCE & TECHNOLOGY LTD,1935418,345510119,NASDAQ,False,Canadian Common Stock Warrant,Basic Materials,Chemicals,1090,Mining,Miscellaneous Metal Ores,,Non-Metallic and Industrial Metal Mining,USD,British Columbia; Canada,038bf91976d94f6726d72cc25008448f
NIOBW,NIOCORP DEVELOPMENTS LTD,1512228,654484153,NASDAQ,False,Domestic Common Stock Warrant,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,Colorado; U.S.A,8e5ea752a79083b862dea57f95a86fb3
TMCWW,TMC THE METALS CO INC,1798562,G8598Y117 87261Y114,NASDAQ,False,Domestic Common Stock Warrant,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,Texas; U.S.A,dc2264a198d0701ca5be5a6eb4fbbdb7
AESI,ATLAS ENERGY SOLUTIONS INC,1984060,642045108 04930R107,NYSE,False,Domestic Common Stock,Energy,Oil & Gas Equipment & Services,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,Texas; U.S.A,0c9cf3468e55e986368f199e87c6133a
ASM,AVINO SILVER & GOLD MINES LTD,316888,053906103,NYSEMKT,False,Canadian Common Stock,Basic Materials,Other Precious Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,British Columbia; Canada,02a056d01f0bcd89013f162c4745a9bc
BHP,BHP GROUP LTD,811809,088606108 112169602,NYSE,False,ADR Common Stock Primary Class,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,Australia,e8e86ebcf3ca50382c3316352a033b3e
BVN,BUENAVENTURA MINING CO INC,1013131,204448104,NYSE,False,ADR Common Stock,Basic Materials,Other Precious Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,Peru,5d9a4b26a9404ff86558492b4649d056
CCJ,CAMECO CORP,1009001,13321L108,NYSE,False,Canadian Common Stock,Basic Materials,Uranium,1090,Mining,Miscellaneous Metal Ores,,Non-Metallic and Industrial Metal Mining,USD,Saskatchewan; Canada,a00f763cbd3e4861e5b94f27c207ea98
CLF,CLEVELAND-CLIFFS INC,764065,185899101 18683K101 185896107,NYSE,False,Domestic Common Stock,Basic Materials,Steel,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,Ohio; U.S.A,aef2e6ae1ae31d4170d942ad6014cb0f
CMP,COMPASS MINERALS INTERNATIONAL INC,1227654,20451N101,NYSE,False,Domestic Common Stock,Basic Materials,Other Industrial Metals & Mining,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,Kansas; U.S.A,ef03ec65a56f93f95555e6cf0edadbdb
DC,DAKOTA GOLD CORP,1852353,46655E100,NYSEMKT,False,Domestic Common Stock Primary Class,Basic Materials,Gold,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,South Dakota; U.S.A,8b98e8b3c70817da02c7c45d6558455d
DNN,DENISON MINES CORP,1063259,248356107 46052H102,NYSEMKT,False,Canadian Common Stock,Basic Materials,Uranium,1090,Mining,Miscellaneous Metal Ores,,Non-Metallic and Industrial Metal Mining,USD,Ontario; Canada,66e2b933c658058618fbe8c1c9c95a69
EMX,EMX ROYALTY CORP,1285786,26873J107 29843R100,NYSEMKT,False,Canadian Common Stock,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,British Columbia; Canada,a3b342c4cf2cdb2652c64b34a7c6d0e9
ERO,ERO COPPER CORP,1853860,296006109,NYSE,False,Canadian Common Stock,Basic Materials,Copper,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,British Columbia; Canada,9496aa3492d27f7cf56bff3d3a8879bf
FCX,FREEPORT-MCMORAN INC,831259,35671D857 356903104,NYSE,False,Domestic Common Stock Primary Class,Basic Materials,Copper,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,Arizona; U.S.A,da78cd723f9e3da458e8d6c56c4f32a1
GAU,GALIANO GOLD INC,1377757,04341Y105 36352H100 487275109,NYSEMKT,False,Canadian Common Stock,Basic Materials,Gold,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,British Columbia; Canada,a10bb2b5284e0016c16cb6651eac8b45
HBM,HUDBAY MINERALS INC,1322422,443628102,NYSE,False,Canadian Common Stock,Basic Materials,Copper,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,Ontario; Canada,341aaa95cf4525133dd1bfe4de9cc6d9
HL,HECLA MINING CO,719413,422704106,NYSE,False,Domestic Common Stock Primary Class,Basic Materials,Other Precious Metals & Mining,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,Idaho; U.S.A,24cecc302dded4088fd35fcf57ecc272
IE,IVANHOE ELECTRIC INC,1879016,46578C108,NYSEMKT,False,Domestic Common Stock,Basic Materials,Copper,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,British Columbia; Canada,5a5fb13575dffbd2a4c78f177e531cbc
IPI,INTREPID POTASH INC,1421461,46121Y102 46121Y201,NYSE,False,Domestic Common Stock,Basic Materials,Agricultural Inputs,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,Colorado; U.S.A,c644625bd01f64afe83e965a34092ac5
KNF,KNIFE RIVER CORP,1955520,498894104,NYSE,False,Domestic Common Stock,Basic Materials,Building Materials,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,North Dakota; U.S.A,dce6608bb32a76911444470de2140ebd
LAAC,LITHIUM AMERICAS (ARGENTINA) CORP,1440972,53680Q207 53681K100,NYSE,False,ADR Common Stock,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,British Columbia; Canada,fe96317a7df36208f9e22316cf70d3d8
LAC,LITHIUM AMERICAS CORP,1966983,53681J103,NYSE,False,ADR Common Stock,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,British Columbia; Canada,66445fc64160d9b25e700657d8eb1a5f
LEU,CENTRUS ENERGY CORP,1065059,15643U104 90333E207 90333E108,NYSEMKT,False,Domestic Common Stock,Basic Materials,Uranium,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,Maryland; U.S.A,97573314dc13ef96ace42684188594b2
