ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ACDC,PROFRAC HOLDING CORP,1881487,74319N100,NASDAQ,False,Domestic Common Stock Primary Class,Energy,Oil & Gas Equipment & Services,1389,Mining,Oil & Gas Field Services Nec,,Petroleum and Natural Gas,USD,Texas; U.S.A,ffbb9204fe8db1eb36360b645b9cd8e2
APA,APA CORP,1841666,037411105 03743Q108 037411600,NASDAQ,False,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,6dc242ed4390d515e354103c8ec6a497
BROG,BROOGE ENERGY LTD,1774983,G9145A107 G1611B107,NASDAQ,False,Domestic Common Stock Primary Class,Energy,Oil & Gas Midstream,2911,Manufacturing,Petroleum Refining,,Petroleum and Natural Gas,USD,United Arab Emirates,7dfe3e4631e358d31be35da13a157c11
BRY,BERRY CORP (BRY),1705873,08579X101,NASDAQ,False,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,bb64a1423b1e2578a17c1d417b0f63fd
CHK,CHESAPEAKE ENERGY CORP,895126,165167735,NASDAQ,False,Domestic Common Stock Primary Class,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Oklahoma; U.S.A,6c5fabed19061e3c69a29281e3584383
CHRD,CHORD ENERGY CORP,1486159,674215207,NASDAQ,False,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,e4d4a978a6a4f9bc1a795c9cfb37ef72
CLMT,CALUMET SPECIALTY PRODUCTS PARTNERS LP,1340122,131476103,NASDAQ,False,Domestic Common Stock,Energy,Oil & Gas E&P,2911,Manufacturing,Petroleum Refining,,Petroleum and Natural Gas,USD,Indiana; U.S.A,e5caf51c23791a16e5c7fbec3525f130
DMLP,DORCHESTER MINERALS LP,1172358,25820R105,NASDAQ,False,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,7080a2c90af6590141c4990506b0570d
DWSN,DAWSON GEOPHYSICAL CO,799165,239360100 872417308 872417100,NASDAQ,False,Domestic Common Stock,Energy,Oil & Gas Equipment & Services,1382,Mining,Oil & Gas Field Exploration Services,,Petroleum and Natural Gas,USD,Texas; U.S.A,3218d7a57cd15c33e2f382028e021a3a
EPSN,EPSILON ENERGY LTD,1726126,294375209,NASDAQ,False,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,67de12bdbb4bfae393e278f8239769fd
