ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
CDTG,CDT ENVIRONMENTAL TECHNOLOGY INVESTMENT HOLDINGS LTD,1793895,G2030P107,NASDAQ,False,ADR Common Stock,Industrials,Waste Management,4950,Transportation Communications Electric Gas And Sanitary Service,Sanitary Services,,Almost Nothing,USD,China,d8450d138e12fade9519b67338581220
CWST,CASELLA WASTE SYSTEMS INC,911177,147448104,NASDAQ,False,Domestic Common Stock,Industrials,Waste Management,4953,Transportation Communications Electric Gas And Sanitary Service,Refuse Systems,,Almost Nothing,USD,Vermont; U.S.A,d11cccbe196fd96bb35f539d1381bd5c
ESGL,ESGL HOLDINGS LTD,1957538,37187C100 G3R95P108,NASDAQ,False,ADR Common Stock Primary Class,Industrials,Waste Management,4953,Transportation Communications Electric Gas And Sanitary Service,Refuse Systems,,Almost Nothing,USD,Singapore,52eb8bfbadd6d1f45563ff883f0870ed
PESI,PERMA FIX ENVIRONMENTAL SERVICES INC,891532,714157203 714157104,NASDAQ,False,Domestic Common Stock,Industrials,Waste Management,4955,Transportation Communications Electric Gas And Sanitary Service,Hazardous Waste Management,,Almost Nothing,USD,Georgia; U.S.A,428a3cb6c957011c6428ade4be385c7f
SRCL,STERICYCLE INC,861878,858912108,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Waste Management,4955,Transportation Communications Electric Gas And Sanitary Service,Hazardous Waste Management,,Almost Nothing,USD,Illinois; U.S.A,f2f1e86569ce77c08a9086aaa1649b88
VIVK,VIVAKOR INC,1450704,92852R403 92852R304 92852R106 92852R205,NASDAQ,False,Domestic Common Stock,Energy,Oil & Gas Integrated,4953,Transportation Communications Electric Gas And Sanitary Service,Refuse Systems,,Almost Nothing,USD,California; U.S.A,02b620c5235c24741bcf046f2c1d9e58
ESGLW,ESGL HOLDINGS LTD,1957538,G3R95P116 37187C118,NASDAQ,False,ADR Common Stock Warrant,Industrials,Waste Management,4953,Transportation Communications Electric Gas And Sanitary Service,Refuse Systems,,Almost Nothing,USD,Singapore,851f5702c8e4c71fed66c7699f476f2c
AES,AES CORP,874761,00130H105,NYSE,False,Domestic Common Stock Primary Class,Utilities,Utilities - Diversified,4991,Transportation Communications Electric Gas And Sanitary Service,Cogeneration Services & Small Power Producers,,Almost Nothing,USD,Virginia; U.S.A,1af010d11f85671ed6186e704d542c42
AMBI,AMBIPAR EMERGENCY RESPONSE,1937441,G32219100 G02532102,NYSEMKT,False,ADR Common Stock Primary Class,Industrials,Waste Management,4955,Transportation Communications Electric Gas And Sanitary Service,Hazardous Waste Management,,Almost Nothing,USD,Brazil,4cafbbef0264ee3315f1bb7f7d254df9
AWX,AVALON HOLDINGS CORP,1061069,05343P109,NYSEMKT,False,Domestic Common Stock,Industrials,Waste Management,4953,Transportation Communications Electric Gas And Sanitary Service,Refuse Systems,,Almost Nothing,USD,Ohio; U.S.A,134581ab3bed5010363e78c2e1a70df2
CLH,CLEAN HARBORS INC,822818,184496107,NYSE,False,Domestic Common Stock,Industrials,Waste Management,4955,Transportation Communications Electric Gas And Sanitary Service,Hazardous Waste Management,,Almost Nothing,USD,Massachusetts; U.S.A,0888369b639fd827d400659314ef538f
GFL,GFL ENVIRONMENTAL INC,1780232,36168Q104,NYSE,False,Canadian Common Stock Primary Class,Industrials,Waste Management,4953,Transportation Communications Electric Gas And Sanitary Service,Refuse Systems,,Almost Nothing,USD,Ontario; Canada,d1edf0c64010ba8ed83f3ab71fdbfe37
LICY,LI-CYCLE HOLDINGS CORP,1828811,50202P105 G7008A115,NYSE,False,ADR Common Stock Primary Class,Industrials,Waste Management,4955,Transportation Communications Electric Gas And Sanitary Service,Hazardous Waste Management,,Almost Nothing,USD,Ontario; Canada,800882f167fe3554a57aff55c0d5e3b7
RSG,REPUBLIC SERVICES INC,1060391,760759100,NYSE,False,Domestic Common Stock,Industrials,Waste Management,4953,Transportation Communications Electric Gas And Sanitary Service,Refuse Systems,,Almost Nothing,USD,Arizona; U.S.A,0cef7f1e75a9e9903140c5070e1fdc9e
WCN,WASTE CONNECTIONS INC,1318220,94106B101 941053100,NYSE,False,Domestic Common Stock,Industrials,Waste Management,4953,Transportation Communications Electric Gas And Sanitary Service,Refuse Systems,,Almost Nothing,USD,Ontario; Canada,2a2de32047e49c40d3305056b078d003
WM,WASTE MANAGEMENT INC,823768,94106L109 902917103,NYSE,False,Domestic Common Stock,Industrials,Waste Management,4953,Transportation Communications Electric Gas And Sanitary Service,Refuse Systems,,Almost Nothing,USD,Texas; U.S.A,e7fa518bee6c5487a12a7cac200afbe8
AMBI.WS,AMBIPAR EMERGENCY RESPONSE,1937441,G32219126 G02532110,NYSEMKT,False,ADR Common Stock Warrant,Industrials,Waste Management,4955,Transportation Communications Electric Gas And Sanitary Service,Hazardous Waste Management,,Almost Nothing,USD,Brazil,fb449176b0c9be1bce0847113d2f1928
