ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
DSY,BIG TREE CLOUD HOLDINGS LTD,1999297,72942P104,NASDAQ,False,ADR Common Stock Primary Class,Consumer Cyclical,Packaging & Containers,2670,Manufacturing,Converted Paper & Paperboard Prods (No Contaners/Boxes),,Business Supplies,USD,China,fe0c7dc35537a9b0c8227c01ccb2ff24
ILAG,INTELLIGENT LIVING APPLICATION GROUP INC,1814963,G4804S101,NASDAQ,False,ADR Common Stock,Basic Materials,Building Products & Equipment,2540,Manufacturing,Partitions Shelvg Lockers & Office & Store Fixtures,,Business Supplies,USD,Hong Kong,f0e8a70e553a318877782fcfcdc3fc76
MERC,MERCER INTERNATIONAL INC,1333274,588056101,NASDAQ,False,Domestic Common Stock,Basic Materials,Paper & Paper Products,2611,Manufacturing,Pulp Mills,,Business Supplies,USD,British Columbia; Canada,3d607259778fdbce65fa8e04b347ebb4
MLKN,MILLERKNOLL INC,66382,600544100,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,2520,Manufacturing,Office Furniture,,Business Supplies,USD,Michigan; U.S.A,acb723314a7dbbad098f01ac52dfc3f8
PTVE,PACTIV EVERGREEN INC,1527508,69526K105,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,2673,Manufacturing,Plastics Foil & Coated Paper Bags,,Business Supplies,USD,Illinois; U.S.A,65f80b5b2dc49c1a45eebb2c77b2a2b3
REYN,REYNOLDS CONSUMER PRODUCTS INC,1786431,76171L106,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,2673,Manufacturing,Plastics Foil & Coated Paper Bags,,Business Supplies,USD,Illinois; U.S.A,6c935e043cce2d1d122c2a94520103aa
VIRC,VIRCO MFG CORPORATION,751365,927651109,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,2531,Manufacturing,Public Bldg & Related Furniture,,Business Supplies,USD,California; U.S.A,489cecf037c3e80b71b2caa360dab2d6
DSYWW,BIG TREE CLOUD HOLDINGS LTD,1999297,72942P120,NASDAQ,False,ADR Common Stock Warrant,Consumer Cyclical,Packaging & Containers,2670,Manufacturing,Converted Paper & Paperboard Prods (No Contaners/Boxes),,Business Supplies,USD,China,e19af7222b8aa8644aa724f00e0a5458
AVY,AVERY DENNISON CORP,8818,053611109,NYSE,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,2670,Manufacturing,Converted Paper & Paperboard Prods (No Contaners/Boxes),,Business Supplies,USD,California; U.S.A,91201b78b3a96c93e6e562a47e0776f7
CLW,CLEARWATER PAPER CORP,1441236,18538R103,NYSE,False,Domestic Common Stock,Basic Materials,Paper & Paper Products,2631,Manufacturing,Paperboard Mills,,Business Supplies,USD,Washington; U.S.A,e302b45a57b79b3416ae925f01383072
EBF,ENNIS INC,33002,293389102,NYSE,False,Domestic Common Stock,Industrials,Business Equipment & Supplies,2761,Manufacturing,Manifold Business Forms,,Business Supplies,USD,Texas; U.S.A,15beb0da9460f74076d652a92a8b1e46
