ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AACG,ATA CREATIVITY GLOBAL,1420529,00211V106,NASDAQ,False,ADR Common Stock,Consumer Defensive,Education & Training Services,8200,Services,Services-Educational Services,,Personal Services,USD,China,11d86760259c84b5395bb0361bb98b66
AFYA,AFYA LTD,1771007,G01125106,NASDAQ,False,ADR Common Stock,Consumer Defensive,Education & Training Services,8200,Services,Services-Educational Services,,Personal Services,USD,Brazil,7a8eefe92bc55ec7f7aa8c6dc766c5a3
APEI,AMERICAN PUBLIC EDUCATION INC,1201792,02913V103,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Education & Training Services,8200,Services,Services-Educational Services,,Personal Services,USD,West Virginia; U.S.A,2c1f42d7620c0750b2be2ee98a703e37
AREC,AMERICAN RESOURCES CORP,1590715,02927U208,NASDAQ,False,Domestic Common Stock,Basic Materials,Coking Coal,7600,Services,Services-Miscellaneous Repair Services,,Personal Services,USD,Indiana; U.S.A,73fd4bc8d911d3978faf6995e4ee61c3
BOXL,BOXLIGHT CORP,1624512,103197109 103197208,NASDAQ,False,Domestic Common Stock,Technology,Communication Equipment,8200,Services,Services-Educational Services,,Personal Services,USD,Georgia; U.S.A,96b9c36d5425289910c3af21ebbfcff1
BTCT,BTC DIGITAL LTD,1796514,G6055H114 28138X103 28138X202 G6055H148 G6055H155,NASDAQ,False,ADR Common Stock Primary Class,Consumer Defensive,Education & Training Services,8200,Services,Services-Educational Services,,Personal Services,USD,China,d4a5fc67693f4d7b6d5e893bbd86db22
CAR,AVIS BUDGET GROUP INC,723612,053774105 151313103 126545102,NASDAQ,False,Domestic Common Stock,Industrials,Rental & Leasing Services,7510,Services,Services-Auto Rental & Leasing (No Drivers),,Personal Services,USD,New Jersey; U.S.A,db6d45810d59feb323212c1d4a97865b
CLEU,CHINA LIBERAL EDUCATION HOLDINGS LTD,1775085,G2161Y109 G2161Y117,NASDAQ,False,ADR Common Stock,Consumer Defensive,Education & Training Services,8200,Services,Services-Educational Services,,Personal Services,USD,China,553ead79f6b4f982326238966fee3b2d
CRAI,CRA INTERNATIONAL INC,1053706,12618T105 159852102,NASDAQ,False,Domestic Common Stock,Industrials,Consulting Services,8111,Services,Services-Legal Services,,Personal Services,USD,Massachusetts; U.S.A,ca172e15c4ee5ed6b956af8f794135a9
DLPN,DOLPHIN ENTERTAINMENT INC,1282224,25686H209 25686H100 25688M107,NASDAQ,False,Domestic Common Stock Primary Class,Communication Services,Advertising Agencies,7200,Services,Services-Personal Services,,Personal Services,USD,Florida; U.S.A,dcfbfbff2dcb8a1a4ad055527a3acc02
