ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AEI,ALSET INC,1750106,02116A104 02115D208 40438A105 02115D109,NASDAQ,False,Domestic Common Stock,Real Estate,Real Estate - Development,6500,Finance Insurance And Real Estate,Real Estate,,Real Estate,USD,Maryland; U.S.A,2b3edd51fc40ed891b01c81aa2df2dad
AFCG,AFC GAMMA INC,1822523,00109K105,NASDAQ,False,Domestic Common Stock,Real Estate,REIT - Specialty,6500,Finance Insurance And Real Estate,Real Estate,,Real Estate,USD,Florida; U.S.A,e3af9e28c859c176d8d16f29c89f07b4
AIRE,REALPHA TECH CORP,1859199,75607T105,NASDAQ,False,Domestic Common Stock,Real Estate,Real Estate Services,6500,Finance Insurance And Real Estate,Real Estate,,Real Estate,USD,Ohio; U.S.A,5042fabcc764573f83fc5b2e420f69ac
CIGI,COLLIERS INTERNATIONAL GROUP INC,913353,194693107 33761N109,NASDAQ,False,Canadian Common Stock,Real Estate,Real Estate Services,6500,Finance Insurance And Real Estate,Real Estate,,Real Estate,USD,Ontario; Canada,ba19a379938c29061319644b0e5f07fe
CRESY,CRESUD INC,1034957,226406106,NASDAQ,False,ADR Common Stock Primary Class,Industrials,Conglomerates,6500,Finance Insurance And Real Estate,Real Estate,,Real Estate,USD,Argentina,0c44fbbefc29de2435a3afdaafcd5e73
CWD,CALIBERCOS INC,1627282,13000T109,NASDAQ,False,Domestic Common Stock,Financial Services,Asset Management,6500,Finance Insurance And Real Estate,Real Estate,,Real Estate,USD,Arizona; U.S.A,93aa94499a768df95b6cf140233052fd
DUO,FANGDD NETWORK GROUP LTD,1750593,30712L109 30712L307 30712L208,NASDAQ,False,ADR Common Stock,Real Estate,Real Estate Services,6500,Finance Insurance And Real Estate,Real Estate,,Real Estate,USD,China,36c9f9445d3b580d613b2b2ff2daeb5c
EXPI,EXP WORLD HOLDINGS INC,1495932,30212W100,NASDAQ,False,Domestic Common Stock,Real Estate,Real Estate Services,6531,Finance Insurance And Real Estate,Real Estate Agents & Managers (For Others),,Real Estate,USD,Washington; U.S.A,f40be5642a1d30cd4d992540bbf8e152
FRPH,FRP HOLDINGS INC,844059,30292L107 70337B102 30262E109,NASDAQ,False,Domestic Common Stock,Real Estate,Real Estate Services,6500,Finance Insurance And Real Estate,Real Estate,,Real Estate,USD,Florida; U.S.A,800838df84c32387abfacf652593e673
FSV,FIRSTSERVICE CORP,1637810,33767E202 33767E103,NASDAQ,False,Canadian Common Stock,Real Estate,Real Estate Services,6500,Finance Insurance And Real Estate,Real Estate,,Real Estate,USD,Ontario; Canada,b77f9ddd2c238e93caad92bcb98cc25d
