ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ABLV,ABLE VIEW GLOBAL INC,1957489,G4233U107 G1149B108,NASDAQ,False,ADR Common Stock Primary Class,Communication Services,Advertising Agencies,5960,Retail Trade,Retail-Nonstore Retailers,,Retail,USD,China,ec98e5ae5d1e467b6f2bddd2071f9cd1
AMZN,AMAZON COM INC,1018724,023135106,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Internet Retail,5961,Retail Trade,Retail-Catalog & Mail-Order Houses,,Retail,USD,Washington; U.S.A,2d771e9bff7a710c52906bf5373c73bf
ARHS,ARHAUS INC,1875444,04035M102,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Home Improvement Retail,5712,Retail Trade,Retail-Furniture Stores,,Retail,USD,Ohio; U.S.A,341555c2d825a338a3a37849e81adb19
ARKO,ARKO CORP,1823794,041242108 42087L101 42087L200,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Specialty Retail,5412,Retail Trade,Retail-Convenience Stores,,Retail,USD,Virginia; U.S.A,616aaf19f67c7a3b2a4e58562648f13b
ASO,ACADEMY SPORTS & OUTDOORS INC,1817358,00402L107,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Specialty Retail,5940,Retail Trade,Retail-Miscellaneous Shopping Goods Stores,,Retail,USD,Texas; U.S.A,bc92e883a5e3f2a2c8dd7e2662dbc5ec
BGFV,BIG 5 SPORTING GOODS CORP,1156388,08915P101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Specialty Retail,5940,Retail Trade,Retail-Miscellaneous Shopping Goods Stores,,Retail,USD,California; U.S.A,67f2003843b12f9159a62a892a85377f
BZUN,BAOZUN INC,1625414,06684L103,NASDAQ,False,ADR Common Stock,Consumer Cyclical,Internet Retail,5961,Retail Trade,Retail-Catalog & Mail-Order Houses,,Retail,USD,China,ee8f5fdf1034453e72e20a2567833cc3
CASY,CASEYS GENERAL STORES INC,726958,147528103,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Specialty Retail,5500,Retail Trade,Retail-Auto Dealers & Gasoline Stations,,Retail,USD,Iowa; U.S.A,492b6dc89c95d682cb65e3a61c501b3a
CDW,CDW CORP,1402057,12514G108,NASDAQ,False,Domestic Common Stock,Technology,Information Technology Services,5961,Retail Trade,Retail-Catalog & Mail-Order Houses,,Retail,USD,Illinois; U.S.A,e57bc8c27dc3e5c46d68bd0823ec3fdb
CJJD,CHINA JO-JO DRUGSTORES INC,1856084,16949A206 G2124G112 G2124G104 G2124G120 16949A107,NASDAQ,False,ADR Common Stock,Consumer Defensive,Pharmaceutical Retailers,5912,Retail Trade,Retail-Drug Stores And Proprietary Stores,,Retail,USD,China,00b8b2958d223ff1843c61e33f031f87
CNXN,PC CONNECTION INC,1050377,69318J100,NASDAQ,False,Domestic Common Stock,Technology,Electronics & Computer Distribution,5961,Retail Trade,Retail-Catalog & Mail-Order Houses,,Retail,USD,New Hampshire; U.S.A,f2fadf0229a01cb1be3939b5ed2caa8f
CONN,CONNS INC,1223389,208242107,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Specialty Retail,5731,Retail Trade,Retail-Radio Tv & Consumer Electronics Stores,,Retail,USD,Texas; U.S.A,cf5894001e8c95b77252a3f9446e3207
COST,COSTCO WHOLESALE CORP,909832,22160K105 22160Q102 74143W102,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Discount Stores,5331,Retail Trade,Retail-Variety Stores,,Retail,USD,Washington; U.S.A,f4f79ea91e3af910595b39956b2f16c5
CPRT,COPART INC,900075,217204106,NASDAQ,False,Domestic Common Stock,Industrials,Specialty Business Services,5500,Retail Trade,Retail-Auto Dealers & Gasoline Stations,,Retail,USD,Texas; U.S.A,cc244cbf426f76c8bf16be96c0a0c6d1
CRMT,AMERICAS CARMART INC,799850,03062T105 228359105 228216107,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Auto & Truck Dealerships,5500,Retail Trade,Retail-Auto Dealers & Gasoline Stations,,Retail,USD,Arkansas; U.S.A,8cc3a4c1e16507d75953ecdfe237c31e
CTRN,CITI TRENDS INC,1318484,17306X102,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Apparel Retail,5600,Retail Trade,Retail-Apparel & Accessory Stores,,Retail,USD,Georgia; U.S.A,3725ec63414b240814176840f3e21baa
DBGI,DIGITAL BRANDS GROUP INC,1668010,25401N101 25401N309 25401N408,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Apparel Retail,5600,Retail Trade,Retail-Apparel & Accessory Stores,,Retail,USD,California; U.S.A,3138831c263ec587288b67df6e89b709
DIBS,1STDIBSCOM INC,1600641,320551104,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Internet Retail,5961,Retail Trade,Retail-Catalog & Mail-Order Houses,,Retail,USD,New York; U.S.A,b390f81e574a327c96945c789e8aa706
DLTH,DULUTH HOLDINGS INC,1649744,26443V101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Apparel Retail,5600,Retail Trade,Retail-Apparel & Accessory Stores,,Retail,USD,Wisconsin; U.S.A,68f80db022824664dbad270d6723d4a7
DLTR,DOLLAR TREE INC,935703,256746108 256747106,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Discount Stores,5331,Retail Trade,Retail-Variety Stores,,Retail,USD,Virginia; U.S.A,2e356b049d3b4ef6ffef269437eca5eb
DNUT,KRISPY KREME INC,1857154,50101L106,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Grocery Stores,5400,Retail Trade,Retail-Food Stores,,Retail,USD,North Carolina; U.S.A,91de6592a976cf85b2790a61a126b82b
DXLG,DESTINATION XL GROUP INC,813298,25065K104 148711302 148711104 25057L102,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Apparel Retail,5651,Retail Trade,Retail-Family Clothing Stores,,Retail,USD,Massachusetts; U.S.A,780b5653708dbf090c9d1bd3a9c675c8
EVGO,EVGO INC,1821159,30052F100 18716C100,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Specialty Retail,5990,Retail Trade,Retail-Retail Stores Nec,,Retail,USD,California; U.S.A,fa7fceb84278236aa43004d282782cb6
EZFL,EZFILL HOLDINGS INC,1817004,302314208 302314307,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,5500,Retail Trade,Retail-Auto Dealers & Gasoline Stations,,Retail,USD,Florida; U.S.A,f2190ba54ed7a00fc7e78a8083393dd1
EZPW,EZCORP INC,876523,302301106,NASDAQ,False,Domestic Common Stock,Financial Services,Credit Services,5900,Retail Trade,Retail-Miscellaneous Retail,,Retail,USD,Texas; U.S.A,e45f22b8e4f87e667ba268cafd317acb
FAST,FASTENAL CO,815556,311900104,NASDAQ,False,Domestic Common Stock,Industrials,Industrial Distribution,5200,Retail Trade,Retail-Building Materials Hardware Garden Supply,,Retail,USD,Minnesota; U.S.A,4b62f4b9574330cd77e5fd6d64568b5a
FCFS,FIRSTCASH HOLDINGS INC,840489,33767D105 33768G107 31942D107,NASDAQ,False,Domestic Common Stock,Financial Services,Credit Services,5900,Retail Trade,Retail-Miscellaneous Retail,,Retail,USD,Texas; U.S.A,390f0b22b8a4662ec67f7a4d12f538fa
FIVE,FIVE BELOW INC,1177609,33829M101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Specialty Retail,5331,Retail Trade,Retail-Variety Stores,,Retail,USD,Pennsylvania; U.S.A,9e7132bbe4b099e587ed27c1e5e52a56
FLWS,1 800 FLOWERS COM INC,1084869,68243Q106,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Specialty Retail,5990,Retail Trade,Retail-Retail Stores Nec,,Retail,USD,New York; U.S.A,f61f9be26a9f423992b500b38a17c830
GCT,GIGACLOUD TECHNOLOGY INC,1857816,G38644103,NASDAQ,False,Domestic Common Stock,Technology,Software - Infrastructure,5961,Retail Trade,Retail-Catalog & Mail-Order Houses,,Retail,USD,Hong Kong,dd9b1cf68b8271481b36bbdd2f57fed5
GO,GROCERY OUTLET HOLDING CORP,1771515,39874R101,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Grocery Stores,5411,Retail Trade,Retail-Grocery Stores,,Retail,USD,California; U.S.A,c275e93ec5a788d385ca0c54c0ba4f6a
GORV,LAZYDAYS HOLDINGS INC,1721741,52110H100,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Auto & Truck Dealerships,5500,Retail Trade,Retail-Auto Dealers & Gasoline Stations,,Retail,USD,New York; U.S.A,9bc217f897b70ea1bccae22c242e6d54
GRWG,GROWGENERATION CORP,1604868,39986L109,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Specialty Retail,5200,Retail Trade,Retail-Building Materials Hardware Garden Supply,,Retail,USD,Colorado; U.S.A,4903a78a81ef909c93ae80f3f1f75a80
HEPS,D-MARKET ELECTRONIC SERVICES & TRADING,1850235,23292B104,NASDAQ,False,ADR Common Stock,Consumer Cyclical,Internet Retail,5961,Retail Trade,Retail-Catalog & Mail-Order Houses,,Retail,USD,Turkey,d23123cc640760cac900dc87c5f4dd94
HIBB,HIBBETT INC,1017480,428567101 428565105,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Apparel Retail,5940,Retail Trade,Retail-Miscellaneous Shopping Goods Stores,,Retail,USD,Alabama; U.S.A,ebb455292a6e2c4602084e58ffa49da1
HITI,HIGH TIDE INC,1847409,42981E401 42981E104,NASDAQ,False,Canadian Common Stock,Consumer Defensive,Pharmaceutical Retailers,5990,Retail Trade,Retail-Retail Stores Nec,,Retail,USD,Canada (Federal Level),d7cfff453125a8b3b0e74a32311bb1ad
