ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AREB,AMERICAN REBEL HOLDINGS INC,1648087,02919L208 02919L307 02919L109,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Footwear & Accessories,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,Tennessee; U.S.A,8a8cb387229fc3df3c34241e5f57e44d
DSWL,DESWELL INDUSTRIES INC,946936,250639101,NASDAQ,False,ADR Common Stock,Technology,Electronic Components,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,China,64b602982c2aa74f6d53aedee92c4994
ENTG,ENTEGRIS INC,1101302,29362U104,NASDAQ,False,Domestic Common Stock,Technology,Semiconductor Equipment & Materials,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,Massachusetts; U.S.A,11c2998a882e181418aa24940962b787
FORD,FORWARD INDUSTRIES INC,38264,349862300 349862102,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Footwear & Accessories,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,Florida; U.S.A,5c1857aa5f253d19c9be08451eef64a2
KRT,KARAT PACKAGING INC,1758021,48563L101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,United States; U.S.A,62ef1a1a25558ca956d9e8535afbb172
LWLG,LIGHTWAVE LOGIC INC,1325964,532275104,NASDAQ,False,Domestic Common Stock,Basic Materials,Specialty Chemicals,3080,Manufacturing,Miscellaneous Plastics Products,,Rubber and Plastic Products,USD,Colorado; U.S.A,6f7d38dff3537aeaf9096f760b0340f8
NWL,NEWELL BRANDS INC,814453,651229106,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Household & Personal Products,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,Georgia; U.S.A.,965be186d6e8e85ae077a4b90091af6c
RTC,BAIJIAYUN GROUP LTD,1381074,G3704F102 G3704F110 G0704V103,NASDAQ,False,ADR Common Stock,Technology,Software - Application,3081,Manufacturing,Unsupported Plastics Film & Sheet,,Rubber and Plastic Products,USD,China,40482f7b7af2918ad6da1272aa7f6a9f
SWIM,LATHAM GROUP INC,1833197,51819L107,NASDAQ,False,Domestic Common Stock,Basic Materials,Building Products & Equipment,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,New York; U.S.A,16a5b4e5cd61668c7c59dc5934d7478b
YHGJ,YUNHONG GREEN CTI LTD,1042187,125961300 98873Q100 125961102,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Specialty Retail,3060,Manufacturing,Fabricated Rubber Products Nec,,Rubber and Plastic Products,USD,Illinois; U.S.A,c9864c1958ccc296349b6f4bbd80b224
AREBW,AMERICAN REBEL HOLDINGS INC,1648087,02919L117,NASDAQ,False,Domestic Common Stock Warrant,Consumer Cyclical,Footwear & Accessories,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,Tennessee; U.S.A,7e0bcc0e88d0cd755d2bf3ca90c3fdc5
ATR,APTARGROUP INC,896622,038336103,NYSE,False,Domestic Common Stock,Healthcare,Medical Instruments & Supplies,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,Illinois; U.S.A,86b74b32f1b1e62986148344f995b335
AWI,ARMSTRONG WORLD INDUSTRIES INC,7431,04247X102 04247X110,NYSE,False,Domestic Common Stock,Basic Materials,Building Products & Equipment,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,Pennsylvania; U.S.A,d8db60d7c756ca70fb3ecae56db420d2
AZEK,AZEK CO INC,1782754,05478C105,NYSE,False,Domestic Common Stock,Basic Materials,Building Products & Equipment,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,Illinois; U.S.A,0c0c9adcd6c91f7987eef52887e893bb
BERY,BERRY GLOBAL GROUP INC,1378992,08579W103,NYSE,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,Indiana; U.S.A,c3d5b662efc6502b86cd7c265533e7e3
CMT,CORE MOLDING TECHNOLOGIES INC,1026655,218683100,NYSEMKT,False,Domestic Common Stock,Basic Materials,Specialty Chemicals,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,Ohio; U.S.A,b606dfa1394d4cab42abc72f0bd2f3fc
CSL,CARLISLE COMPANIES INC,790051,142339100,NYSE,False,Domestic Common Stock,Basic Materials,Building Products & Equipment,3060,Manufacturing,Fabricated Rubber Products Nec,,Rubber and Plastic Products,USD,Arizona; U.S.A,15ce3423eab9eb7b1928ca476a94ea5c
