ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
FRZA,FORZA X1 INC,1901305,34988N104,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Recreational Vehicles,3730,Manufacturing,Ship & Boat Building & Repairing,,Shipbuilding Railroad Equipment,USD,Florida; U.S.A,24ccc517f3838859c108cd050fa75a3a
MBUU,MALIBU BOATS INC,1590976,56117J100,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Recreational Vehicles,3730,Manufacturing,Ship & Boat Building & Repairing,,Shipbuilding Railroad Equipment,USD,Tennessee; U.S.A,09afcd0386242a67ba0cfe26b387db4d
MCFT,MASTERCRAFT BOAT HOLDINGS INC,1638290,57637H103 55276F107,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Recreational Vehicles,3730,Manufacturing,Ship & Boat Building & Repairing,,Shipbuilding Railroad Equipment,USD,Tennessee; U.S.A,d041ca0d95ca5d33f8aa7388e0dec7b6
RAIL,FREIGHTCAR AMERICA INC,1320854,357023100,NASDAQ,False,Domestic Common Stock,Industrials,Railroads,3743,Manufacturing,Railroad Equipment,,Shipbuilding Railroad Equipment,USD,Illinois; U.S.A,a53f54f51403100810b04c2d0a07e734
RVSN,RAIL VISION LTD,1743905,M8186D106 M8186D122,NASDAQ,False,ADR Common Stock Primary Class,Industrials,Railroads,3743,Manufacturing,Railroad Equipment,,Shipbuilding Railroad Equipment,USD,Israel,9b64d56d9b6f66d5aec2e91d5549548b
VEEE,TWIN VEE POWERCATS CO,1855509,90177C101,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Recreational Vehicles,3730,Manufacturing,Ship & Boat Building & Repairing,,Shipbuilding Railroad Equipment,USD,Florida; U.S.A,761f70a1517aca70211eb64ec835bd35
VMAR,VISION MARINE TECHNOLOGIES INC,1813783,C96657116,NASDAQ,False,ADR Common Stock,Consumer Cyclical,Recreational Vehicles,3730,Manufacturing,Ship & Boat Building & Repairing,,Shipbuilding Railroad Equipment,USD,Canada (Federal Level),54f9299d53c1e2853aac4b14725bef79
RVSNW,RAIL VISION LTD,1743905,M8186D114,NASDAQ,False,ADR Common Stock Warrant,Industrials,Railroads,3743,Manufacturing,Railroad Equipment,,Shipbuilding Railroad Equipment,USD,Israel,0647188151dfeede1f7a8dd15ec773a2
GBX,GREENBRIER COMPANIES INC,923120,393657101,NYSE,False,Domestic Common Stock,Industrials,Railroads,3743,Manufacturing,Railroad Equipment,,Shipbuilding Railroad Equipment,USD,Oregon; U.S.A,9d66960d395c99b4fd5d10125051fdc1
GD,GENERAL DYNAMICS CORP,40533,369550108 063679542,NYSE,False,Domestic Common Stock,Industrials,Aerospace & Defense,3730,Manufacturing,Ship & Boat Building & Repairing,,Shipbuilding Railroad Equipment,USD,Virginia; U.S.A,1ddb9758315e98af06e829d53bc7bd4f
HII,HUNTINGTON INGALLS INDUSTRIES INC,1501585,446413106,NYSE,False,Domestic Common Stock,Industrials,Aerospace & Defense,3730,Manufacturing,Ship & Boat Building & Repairing,,Shipbuilding Railroad Equipment,USD,Virginia; U.S.A,5b8287a6c5fef6f7f62368046e2e15c3
MPX,MARINE PRODUCTS CORP,1129155,568427108,NYSE,False,Domestic Common Stock,Consumer Cyclical,Recreational Vehicles,3730,Manufacturing,Ship & Boat Building & Repairing,,Shipbuilding Railroad Equipment,USD,Georgia; U.S.A,c05de4945dc5c2ccba5ede4a861fe34e
TRN,TRINITY INDUSTRIES INC,99780,896522109,NYSE,False,Domestic Common Stock,Industrials,Railroads,3743,Manufacturing,Railroad Equipment,,Shipbuilding Railroad Equipment,USD,Texas; U.S.A,f8e980040839695ff8f7e03d679478aa
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,943452,929740108 960386100,NYSE,False,Domestic Common Stock,Industrials,Railroads,3743,Manufacturing,Railroad Equipment,,Shipbuilding Railroad Equipment,USD,Pennsylvania; U.S.A,15051f1b2e021d1ea7b17124c29cdc96
